policy,seed,npu_id,U_percent
old_od,7,0,41.00183890928365
old_od,7,1,96.98250703669551
old_od,7,2,56.88217136986172
old_od,7,3,60.07230110496475
old_od,7,4,52.05820799643702
old_od,7,5,41.29173323460145
old_od,7,6,74.03718997393611
old_od,7,7,72.11287384993258
old_od,7,8,44.36906688540109
old_od,7,9,77.79344985902613
old_od,7,10,58.97239365119965
old_od,7,11,87.22981462434659
old_od,7,12,69.54117416610389
old_od,7,13,66.50439272639818
old_od,7,14,80.72059901986643
old_od,7,15,63.485451559182415
old_od,7,16,56.01023133053038
old_od,7,17,42.789289470611266
old_od,7,18,63.49646065567504
old_od,7,19,79.38443028478693
old_od,7,20,56.60559907621037
old_od,7,21,59.539661992408696
old_od,7,22,63.372559010928896
old_od,7,23,83.36688237054986
old_od,7,24,47.07229404181876
old_od,7,25,85.48132993128247
old_od,7,26,32.630121589153966
old_od,7,27,71.49092077061712
old_od,7,28,31.294425265310576
old_od,7,29,60.50198728520245
old_od,7,30,47.966787239213204
old_od,7,31,66.39829856889993
fixed256_od,7,0,41.00183890928365
fixed256_od,7,1,96.98250703669551
fixed256_od,7,2,56.88217136986172
fixed256_od,7,3,60.07230110496475
fixed256_od,7,4,52.05820799643702
fixed256_od,7,5,41.29173323460145
fixed256_od,7,6,74.03718997393611
fixed256_od,7,7,72.11287384993258
fixed256_od,7,8,44.36906688540109
fixed256_od,7,9,77.79344985902613
fixed256_od,7,10,58.97239365119965
fixed256_od,7,11,87.22981462434659
fixed256_od,7,12,69.54117416610389
fixed256_od,7,13,66.50439272639818
fixed256_od,7,14,80.72059901986643
fixed256_od,7,15,63.485451559182415
fixed256_od,7,16,56.01023133053038
fixed256_od,7,17,42.789289470611266
fixed256_od,7,18,63.49646065567504
fixed256_od,7,19,79.38443028478693
fixed256_od,7,20,56.60559907621037
fixed256_od,7,21,59.539661992408696
fixed256_od,7,22,63.372559010928896
fixed256_od,7,23,83.36688237054986
fixed256_od,7,24,47.07229404181876
fixed256_od,7,25,85.48132993128247
fixed256_od,7,26,32.630121589153966
fixed256_od,7,27,71.49092077061712
fixed256_od,7,28,31.294425265310576
fixed256_od,7,29,60.50198728520245
fixed256_od,7,30,47.966787239213204
fixed256_od,7,31,66.39829856889993
old_od,19,0,53.25238220033819
old_od,19,1,79.03591891905448
old_od,19,2,69.62182635410711
old_od,19,3,70.88109899831495
old_od,19,4,68.68184828406315
old_od,19,5,61.00570039518608
old_od,19,6,52.91412167426211
old_od,19,7,62.48139583150796
old_od,19,8,58.366639103912256
old_od,19,9,69.19133236795966
old_od,19,10,38.75606825980567
old_od,19,11,35.042003959060516
old_od,19,12,44.1783908102405
old_od,19,13,63.19719201456033
old_od,19,14,57.63139660023941
old_od,19,15,49.50431389524125
old_od,19,16,94.52478779933627
old_od,19,17,79.0365826039824
old_od,19,18,83.87863895855125
old_od,19,19,42.890193303803926
old_od,19,20,83.0940593600714
old_od,19,21,46.02241881288591
old_od,19,22,85.32470645480399
old_od,19,23,39.31828308896609
old_od,19,24,37.35897218177068
old_od,19,25,66.18007684756147
old_od,19,26,87.79498973510591
old_od,19,27,59.76849974159302
old_od,19,28,65.49861512981418
old_od,19,29,58.1887030052846
old_od,19,30,75.14837154082564
old_od,19,31,83.57064921175959
fixed256_od,19,0,53.25238220033819
fixed256_od,19,1,79.03591891905448
fixed256_od,19,2,69.62182635410711
fixed256_od,19,3,70.88109899831495
fixed256_od,19,4,68.68184828406315
fixed256_od,19,5,61.00570039518608
fixed256_od,19,6,52.91412167426211
fixed256_od,19,7,62.48139583150796
fixed256_od,19,8,58.366639103912256
fixed256_od,19,9,69.19133236795966
fixed256_od,19,10,38.75606825980567
fixed256_od,19,11,35.042003959060516
fixed256_od,19,12,44.1783908102405
fixed256_od,19,13,63.19719201456033
fixed256_od,19,14,57.63139660023941
fixed256_od,19,15,49.50431389524125
fixed256_od,19,16,94.52478779933627
fixed256_od,19,17,79.0365826039824
fixed256_od,19,18,83.87863895855125
fixed256_od,19,19,42.890193303803926
fixed256_od,19,20,83.0940593600714
fixed256_od,19,21,46.02241881288591
fixed256_od,19,22,85.32470645480399
fixed256_od,19,23,39.31828308896609
fixed256_od,19,24,37.35897218177068
fixed256_od,19,25,66.18007684756147
fixed256_od,19,26,87.79498973510591
fixed256_od,19,27,59.76849974159302
fixed256_od,19,28,65.49861512981418
fixed256_od,19,29,58.1887030052846
fixed256_od,19,30,75.14837154082564
fixed256_od,19,31,83.57064921175959
old_od,43,0,61.72449936698017
old_od,43,1,70.30253599953319
old_od,43,2,52.09791996436086
old_od,43,3,71.32512684339336
old_od,43,4,68.59035811360135
old_od,43,5,68.41146790081058
old_od,43,6,69.83822274274958
old_od,43,7,53.516187157641745
old_od,43,8,62.46856776615203
old_od,43,9,83.74533286563221
old_od,43,10,49.390804329096326
old_od,43,11,87.31105761763894
old_od,43,12,19.088808225397067
old_od,43,13,55.29892919808569
old_od,43,14,57.549729915972634
old_od,43,15,78.28462483316987
old_od,43,16,63.93409228357946
old_od,43,17,75.35208878105449
old_od,43,18,44.09283876143713
old_od,43,19,50.91779403191131
old_od,43,20,59.03400621258776
old_od,43,21,46.61451745413369
old_od,43,22,32.9694409382345
old_od,43,23,67.7940720129067
old_od,43,24,57.235762515727004
old_od,43,25,81.92860030417278
old_od,43,26,77.81089673282365
old_od,43,27,36.89862695119332
old_od,43,28,79.77929784355625
old_od,43,29,84.01133460976111
old_od,43,30,53.275581531815675
old_od,43,31,70.2412277869939
fixed256_od,43,0,61.72449936698017
fixed256_od,43,1,70.30253599953319
fixed256_od,43,2,52.09791996436086
fixed256_od,43,3,71.32512684339336
fixed256_od,43,4,68.59035811360135
fixed256_od,43,5,68.41146790081058
fixed256_od,43,6,69.83822274274958
fixed256_od,43,7,53.516187157641745
fixed256_od,43,8,62.46856776615203
fixed256_od,43,9,83.74533286563221
fixed256_od,43,10,49.390804329096326
fixed256_od,43,11,87.31105761763894
fixed256_od,43,12,19.088808225397067
fixed256_od,43,13,55.29892919808569
fixed256_od,43,14,57.549729915972634
fixed256_od,43,15,78.28462483316987
fixed256_od,43,16,63.93409228357946
fixed256_od,43,17,75.35208878105449
fixed256_od,43,18,44.09283876143713
fixed256_od,43,19,50.91779403191131
fixed256_od,43,20,59.03400621258776
fixed256_od,43,21,46.61451745413369
fixed256_od,43,22,32.9694409382345
fixed256_od,43,23,67.7940720129067
fixed256_od,43,24,57.235762515727004
fixed256_od,43,25,81.92860030417278
fixed256_od,43,26,77.81089673282365
fixed256_od,43,27,36.89862695119332
fixed256_od,43,28,79.77929784355625
fixed256_od,43,29,84.01133460976111
fixed256_od,43,30,53.275581531815675
fixed256_od,43,31,70.2412277869939
