policy,seeds,count_total,U_percent,U_percent_min,U_percent_max,slo_percent,slo_percent_min,slo_percent_max,SSD_total_GiB_s,SSD_total_GiB_s_min,SSD_total_GiB_s_max,full_U_percent,full_U_percent_min,full_U_percent_max
old_od,"7,19,43",586,62.52740597798449,62.20176390157616,63.16688054512406,38.9136502476733,37.0,40.7035175879397,120.0,120.0,120.0,64.06574680976995,63.93968560915722,64.16657550646556
fixed256_od,"7,19,43",586,62.52740597798449,62.20176390157616,63.16688054512406,38.9136502476733,37.0,40.7035175879397,120.0,120.0,120.0,64.06574680976995,63.93968560915722,64.16657550646556
