policy,seed,request_id,npu_id,category,total_K,miss,admission_ms,completion_ms,ideal_ms,elapsed_ms,noncompute_ms,ratio,raw_ratio,passed
old_od,7,5,0,SS,80,256,2418.1911380419447,2582.0091213785918,32.085964974046185,163.8179833366471,131.7320183626009,5.105596277660865,5.105596277660865,False
old_od,7,6,0,SL,64,1024,2582.0091213785918,2744.724453138354,101.00752608339441,162.7153317597622,61.707805676367784,1.6109228497034986,1.6109228497034986,False
old_od,7,7,0,SS,80,256,2744.724453138354,2915.87714811199,32.085964974046185,171.15269497363624,139.06672999959005,5.334191915751291,5.334191915751291,False
old_od,7,8,0,SL,64,1024,2915.87714811199,3081.3871270885493,101.00752608339441,165.50997897655907,64.50245289316466,1.638590562448879,1.638590562448879,False
old_od,7,9,0,LS,200,256,3081.3871270885493,3561.3545963751003,72.35128428205302,479.967469286551,407.616185004498,6.633848646216894,6.633848646216894,False
old_od,7,10,0,LS,200,256,3561.3545963751003,4052.0333836065456,72.35128428205302,490.6787872314453,418.3275029493923,6.78189464223733,6.78189464223733,False
old_od,7,1000008,1,LL,200,4096,2549.182136579771,3679.8684428153038,1130.6863062355314,1130.6863062355328,1.3642420526593924e-12,1.0,1.000000000000001,True
old_od,7,1000009,1,SL,80,2048,3679.8684428153038,3923.670303166121,243.80186035081854,243.80186035081715,-1.3926637620897964e-12,1.0,0.9999999999999943,True
old_od,7,1000010,1,SS,32,256,3923.670303166121,3993.839873299489,15.979837567787547,70.16957013336832,54.189732565580776,4.391131626695471,4.391131626695471,False
old_od,7,1000011,1,SL,64,4096,3993.839873299489,4409.252344597617,400.5413596855101,415.41247129812746,14.87111161261737,1.0371275306607377,1.0371275306607377,True
old_od,7,2000007,2,SL,32,2048,2327.8957796634845,2442.848600640484,114.952820977,114.95282097699965,-3.552713678800501e-13,1.0,0.9999999999999969,True
old_od,7,2000008,2,SS,32,256,2442.848600640484,2509.4751729821064,15.979837567787547,66.62657234162225,50.6467347738347,4.169414867891357,4.169414867891357,False
old_od,7,2000009,2,SL,64,1024,2509.4751729821064,2668.387683216479,101.00752608339441,158.9125102343728,57.90498415097839,1.5732739568650613,1.5732739568650613,False
old_od,7,2000010,2,LS,160,256,2668.387683216479,3048.315180337689,58.92951067026337,379.92749712120985,320.9979864509465,6.447151737727332,6.447151737727332,False
old_od,7,2000011,2,SL,80,2048,3048.315180337689,3308.891400560778,243.80186035081854,260.57622022308897,16.774359872270423,1.0688032480479557,1.0688032480479557,True
old_od,7,2000012,2,LL,160,1024,3308.891400560778,3688.393293427002,229.85653940820262,379.5018928662239,149.64535345802128,1.6510380511396539,1.6510380511396539,False
old_od,7,2000013,2,LS,200,256,3688.393293427002,4119.704968689554,72.35128428205302,431.3116752625524,358.96039098049937,5.961354792005271,5.961354792005271,False
old_od,7,3000010,3,SL,64,1024,2230.4155910407767,2374.3664582408933,101.00752608339441,143.9508672001166,42.94334111672218,1.4251499148812639,1.4251499148812639,True
old_od,7,3000011,3,LL,160,1024,2374.3664582408933,2745.1914654240722,229.85653940820262,370.82500718317897,140.96846777497635,1.6132889155032053,1.6132889155032053,False
old_od,7,3000012,3,LL,128,4096,2745.1914654240722,3499.4753867994978,744.1386016188327,754.2839213754255,10.145319756592812,1.0136336426231918,1.0136336426231918,True
old_od,7,3000013,3,LS,160,256,3499.4753867994978,3837.458933389447,58.92951067026337,337.9835465899491,279.05403591968576,5.735386952067468,5.735386952067468,False
old_od,7,3000014,3,LS,200,256,3837.458933389447,4275.986912146585,72.35128428205302,438.5279787571385,366.17669447508547,6.061094604037552,6.061094604037552,False
old_od,7,4000007,4,SS,80,256,2237.221386508853,2396.710583170584,32.085964974046185,159.48919666173106,127.40323168768487,4.970684122816293,4.970684122816293,False
old_od,7,4000008,4,SL,80,2048,2396.710583170584,2656.5803569572627,243.80186035081854,259.8697737866787,16.067913435860163,1.0659056227575099,1.0659056227575099,True
old_od,7,4000009,4,SL,64,1024,2656.5803569572627,2803.848446058276,101.00752608339441,147.26808910101317,46.260563017618765,1.4579912488840174,1.4579912488840174,True
