policy,seed,U_percent,count,passed,slo_percent,SSD_total_GiB_s,full_U_percent
old_od,7,62.20176390157616,200,74,37.0,120.0,64.16657550646556
fixed256_od,7,62.20176390157616,200,74,37.0,120.0,64.16657550646556
old_od,19,63.16688054512406,199,81,40.7035175879397,120.0,64.09097931368704
fixed256_od,19,63.16688054512406,199,81,40.7035175879397,120.0,64.09097931368704
old_od,43,62.21357348725327,187,73,39.037433155080215,120.0,63.93968560915722
fixed256_od,43,62.21357348725327,187,73,39.037433155080215,120.0,63.93968560915722
