seed,long_npu_count,contrast,context,both_valid,device_utilization_percent_delta_pp,short_card_utilization_percent_delta_pp,long_card_utilization_percent_delta_pp,warm_admission_slo_percent_delta_pp,warm_short_admission_slo_percent_delta_pp,warm_long_admission_slo_percent_delta_pp
7,11,round_robin_minus_random,baseline,True,-0.0016663190041867892,-0.0025391527682856463,0.0,-0.70386454363328,-0.7218917592502763,0.0
7,11,round_robin_minus_random,once,True,-0.2356694355554083,-0.35911533037014465,0.0,-0.5826233703195669,-0.5914379140221939,0.0
7,11,once_minus_baseline,random,True,26.462609929700747,40.323977035734465,0.0,36.480148590277906,37.4097046469544,0.0
7,11,once_minus_baseline,round_robin,True,26.228606813149526,39.967400858132606,0.0,36.60138976359162,37.540158492182485,0.0
19,11,round_robin_minus_random,baseline,True,-0.04337470606571969,-0.06609479019538611,0.0,-0.7743630643611397,-0.7930919723008927,0.0
19,11,round_robin_minus_random,once,True,0.10773359089992596,0.16416547184751096,0.0,-0.13720837271308994,-0.13931015806856806,0.0
19,11,once_minus_baseline,random,True,26.134196022316658,39.823536795911096,0.0,36.1851682186519,37.111799306557984,0.0
19,11,once_minus_baseline,round_robin,True,26.285304319282304,40.05379705795399,0.0,36.82232291029995,37.76558112079031,0.0
43,11,round_robin_minus_random,baseline,True,-0.0674738479607413,-0.10281729213065915,0.0,-0.7986008075573565,-0.8203166318642303,0.0
43,11,round_robin_minus_random,once,True,-0.47896386927010326,-0.7298497055544289,0.0,-0.8575064381102919,-0.8707494322804905,0.0
43,11,once_minus_baseline,random,True,25.949743955429696,39.54246697970237,0.0,35.55156581116082,36.465005367460535,0.0
43,11,once_minus_baseline,round_robin,True,25.538253934120334,38.9154345662786,0.0,35.492660180607885,36.414572567044274,0.0
67,11,round_robin_minus_random,baseline,True,-0.054013215127426406,-0.08230585162272774,0.0,-0.9719335309457051,-0.9984562356103837,0.0
67,11,round_robin_minus_random,once,True,0.21683565993393472,0.3304162437088394,0.0,0.027850958704163986,0.028283746842703295,0.0
67,11,once_minus_baseline,random,True,26.019070007856413,39.64810667863837,0.0,35.74641053969526,36.66064932965019,0.0
67,11,once_minus_baseline,round_robin,True,26.289918882917775,40.06082877396994,0.0,36.74619502934513,37.68738931210328,0.0
101,11,round_robin_minus_random,baseline,True,-0.03827305503087075,-0.058320845761315354,0.0,-0.4742381075348945,-0.4851527501878934,0.0
101,11,round_robin_minus_random,once,True,0.0349907730780501,0.053319273261777766,0.0,0.004400500365150606,0.004534636005544712,0.0
101,11,once_minus_baseline,random,True,25.932178978815386,39.51570130105205,0.0,35.78538279796141,36.707028348988885,0.0
101,11,once_minus_baseline,round_robin,True,26.005442806924307,39.62734142007514,0.0,36.264021405861456,37.19671573518232,0.0
7,6,round_robin_minus_random,baseline,True,0.11855078038020395,0.14590865277563125,0.0,-0.11655137310397379,-0.11791082440817036,0.0
7,6,round_robin_minus_random,once,True,0.016902670096229144,0.020803286272283117,0.0,0.22085516734306054,0.22232820352030558,0.0
7,6,once_minus_baseline,random,True,15.429276267283385,18.98987848281031,0.0,26.588599122808603,26.80810841573951,0.0
7,6,once_minus_baseline,round_robin,True,15.32762815699941,18.864773116306964,0.0,26.926005663255637,27.148347443667987,0.0
19,6,round_robin_minus_random,baseline,True,0.09246064718055891,0.11379771960683627,0.0,-0.027151778441478314,-0.02737476047084897,0.0
19,6,round_robin_minus_random,once,True,0.8753281132837856,1.077326908656957,0.0,0.9531334507895934,0.9596639176749022,0.0
19,6,once_minus_baseline,random,True,14.120524060089195,17.3791065354944,0.0,24.992638255677946,25.20175708651165,0.0
19,6,once_minus_baseline,round_robin,True,14.903391526192422,18.34263572454452,0.0,25.972923484909018,26.1887957646574,0.0
43,6,round_robin_minus_random,baseline,True,0.11646666119770543,0.1433435830125518,0.0,0.00042927712951268404,0.0013392077405001146,0.0
43,6,round_robin_minus_random,once,True,-0.2502500064491784,-0.3080000079374514,0.0,-0.35010026737967337,-0.352488393545741,0.0
43,6,once_minus_baseline,random,True,14.432461873723355,17.76302999842875,0.0,25.38909355482687,25.601925978178258,0.0
43,6,once_minus_baseline,round_robin,True,14.065745206076471,17.311686407478746,0.0,25.038564010317685,25.248098376892017,0.0
67,6,round_robin_minus_random,baseline,True,0.14387009185593058,0.17707088228421242,0.0,-0.1053568089967456,-0.10563156337305202,0.0
67,6,round_robin_minus_random,once,True,-0.2887152697597344,-0.3553418704735378,0.0,-0.2937164991515715,-0.29572030437816466,0.0
67,6,once_minus_baseline,random,True,14.801154161202248,18.216805121479695,0.0,25.802242025989997,26.017421727168767,0.0
67,6,once_minus_baseline,round_robin,True,14.368568799586583,17.684392368721944,0.0,25.61388233583517,25.827332986163654,0.0
101,6,round_robin_minus_random,baseline,True,0.09011014727710176,0.11090479664873953,0.0,-0.06591998229428953,-0.06599453638678199,0.0
101,6,round_robin_minus_random,once,True,-0.6835123842171811,-0.841246011344225,0.0,-0.7222475449169963,-0.7271701419393821,0.0
101,6,once_minus_baseline,random,True,14.965337505180898,18.41887692945342,0.0,25.99990466632127,26.21636823892287,0.0
101,6,once_minus_baseline,round_robin,True,14.191714973686615,17.466726121460454,0.0,25.343577103698564,25.555192633370268,0.0
