label,seed,order,strategy,long_npu_count,input_fingerprint,result,result_sha256,long_layer_compute_ms,warm_long_layer_count,circular_cohort_phase_width_ms,max_within_card_phase_drift_ms,long_read_lifetime_min_ms,long_read_lifetime_max_ms,long_read_lifetime_mean_ms
role_l6_s26_seed43_round_robin,43,round_robin,baseline,6,225f1397b73d45de94d9739fe566824051b77afef8d998a3e268f1c4a33c5be6,runs/role_l6_s26_seed43_round_robin/baseline/role_l6_s26_seed43_round_robin_225f1397b73d_baseline_104671470b.json.gz,263ceafc3c009ae9aed242d5895064bae306ae4fbe4d632aaa61e8dd6e6ed2f5,25.612343978188395,468,0.020980834960933947,1.6779466704974766e-11,5.9996795654296875,6.772313193262107,6.3966598597974835
role_l11_s21_seed67_random,67,random,baseline,11,23e8af319097ac39736a5a072b1767f841cf5de750dfd09756ca5f8214ec1dad,runs/role_l11_s21_seed67_random/baseline/role_l11_s21_seed67_random_23e8af319097_baseline_104671470b.json.gz,e9d0206d5bb19f17a52e1aa3f78f89257f14636c60b33544f0ded114a7942282,25.612343978188395,858,0.03544780273454862,1.7006840380417998e-11,10.212631225585938,11.972403662109173,11.368846407084881
role_l11_s21_seed67_round_robin,67,round_robin,baseline,11,2986c147beaec717a441a13b942ab7023f8722126abcb684587aa09bc936ab47,runs/role_l11_s21_seed67_round_robin/baseline/role_l11_s21_seed67_round_robin_2986c147beae_baseline_104671470b.json.gz,afa8988ff54b64e2e4d3e8afe463b507045c3c15625a047065a2ab12ae3bea39,25.612343978188395,858,0.04196166992187145,1.6779466704974766e-11,10.17486572265625,12.104263305664062,11.247557821233507
role_l6_s26_seed67_random,67,random,baseline,6,c4766a15474763463819bc87c301f3e21f85aaf52d2fc030b2ed51d679af9ed5,runs/role_l6_s26_seed67_random/baseline/role_l6_s26_seed67_random_c4766a154747_baseline_104671470b.json.gz,c184c1b146dd387420cafae7c7cc73ab0165b9710275df2ce88c566b801cc61c,25.612343978188395,468,0.010170800781221345,1.7006840380417998e-11,6.297607421875,6.662773950195515,6.422520951873141
role_l6_s26_seed67_round_robin,67,round_robin,baseline,6,a59ff02dca4b55c8c41936d09c751649f1ff6872908e02cf56a49eb0aa9b1893,runs/role_l6_s26_seed67_round_robin/baseline/role_l6_s26_seed67_round_robin_a59ff02dca4b_baseline_104671470b.json.gz,503bba197747e37a62d60e526c05f3b4e449dcbec45d6da77fb22d1ff4601464,25.612343978188395,468,0.020980834960933947,1.6779466704974766e-11,5.9996795654296875,6.772213193261905,6.396262222256451
role_l11_s21_seed101_random,101,random,baseline,11,17f26895058833e74d4f48af0ba364c58d1eef7ae61acf5b1ff7178af90d262a,runs/role_l11_s21_seed101_random/baseline/role_l11_s21_seed101_random_17f268950588_baseline_104671470b.json.gz,9964473d15e6be685cfdba52eda2f43d61c7bdfd98cb756fe9aadb3eab3d3964,25.612343978188395,858,0.02068083496078188,1.7006840380417998e-11,11.0107421875,11.977839062500152,11.567788320707646
role_l11_s21_seed101_round_robin,101,round_robin,baseline,11,805ef2b3e4b680f89965446adc50f158752586e2f0fc03d888eb511dcd6956ed,runs/role_l11_s21_seed101_round_robin/baseline/role_l11_s21_seed101_round_robin_805ef2b3e4b6_baseline_104671470b.json.gz,64801f5465e8a0e75556fd4fb0417566f2b1bfa6d70415ce591e4bf8dd692f80,25.612343978188395,858,0.04196166992187145,1.6779466704974766e-11,10.17486572265625,12.104263305664062,11.247668780075019
role_l6_s26_seed101_random,101,random,baseline,6,3cf71cbc34c163a17b017d37e5cee0ea69600bd394ef9a73a22bdd201092ec31,runs/role_l6_s26_seed101_random/baseline/role_l6_s26_seed101_random_3cf71cbc34c1_baseline_104671470b.json.gz,4b188657bbcda194bfdc8d9fe19012a8f1890b996f06c52cec1b73459c935322,25.612343978188395,468,0.012688500976533845,1.7006840380417998e-11,6.104583740234375,6.585364477539315,6.38454553225589
role_l6_s26_seed101_round_robin,101,round_robin,baseline,6,238aab5dcd3f45cc588e8eafa39d0436116456bfb50244600eb7ab465ef7532f,runs/role_l6_s26_seed101_round_robin/baseline/role_l6_s26_seed101_round_robin_238aab5dcd3f_baseline_104671470b.json.gz,e993c07d23d32f5c2e757cc4135a8142e290b08d455657849cea9f65090d781f,25.612343978188395,468,0.020980834960933947,1.6779466704974766e-11,5.9996795654296875,6.772313193262107,6.396343924404311
role_l11_s21_seed7_random,7,random,once,11,7b1a280727fe15dc356e3aed5123a4803bdee0a71283c9be0a9d75d1cf397d44,runs/role_l11_s21_seed7_random/once/role_l11_s21_seed7_random_7b1a280727fe_once_dc98615fa8.json.gz,89931b4156024bc15e9d3d3f20c4026b8d28293deab46d8df267aea0391e64d9,25.612343978188395,858,0.2894355224607317,1.6779466704974766e-11,5.1403045654296875,13.951916015626011,10.373448631425905
