seed,long_npu_count,short_npu_count,order,strategy,label,status,input_fingerprint,path,audit_passed,main_window_valid,full_run_nominal_capacity_satisfied,all_study_conditions_met,device_utilization_percent,short_card_utilization_percent,long_card_utilization_percent,window_request_equal_utilization_percent,makespan_ms,full_run_device_utilization_percent,full_population_binding_U_upper_bound_percent,warm_count,warm_completion_after_4000_count,warm_admission_passed,warm_admission_slo_percent,warm_arrival_passed,warm_arrival_slo_percent,warm_short_count,warm_short_admission_passed,warm_short_admission_slo_percent,warm_long_count,warm_long_admission_passed,warm_long_admission_slo_percent,warm_arrivals_count,warm_arrivals_completion_after_4000_count,warm_arrivals_admission_passed,warm_arrivals_admission_slo_percent,warm_arrivals_arrival_passed,warm_arrivals_arrival_slo_percent,warm_arrivals_short_count,warm_arrivals_short_admission_passed,warm_arrivals_short_admission_slo_percent,warm_arrivals_long_count,warm_arrivals_long_admission_passed,warm_arrivals_long_admission_slo_percent,full_count,full_completion_after_4000_count,full_admission_passed,full_admission_slo_percent,full_arrival_passed,full_arrival_slo_percent,full_short_count,full_short_admission_passed,full_short_admission_slo_percent,full_long_count,full_long_admission_passed,full_long_admission_slo_percent,short_l0_exposed_stall_ms,short_l1_7_exposed_stall_ms,long_l0_exposed_stall_ms,long_l1_7_exposed_stall_ms,max_fourth_completion_ms,full_run_max_ssu_gib_s,full_run_any_ssu_over_capacity_ms,static_max_ssu_gib_s
43,6,26,random,baseline,role_l6_s26_seed43_random,complete,df713279bb302fec2086f8b00f5dd321f471302358e966139f7cc48620fb9503,runs/role_l6_s26_seed43_random/baseline/role_l6_s26_seed43_random_df713279bb30_baseline_104671470b.json.gz,True,True,True,True,83.36495833070445,79.52610256086702,100.0,86.84899595939602,8817.28802161208,57.144154153902136,57.18723089549972,7337,32,5305,72.3047567125528,0,0.0,7277,5245,72.0764051119967,60,60,100.0,0,0,0,,0,,0,0,,0,0,,19456,4786,14113,72.53803453947368,6,0.030838815789473683,19200,13857,72.171875,256,256,100.0,1216.9696352462986,9429.45703310285,0.0,0.0,826.2367004172629,19.739907990344435,0.0,26.559836162438295
43,6,26,round_robin,baseline,role_l6_s26_seed43_round_robin,complete,225f1397b73d45de94d9739fe566824051b77afef8d998a3e268f1c4a33c5be6,runs/role_l6_s26_seed43_round_robin/baseline/role_l6_s26_seed43_round_robin_225f1397b73d_baseline_104671470b.json.gz,True,True,True,True,83.48142499190216,79.66944614387957,100.0,86.82865995717859,8817.304806280048,57.14404537398866,57.18723089549972,7366,32,5326,72.30518598968231,0,0.0,7306,5266,72.0777443197372,60,60,100.0,0,0,0,,0,,0,0,,0,0,,19456,4756,14104,72.49177631578947,6,0.030838815789473683,19200,13848,72.125,256,256,100.0,1501.210168219568,9070.677836963052,0.0,0.0,826.261877419216,26.559836162438295,0.0,26.559836162438295
67,11,21,random,baseline,role_l11_s21_seed67_random,complete,23e8af319097ac39736a5a072b1767f841cf5de750dfd09756ca5f8214ec1dad,runs/role_l11_s21_seed67_random/baseline/role_l11_s21_seed67_random_23e8af319097_baseline_104671470b.json.gz,True,True,True,True,72.89644061877266,58.699338085748806,100.0,76.34113352407373,7155.965526463504,70.41068938398794,97.19366563309791,4466,32,2819,63.12136139722347,0,0.0,4356,2709,62.1900826446281,110,110,100.0,0,0,0,,0,,0,0,,0,0,,19456,10605,15547,79.9085115131579,11,0.056537828947368425,19200,15291,79.640625,256,256,100.0,2331.559653508911,15014.718350476587,0.0,0.0,831.5618363303489,26.60486265962924,0.0,31.735895372256252
67,11,21,round_robin,baseline,role_l11_s21_seed67_round_robin,complete,2986c147beaec717a441a13b942ab7023f8722126abcb684587aa09bc936ab47,runs/role_l11_s21_seed67_round_robin/baseline/role_l11_s21_seed67_round_robin_2986c147beae_baseline_104671470b.json.gz,True,True,True,True,72.84242740364523,58.61703223412608,100.0,75.95965302649967,7154.265632404745,70.42741936281558,97.19366563309791,4457,32,2770,62.14942786627776,0,0.0,4347,2660,61.191626409017715,110,110,100.0,0,0,0,,0,,0,0,,0,0,,19456,10613,15457,79.44592927631578,11,0.056537828947368425,19200,15201,79.171875,256,256,100.0,2622.1936495560844,14758.652812110962,0.0,0.0,831.5616363303488,31.735895372256252,0.0,31.735895372256252
67,6,26,random,baseline,role_l6_s26_seed67_random,complete,c4766a15474763463819bc87c301f3e21f85aaf52d2fc030b2ed51d679af9ed5,runs/role_l6_s26_seed67_random/baseline/role_l6_s26_seed67_random_c4766a154747_baseline_104671470b.json.gz,True,True,True,True,83.33778962313735,79.49266415155367,100.0,86.7915021518895,8817.296613946064,57.14409846771176,57.18723089549972,7347,32,5321,72.42411868789982,0,0.0,7287,5261,72.19706326334568,60,60,100.0,0,0,0,,0,,0,0,,0,0,,19456,4783,14110,72.52261513157895,6,0.030838815789473683,19200,13854,72.15625,256,256,100.0,1317.0016071695948,9346.813034022496,0.0,0.0,826.2536850852317,19.499179753205805,0.0,26.559836162438295
67,6,26,round_robin,baseline,role_l6_s26_seed67_round_robin,complete,a59ff02dca4b55c8c41936d09c751649f1ff6872908e02cf56a49eb0aa9b1893,runs/role_l6_s26_seed67_round_robin/baseline/role_l6_s26_seed67_round_robin_a59ff02dca4b_baseline_104671470b.json.gz,True,True,True,True,83.48165971499328,79.66973503383788,100.0,86.83622126337877,8817.30900244704,57.144018179075005,57.18723089549972,7366,32,5327,72.31876187890308,0,0.0,7306,5267,72.09143169997263,60,60,100.0,0,0,0,,0,,0,0,,0,0,,19456,4756,14106,72.50205592105263,6,0.030838815789473683,19200,13850,72.13541666666666,256,256,100.0,1506.017890680691,9065.71989172361,0.0,0.0,826.261877419216,26.559836162438295,0.0,26.559836162438295
101,11,21,random,baseline,role_l11_s21_seed101_random,complete,17f26895058833e74d4f48af0ba364c58d1eef7ae61acf5b1ff7178af90d262a,runs/role_l11_s21_seed101_random/baseline/role_l11_s21_seed101_random_17f268950588_baseline_104671470b.json.gz,True,True,True,True,72.88115306813673,58.67604277049405,100.0,76.09904909006656,7156.400249009857,70.4064122176594,97.19366563309791,4452,32,2793,62.735849056603776,0,0.0,4342,2683,61.7918010133579,110,110,100.0,0,0,0,,0,,0,0,,0,0,,19456,10609,15521,79.77487664473685,11,0.056537828947368425,19200,15265,79.50520833333333,256,256,100.0,2517.878672533635,14838.183363858861,0.0,0.0,831.5448516623801,26.186599028939106,0.0,31.735895372256252
101,11,21,round_robin,baseline,role_l11_s21_seed101_round_robin,complete,805ef2b3e4b680f89965446adc50f158752586e2f0fc03d888eb511dcd6956ed,runs/role_l11_s21_seed101_round_robin/baseline/role_l11_s21_seed101_round_robin_805ef2b3e4b6_baseline_104671470b.json.gz,True,True,True,True,72.84288001310586,58.617721924732734,100.0,75.97223062953657,7153.589367741286,70.4340772198165,97.19366563309791,4457,32,2775,62.26161094906888,0,0.0,4347,2665,61.306648263170004,110,110,100.0,0,0,0,,0,,0,0,,0,0,,19456,10612,15468,79.50246710526315,11,0.056537828947368425,19200,15212,79.22916666666666,256,256,100.0,2653.0770974540583,14727.479694158194,0.0,0.0,831.5700286643332,31.735895372256252,0.0,31.735895372256252
101,6,26,random,baseline,role_l6_s26_seed101_random,complete,3cf71cbc34c163a17b017d37e5cee0ea69600bd394ef9a73a22bdd201092ec31,runs/role_l6_s26_seed101_random/baseline/role_l6_s26_seed101_random_3cf71cbc34c1_baseline_104671470b.json.gz,True,True,True,True,83.39163055595165,79.55892991501742,100.0,86.90772835395656,8817.300910113056,57.14407062465732,57.18723089549972,7351,32,5320,72.3711059719766,0,0.0,7291,5260,72.14373885612399,60,60,100.0,0,0,0,,0,,0,0,,0,0,,19456,4775,14111,72.52775493421053,6,0.030838815789473683,19200,13855,72.16145833333333,256,256,100.0,1346.1136426328162,9283.242801558124,0.0,0.0,826.2495889182395,19.345897058414373,0.0,26.559836162438295
101,6,26,round_robin,baseline,role_l6_s26_seed101_round_robin,complete,238aab5dcd3f45cc588e8eafa39d0436116456bfb50244600eb7ab465ef7532f,runs/role_l6_s26_seed101_round_robin/baseline/role_l6_s26_seed101_round_robin_238aab5dcd3f_baseline_104671470b.json.gz,True,True,True,True,83.48174070322875,79.66983471166616,100.0,86.82342710650381,8817.30900244704,57.144018179075005,57.18723089549972,7366,32,5326,72.30518598968231,0,0.0,7306,5266,72.0777443197372,60,60,100.0,0,0,0,,0,,0,0,,0,0,,19456,4756,14104,72.49177631578947,6,0.030838815789473683,19200,13848,72.125,256,256,100.0,1496.1342792986097,9075.551670634986,0.0,0.0,826.261877419216,26.559836162438295,0.0,26.559836162438295
