label,seed,long_npus,short_npus,order,npu_id,assigned_role,S1_count,S2_count,S3_count,L_count,request_count,pure_8layer_compute_ms,first_16_types,first_16_original_request_ids,original_population_sha256,original_order_sha256
role_l11_s21_seed7_random,7,11,21,random,0,long,0,0,0,24,24,4917.570043812172,L L L L L L L L L L L L L L L L,2000578 4000335 5000528 6000172 6000460 8000464 10000566 11000076 12000088 12000591 13000398 14000086 14000357 16000188 16000541 19000200,8eebd6003d00ccc9a7963e20729565486ba7d9130898093814739e242e3ec052,8eebd6003d00ccc9a7963e20729565486ba7d9130898093814739e242e3ec052
role_l11_s21_seed7_random,7,11,21,random,1,long,0,0,0,24,24,4917.570043812172,L L L L L L L L L L L L L L L L,2000012 3000119 3000235 8000400 9000071 12000182 13000250 14000099 14000585 15000426 15000595 16000251 17000061 17000257 18000182 18000535,2ea77bda50350e32c4b809c841040b1b71dd2df6b265da3c71021cb94e5d8667,2ea77bda50350e32c4b809c841040b1b71dd2df6b265da3c71021cb94e5d8667
role_l11_s21_seed7_random,7,11,21,random,2,long,0,0,0,24,24,4917.570043812172,L L L L L L L L L L L L L L L L,1000217 2000333 4000207 4000567 5000255 5000430 7000500 9000429 10000591 11000266 13000229 13000499 15000529 16000465 19000241 22000355,da1f6ab8462f731ddda99cf1db93ecb03624952d170fe72e462ebc48ce117130,da1f6ab8462f731ddda99cf1db93ecb03624952d170fe72e462ebc48ce117130
role_l11_s21_seed7_random,7,11,21,random,3,long,0,0,0,23,23,4712.671291986665,L L L L L L L L L L L L L L L L,1000088 5000020 5000451 6000146 6000225 7000339 10000065 11000489 12000171 13000161 13000168 13000195 13000528 17000379 21000340 23000298,4da8dc973b7aa0dceb8d877d72b8b63fa6cb8915e0d9da2092edaaf23a2b4609,4da8dc973b7aa0dceb8d877d72b8b63fa6cb8915e0d9da2092edaaf23a2b4609
role_l11_s21_seed7_random,7,11,21,random,4,long,0,0,0,23,23,4712.671291986665,L L L L L L L L L L L L L L L L,2000108 4000041 4000461 7000514 12000109 12000478 16000273 17000087 18000404 18000459 18000493 19000265 19000278 20000112 20000288 21000035,d0c8a6cf4c3ba25db4553c94e50dd8df1d3cdaca6374d64a91994e98ceb5943e,d0c8a6cf4c3ba25db4553c94e50dd8df1d3cdaca6374d64a91994e98ceb5943e
role_l11_s21_seed7_random,7,11,21,random,5,long,0,0,0,23,23,4712.671291986665,L L L L L L L L L L L L L L L L,3000203 3000443 4000224 4000434 9000398 9000578 10000500 15000352 17000025 19000528 20000428 23000283 23000468 25000492 27000007 27000307,bb50b3dfbe6e704f56dce1865d4db31d4f5e01326bd37be0497c47495d17e53e,bb50b3dfbe6e704f56dce1865d4db31d4f5e01326bd37be0497c47495d17e53e
role_l11_s21_seed7_random,7,11,21,random,6,long,0,0,0,23,23,4712.671291986665,L L L L L L L L L L L L L L L L,57 380 1000029 2000600 3000112 3000355 7000263 7000393 9000016 11000313 11000429 11000441 14000277 15000055 15000236 17000123,2a7b2878928bd501b14d6775d6cb84bad889707e028378972f5a80037dc5e646,2a7b2878928bd501b14d6775d6cb84bad889707e028378972f5a80037dc5e646
role_l11_s21_seed7_random,7,11,21,random,7,long,0,0,0,23,23,4712.671291986665,L L L L L L L L L L L L L L L L,98 171 1000534 2000449 5000418 7000166 8000001 8000322 8000471 9000060 9000374 15000039 16000323 17000113 18000319 18000417,e1f460e301d11cd96c7f1456fc34f251b8884fc704cb1963d9615490923f6b97,e1f460e301d11cd96c7f1456fc34f251b8884fc704cb1963d9615490923f6b97
role_l11_s21_seed7_random,7,11,21,random,8,long,0,0,0,23,23,4712.671291986665,L L L L L L L L L L L L L L L L,257 1000136 2000590 6000257 7000460 8000118 8000463 10000291 10000294 11000352 12000491 12000525 20000246 20000315 22000368 24000295,8ca0ece081bc29df77c3c92b8d01d0f79d54b4129212525468d2f3326ab501c5,8ca0ece081bc29df77c3c92b8d01d0f79d54b4129212525468d2f3326ab501c5
role_l11_s21_seed7_random,7,11,21,random,9,long,0,0,0,23,23,4712.671291986665,L L L L L L L L L L L L L L L L,78 194 390 1000310 1000380 2000515 6000328 10000205 10000470 14000342 14000505 14000516 15000411 16000261 18000110 19000035,ecf8cfc358a7396f38d7dc8d68b41853763a85fe3b1576698434dad4aa9cb9f9,ecf8cfc358a7396f38d7dc8d68b41853763a85fe3b1576698434dad4aa9cb9f9
role_l11_s21_seed7_random,7,11,21,random,10,long,0,0,0,23,23,4712.671291986665,L L L L L L L L L L L L L L L L,1000359 3000006 3000279 4000548 5000098 5000592 6000211 6000566 7000252 8000053 9000573 11000063 16000039 17000530 21000090 22000097,7e6c7ffa40917d3a1dc9f170882ccc8e44bca0aadbe41772c51b42768ac122b5,7e6c7ffa40917d3a1dc9f170882ccc8e44bca0aadbe41772c51b42768ac122b5
role_l11_s21_seed7_random,7,11,21,random,11,short,305,305,305,0,915,5184.046333105404,S2 S2 S2 S2 S3 S1 S3 S1 S2 S2 S3 S3 S3 S2 S1 S1,27000276 15000267 18000177 17000279 18000574 18000249 26000261 21000424 1000013 15000547 3000475 24000483 21000214 15000237 19000229 6000205,adfc2a3e7cab130d2195885b83336c407f8db7423ff6ef66ef9dc10784960782,f2e9407479ffd9f51534d6ac07a5e138d3abf74823d0ce3315c7b39f5a4d7a77
role_l11_s21_seed7_random,7,11,21,random,12,short,305,305,305,0,915,5184.046333105404,S3 S2 S1 S2 S2 S3 S2 S1 S3 S3 S2 S2 S1 S3 S1 S1,29000468 9000526 25000524 19000397 22000583 25000549 18000246 29000252 28000051 25000309 9000460 15000092 16000369 11000412 19000536 9000472,17e4d2c47bdd2c3b19c56302a3663e0906c85f1593c2e8a3d319576d41be97bd,d26147dd85f0e7cbf6e8443d1eda1b9cb359e9e5d5a311cb91f445d70c4b361f
role_l11_s21_seed7_random,7,11,21,random,13,short,305,305,305,0,915,5184.046333105404,S2 S2 S3 S2 S2 S2 S3 S2 S3 S3 S2 S3 S3 S3 S1 S1,23000236 2000206 4000366 11000366 25000111 22000398 5000217 182 6000423 19000317 16000184 1000035 16000017 7000372 7000025 3000534,0954f134c7266fd592f7bfaa012f3415fdbc46dd84f03606ecd2ee2216787197,dcac4979c0697b496fc8c8a08c4e98bf63a3be4f9817a527a1a707ec71345226
role_l11_s21_seed7_random,7,11,21,random,14,short,305,305,305,0,915,5184.046333105404,S1 S3 S3 S1 S2 S2 S2 S2 S1 S1 S3 S3 S3 S1 S1 S1,31000536 6000260 7000571 29000109 16000517 18000529 23000488 16000142 18000220 31000395 10000423 19000233 29000404 21000398 9000252 23000144,32e1f1004de3def5c7106b71ce3c191f25d1ab44169abc742fdef828f9645980,f472db63e98d75304919caf3b256279ff2992089832422917028606f644c1f8b
role_l11_s21_seed7_random,7,11,21,random,15,short,305,305,305,0,915,5184.046333105404,S2 S1 S1 S3 S3 S3 S2 S1 S1 S2 S2 S3 S1 S1 S2 S2,28000007 30000141 27000121 11000254 22000002 5000470 10000391 16000014 26000231 12000089 12000433 31000249 7000598 18000273 8000108 23000143,e390349500dd310f4ba53b36403d00eb83000e1829adf81ba1451464cce5fa31,07021c192722f9efb6023a51215347a487af4f229f0e797009ebb0550ce3ab24
role_l11_s21_seed7_random,7,11,21,random,16,short,305,305,305,0,915,5184.046333105404,S3 S2 S1 S2 S1 S1 S3 S3 S2 S3 S2 S3 S2 S1 S1 S2,19000524 27000389 30000078 18000265 12000047 18000223 26000378 24000138 15000181 4000193 12000567 21000091 22000452 24000283 11000045 10000370,5f550a7764ee66590f3b3ada917ec21999d7d26bfb54278f2f68ae0e4b8fd2cb,712a243b8a69b763720c04c6fec8cc3ea2d7bd9eed3fee09cb18d1765e861c70
role_l11_s21_seed7_random,7,11,21,random,17,short,305,305,305,0,915,5184.046333105404,S1 S2 S2 S1 S3 S1 S2 S3 S3 S2 S3 S2 S1 S2 S2 S2,7000119 2000461 12000226 11000251 25000270 16000368 2000239 6000403 10000590 28000353 12000323 24000323 18000233 31000434 12000375 13000508,f9cbe86b8a53b941f6feaf778018a6f2679a150739e1d7491c72161f262c2641,b9e49264bf78f55d636e6b3131b19a9f20a806c896110f813bba48c55cf058c7
role_l11_s21_seed7_random,7,11,21,random,18,short,305,305,305,0,915,5184.046333105404,S2 S2 S1 S3 S3 S2 S1 S2 S2 S3 S3 S3 S2 S3 S1 S2,8000382 28000117 21000234 11000384 26000045 17000097 27000337 11000502 25000103 6000382 29000217 24000065 31000590 4000199 4000274 26000318,ea894b2359ca80761182bc69d1ed6a5ae9709eceb784e6d524734ab8eeb1e427,590c1a9cccfc76e9fd31c743909c28cbd59de2830b0a8419a1c36f048d1bb6c6
role_l11_s21_seed7_random,7,11,21,random,19,short,305,305,305,0,915,5184.046333105404,S3 S3 S1 S2 S3 S2 S3 S2 S1 S1 S1 S2 S3 S2 S2 S3,5000063 3000333 2000402 10000339 11000376 3000337 29000516 27000606 3000167 30000463 2000116 6000473 24000469 10000136 29000513 25000218,83fd6d4a17e7885376ee253c056b4ccfb56b7aa990f6c46339f8895f394c1aaf,16ce61e50e030e87b4b4a6c7730325dca3fad4675d0bcafe7a502ffb79b5f30b
