time_ms,event,npu,request,layer,role
2138.7635197344,compute_start,16,29,0,0
2166.9778403711,admission,16,30,0,0
2168.8416447344,compute_start,16,30,0,0
2185.1808663619,admission,16,31,0,0
2185.1808663619,compute_start,16,31,0,0
2200.3485564559,admission,16,32,0,0
2200.3485564559,compute_start,16,32,0,0
2218.2282106074,admission,16,33,0,0
2219.1520735644,compute_start,16,33,0,0
2240.7868043574,admission,16,34,0,0
2241.7106673144,compute_start,16,34,0,0
2259.9908090054,admission,16,35,0,0
2259.9908090054,compute_start,16,35,0,0
2275.1584990993,admission,16,36,0,0
2275.1584990993,compute_start,16,36,0,0
2290.3261891933,admission,16,37,0,1
2302.4957796893,compute_start,16,37,0,1
2302.860234723,admission,8,37,0,1
2302.860234723,compute_start,8,37,0,1
2303.2246897567,admission,0,3,0,0
2303.2246897567,admission,24,3,0,1
2303.2246897567,compute_start,0,3,0,0
2303.2246897567,compute_start,24,3,0,1
2331.4390103934,admission,0,4,0,0
2333.3028147567,compute_start,0,4,0,0
2360.6875173182,admission,0,5,0,0
2360.6875173182,compute_start,0,5,0,0
2375.8552074122,admission,0,6,0,0
2375.8552074122,compute_start,0,6,0,0
2391.0228975061,admission,0,7,0,0
2391.0228975061,compute_start,0,7,0,0
2413.6000233046,admission,0,8,0,0
2415.4638276678,compute_start,0,8,0,0
2443.6781483046,admission,0,9,0,0
2445.5419526678,compute_start,0,9,0,0
2463.7785479946,admission,0,10,0,0
2463.7785479946,compute_start,0,10,0,0
2478.9462380885,admission,0,11,0,0
2478.9462380885,compute_start,0,11,0,0
2495.927879993,admission,0,12,0,0
2497.7916843563,compute_start,0,12,0,0
2526.006004993,admission,0,13,0,0
2527.8698093563,compute_start,0,13,0,0
2551.7100301854,admission,0,14,0,0
2551.7100301854,compute_start,0,14,0,0
2566.8777202793,admission,0,15,0,0
2566.8777202793,compute_start,0,15,0,0
2582.0454103733,admission,0,16,0,0
2582.0454103733,compute_start,0,16,0,0
2608.3447171593,admission,0,17,0,0
2610.2085215226,compute_start,0,17,0,0
2638.4228421593,admission,0,18,0,0
2639.6442262457,compute_start,0,18,0,0
2654.8119163396,admission,0,19,0,0
2654.8119163396,compute_start,0,19,0,0
2669.9796064336,admission,0,20,0,0
2669.9796064336,compute_start,0,20,0,0
2690.6870478182,admission,0,21,0,0
2692.5508521815,compute_start,0,21,0,0
2720.7651728182,admission,0,22,0,0
2722.6289771815,compute_start,0,22,0,0
2742.747017023,admission,0,23,0,0
2742.747017023,compute_start,0,23,0,0
2757.914707117,admission,0,24,0,0
2757.914707117,compute_start,0,24,0,0
2773.0823972109,admission,0,25,0,0
2774.8943890046,compute_start,0,25,0,0
2803.1087096414,admission,0,26,0,0
2804.9725140046,compute_start,0,26,0,0
2830.6824192475,admission,0,27,0,0
2830.6824192475,compute_start,0,27,0,0
2845.8501093415,admission,0,28,0,0
2845.8501093415,compute_start,0,28,0,0
2861.0177994354,admission,0,29,0,0
2861.0177994354,compute_start,0,29,0,0
2885.4526485192,admission,0,30,0,0
2887.3164528825,compute_start,0,30,0,0
2915.5307735192,admission,0,31,0,0
2917.3945778825,compute_start,0,31,0,0
2933.7856120796,admission,0,32,0,0
2933.7856120796,compute_start,0,32,0,0
2948.9533021735,admission,0,33,0,0
2948.9533021735,compute_start,0,33,0,0
2966.9086595878,admission,0,34,0,0
2967.8325225448,compute_start,0,34,0,0
2989.4672533378,admission,0,35,0,0
2990.3911162948,compute_start,0,35,0,0
3008.6138482135,admission,0,36,0,0
3008.6138482135,compute_start,0,36,0,0
3023.7815383074,admission,0,37,0,0
3023.7815383074,compute_start,0,37,0,0
3038.9492284014,admission,0,38,0,1
3051.1188188975,compute_start,0,38,0,1
3051.4832739311,admission,16,38,0,1
3051.4832739311,compute_start,16,38,0,1
3051.8477289648,admission,8,38,0,1
3051.8477289648,compute_start,8,38,0,1
3052.2121839985,admission,24,4,0,0
3052.2121839985,compute_start,24,4,0,0
3080.4265046352,admission,24,5,0,0
3082.2903089985,compute_start,24,5,0,0
3109.3105565264,admission,24,6,0,0
3109.3105565264,compute_start,24,6,0,0
3124.4782466203,admission,24,7,0,0
3124.4782466203,compute_start,24,7,0,0
3139.6459367143,admission,24,8,0,0
3139.6459367143,compute_start,24,8,0,0
3162.2230625127,admission,24,9,0,0
3164.086866876,compute_start,24,9,0,0
3192.3011875127,admission,24,10,0,0
3194.164991876,compute_start,24,10,0,0
3212.4015872027,admission,24,11,0,0
3212.4015872027,compute_start,24,11,0,0
3227.5692772967,admission,24,12,0,0
3227.5692772967,compute_start,24,12,0,0
3244.5509192012,admission,24,13,0,0
3246.4147235644,compute_start,24,13,0,0
3274.6290442012,admission,24,14,0,0
3276.4928485644,compute_start,24,14,0,0
3300.3330693935,admission,24,15,0,0
3300.3330693935,compute_start,24,15,0,0
3315.5007594875,admission,24,16,0,0
3315.5007594875,compute_start,24,16,0,0
3330.6684495814,admission,24,17,0,0
3330.6684495814,compute_start,24,17,0,0
3356.9677563675,admission,24,18,0,0
3358.8315607307,compute_start,24,18,0,0
3387.0458813675,admission,24,19,0,0
3388.2672654538,compute_start,24,19,0,0
3403.4349555478,admission,24,20,0,0
3403.4349555478,compute_start,24,20,0,0
3418.6026456417,admission,24,21,0,0
3418.6026456417,compute_start,24,21,0,0
3439.3100870264,admission,24,22,0,0
3441.1738913896,compute_start,24,22,0,0
3469.3882120264,admission,24,23,0,0
3471.2520163896,compute_start,24,23,0,0
3491.3700562312,admission,24,24,0,0
3491.3700562312,compute_start,24,24,0,0
3506.5377463251,admission,24,25,0,0
3506.5377463251,compute_start,24,25,0,0
3521.7054364191,admission,24,26,0,0
3523.5174282128,compute_start,24,26,0,0
3551.7317488495,admission,24,27,0,0
3553.5955532128,compute_start,24,27,0,0
