time_ms,event,npu,request,layer,role
2031.7050262639,admission,16,28,0,0
2031.7050262639,compute_start,16,28,0,0
2055.1308893644,admission,16,29,0,0
2056.870879442,compute_start,16,29,0,0
2083.7767226978,admission,16,30,0,0
2085.5167127754,compute_start,16,30,0,0
2101.4794316497,admission,16,31,0,0
2101.4794316497,compute_start,16,31,0,0
2116.2053443623,admission,16,32,0,0
2116.2053443623,compute_start,16,32,0,0
2133.2719890207,admission,16,33,0,0
2134.1167968067,compute_start,16,33,0,0
2154.7563640207,admission,16,34,0,0
2155.6011718067,compute_start,16,34,0,0
2173.3352998783,admission,16,35,0,0
2173.3352998783,compute_start,16,35,0,0
2188.0612125909,admission,16,36,0,0
2188.0612125909,compute_start,16,36,0,0
2202.7871253035,admission,16,37,0,1
2214.4860183758,compute_start,16,37,0,1
2214.5926978981,admission,8,37,0,1
2214.5926978981,compute_start,8,37,0,1
2214.6993774203,admission,0,3,0,0
2214.6993774203,admission,24,3,0,1
2214.6993774203,compute_start,0,3,0,0
2214.6993774203,compute_start,24,3,0,1
2241.605220676,admission,0,4,0,0
2243.3452107536,compute_start,0,4,0,0
2270.2029325125,admission,0,5,0,0
2270.2029325125,compute_start,0,5,0,0
2284.928845225,admission,0,6,0,0
2284.928845225,compute_start,0,6,0,0
2299.6547579376,admission,0,7,0,0
2299.6547579376,compute_start,0,7,0,0
2321.3406309606,admission,0,8,0,0
2323.0806210382,compute_start,0,8,0,0
2349.9864642939,admission,0,9,0,0
2351.7264543715,compute_start,0,9,0,0
2369.5996191352,admission,0,10,0,0
2369.5996191352,compute_start,0,10,0,0
2384.3255318478,admission,0,11,0,0
2384.3255318478,compute_start,0,11,0,0
2400.791434638,admission,0,12,0,0
2402.5314247156,compute_start,0,12,0,0
2429.4372679713,admission,0,13,0,0
2431.1772580489,compute_start,0,13,0,0
2454.0999372336,admission,0,14,0,0
2454.0999372336,compute_start,0,14,0,0
2468.8258499462,admission,0,15,0,0
2468.8258499462,compute_start,0,15,0,0
2483.5517626588,admission,0,16,0,0
2483.5517626588,compute_start,0,16,0,0
2508.7176158369,admission,0,17,0,0
2510.4576059145,compute_start,0,17,0,0
2537.3634491702,admission,0,18,0,0
2538.600255332,compute_start,0,18,0,0
2553.3261680446,admission,0,19,0,0
2553.3261680446,compute_start,0,19,0,0
