label,strategy,submit_seed,status,input_fingerprint,result_path,audit_passed,warmup_passed,start_ms,end_ms,all_npus_active,each_npu_short_and_long_positive_compute,main_window_valid,device_utilization,request_equal_utilization,pooled_utilization,l0_exposed_stall_ms,l1_7_exposed_stall_ms,short_device_compute_contribution,short_request_equal_utilization,short_pooled_utilization,long_device_compute_contribution,long_request_equal_utilization,long_pooled_utilization,nominal_max_ssu_gib_s,nominal_max_npu_link_gib_s,nominal_any_ssu_over_capacity_ms,full_run_nominal_max_ssu_gib_s,static_max_proof_gib_s,makespan_ms,full_run_device_utilization,SS_request_count,SS_request_equal_utilization,SS_pooled_utilization,SL_request_count,SL_request_equal_utilization,SL_pooled_utilization,LS_request_count,LS_request_equal_utilization,LS_pooled_utilization,LL_request_count,LL_request_equal_utilization,LL_pooled_utilization,random_reference_label,order_mode,pair_input_content_valid,paired_random_device_utilization,paired_device_delta_pp,paired_device_relative_reduction,paired_request_equal_delta_pp,paired_request_equal_relative_reduction
concurrency_l1024_seed7,baseline,7,complete,6aaac9eaa305b903c3e7de32d1a908fb82070555f5ee528033ec4ac1432d683a,runs/concurrency_l1024_seed7/baseline/concurrency_l1024_seed7_6aaac9eaa305_baseline_104671470b.json.gz,True,True,2000.0,4000.0,True,True,True,0.9263188369860623,0.8981890865988107,0.9263188369860623,1037.5529461926408,3678.041486699367,0.4941162743615767,0.8968232542505694,0.8824697648796315,0.4322025626244857,0.9613898743492535,0.9821096066648393,30.735145904843066,7.52093395275879,0.0,30.735145904843066,40.12477328723145,5041.808016866523,0.9183213154025642,5599,0.8968232542505694,0.8824697648796315,0,,,0,,,121,0.9613898743492535,0.9821096066648393,,,,,,,,
concurrency_l1024_seed7,baseline,7,complete,6aaac9eaa305b903c3e7de32d1a908fb82070555f5ee528033ec4ac1432d683a,runs/concurrency_l1024_seed7/baseline/concurrency_l1024_seed7_6aaac9eaa305_baseline_104671470b.json.gz,True,True,2000.0,2250.0,True,False,True,0.9147569659267376,0.8900221953624909,0.9147569659267376,172.17945076986098,509.7648218162383,0.4491327753204688,0.885973726339349,0.8588837176410378,0.4656241906062688,0.9727627810229554,0.976000283456666,29.328239633592577,7.52093395275879,0.0,30.735145904843066,40.12477328723145,5041.808016866523,0.9183213154025642,654,0.885973726339349,0.8588837176410378,0,,,0,,,32,0.9727627810229554,0.976000283456666,,,,,,,,
concurrency_l1024_seed7,baseline,7,complete,6aaac9eaa305b903c3e7de32d1a908fb82070555f5ee528033ec4ac1432d683a,runs/concurrency_l1024_seed7/baseline/concurrency_l1024_seed7_6aaac9eaa305_baseline_104671470b.json.gz,True,True,2250.0,2500.0,True,False,True,0.9240863977189608,0.8677943466563192,0.9240863977189608,137.37097218731606,469.9378460609978,0.3758638411652151,0.8643750399299467,0.8474971900108453,0.5482225565537456,0.9228049578129581,0.9851234593928905,30.735145904843066,7.52093395275879,0.0,30.735145904843066,40.12477328723145,5041.808016866523,0.9183213154025642,547,0.8643750399299467,0.8474971900108453,0,,,0,,,34,0.9228049578129581,0.9851234593928905,,,,,,,,
concurrency_l1024_seed7,baseline,7,complete,6aaac9eaa305b903c3e7de32d1a908fb82070555f5ee528033ec4ac1432d683a,runs/concurrency_l1024_seed7/baseline/concurrency_l1024_seed7_6aaac9eaa305_baseline_104671470b.json.gz,True,True,2500.0,2750.0,True,False,True,0.9183993362575381,0.879940742146136,0.9183993362575381,143.59628233034346,509.2090276093513,0.41898124067473136,0.8769232876040968,0.8503584096284355,0.4994180955828068,0.9472188026760461,0.984485058700534,27.22981570997395,7.52093395275879,0.0,30.735145904843066,40.12477328723145,5041.808016866523,0.9183213154025642,602,0.8769232876040968,0.8503584096284355,0,,,0,,,27,0.9472188026760461,0.984485058700534,,,,,,,,
concurrency_l1024_seed7,baseline,7,complete,6aaac9eaa305b903c3e7de32d1a908fb82070555f5ee528033ec4ac1432d683a,runs/concurrency_l1024_seed7/baseline/concurrency_l1024_seed7_6aaac9eaa305_baseline_104671470b.json.gz,True,True,2750.0,3000.0,True,False,True,0.9289571879729492,0.9098306768693515,0.9289571879729492,101.33808759348904,467.0044086229168,0.5324761524949281,0.9082148455391894,0.8935093794416856,0.3964810354780212,0.95579210137174,0.9812380067239828,25.377384399929614,7.52093395275879,0.0,30.735145904843066,40.12477328723145,5041.808016866523,0.9183213154025642,768,0.9082148455391894,0.8935093794416856,0,,,0,,,27,0.95579210137174,0.9812380067239828,,,,,,,,
concurrency_l1024_seed7,baseline,7,complete,6aaac9eaa305b903c3e7de32d1a908fb82070555f5ee528033ec4ac1432d683a,runs/concurrency_l1024_seed7/baseline/concurrency_l1024_seed7_6aaac9eaa305_baseline_104671470b.json.gz,True,True,3000.0,3250.0,True,False,True,0.9412007354566139,0.9220786552941892,0.9412007354566139,85.35335005019078,385.04076629689825,0.5616217116147383,0.9204543484472856,0.9117341417430229,0.3795790238418756,0.9815135194649784,0.9884686339166009,23.443976728799715,7.52093395275879,0.0,30.735145904843066,40.12477328723145,5041.808016866523,0.9183213154025642,805,0.9204543484472856,0.9117341417430229,0,,,0,,,22,0.9815135194649784,0.9884686339166009,,,,,,,,
concurrency_l1024_seed7,baseline,7,complete,6aaac9eaa305b903c3e7de32d1a908fb82070555f5ee528033ec4ac1432d683a,runs/concurrency_l1024_seed7/baseline/concurrency_l1024_seed7_6aaac9eaa305_baseline_104671470b.json.gz,True,True,3250.0,3500.0,True,False,True,0.9270819972398769,0.9037455910908667,0.9270819972398769,133.46578255072973,449.8782395302551,0.5437194295018476,0.9019990200123532,0.8932303439065951,0.3833625677380293,0.9638124486171314,0.9797435905678369,24.0140169462158,7.52093395275879,0.0,30.735145904843066,40.12477328723145,5041.808016866523,0.9183213154025642,791,0.9019990200123532,0.8932303439065951,0,,,0,,,23,0.9638124486171314,0.9797435905678369,,,,,,,,
concurrency_l1024_seed7,baseline,7,complete,6aaac9eaa305b903c3e7de32d1a908fb82070555f5ee528033ec4ac1432d683a,runs/concurrency_l1024_seed7/baseline/concurrency_l1024_seed7_6aaac9eaa305_baseline_104671470b.json.gz,True,True,3500.0,3750.0,True,False,True,0.9273307858061104,0.9031983507025282,0.9273307858061104,122.61834782362484,458.7353657274921,0.5393028835258982,0.9010243756250756,0.8903763203187313,0.38802790228021217,0.971895963150027,0.9840985378142529,24.7581473751131,7.52093395275879,0.0,30.735145904843066,40.12477328723145,5041.808016866523,0.9183213154025642,790,0.9010243756250756,0.8903763203187313,0,,,0,,,25,0.971895963150027,0.9840985378142529,,,,,,,,
concurrency_l1024_seed7,baseline,7,complete,6aaac9eaa305b903c3e7de32d1a908fb82070555f5ee528033ec4ac1432d683a,runs/concurrency_l1024_seed7/baseline/concurrency_l1024_seed7_6aaac9eaa305_baseline_104671470b.json.gz,True,True,3750.0,4000.0,True,False,True,0.9287372895097121,0.8990788060075944,0.9287372895097121,141.6306728870859,428.4710110352171,0.5318321605947861,0.8994618684488386,0.8954699686022298,0.39690512891492596,0.8885582696748484,0.9773918319302964,26.032205491203243,7.52093395275879,0.0,30.735145904843066,40.12477328723145,5041.808016866523,0.9183213154025642,769,0.8994618684488386,0.8954699686022298,0,,,0,,,28,0.8885582696748484,0.9773918319302964,,,,,,,,
concurrency_l1024_seed7__exact_cohort2_p1,baseline,7,complete,2deab240d67209d74e7bd7fa1b6a0ef9405b61246bee79adaf3584de212507fc,runs/concurrency_l1024_seed7__exact_cohort2_p1/baseline/concurrency_l1024_seed7__exact_cohort2_p1_2deab240d672_baseline_104671470b.json.gz,True,True,2000.0,4000.0,True,True,True,0.8563524862721427,0.849300801771092,0.8563524862721427,1459.979357071766,7733.461521511106,0.450202343308699,0.8463898539219488,0.7687195835482022,0.4061501429634436,0.9817489289071154,0.9802156031558492,32.645130963367635,7.52093395275879,0.0,40.12477328723145,40.12477328723145,5489.062676634656,0.8434955187822176,5096,0.8463898539219488,0.7687195835482022,0,,,0,,,112,0.9817489289071154,0.9802156031558492,concurrency_l1024_seed7,exact_cohort2,True,0.9263188369860623,-6.996635071391966,0.07553160739078481,-4.888828482771867,0.05442983616383589
