order,strategy,start_ms,end_ms,U_percent,passed,count,slo_percent,A_slo_percent,B_slo_percent,completion_after_window_count
random,baseline,2000.0,4000.0,90.67794278896096,264,341,77.41935483870968,28.703703703703702,100.0,32
random,baseline,2000.0,20000.0,91.2598858160183,2456,3114,78.86962106615286,36.054421768707485,100.0,32
random,once,2000.0,4000.0,91.24281038614288,273,343,79.59183673469387,33.9622641509434,100.0,32
random,once,2000.0,20000.0,90.86429247488897,2394,3093,77.40058195926285,31.470588235294116,100.0,32
ordered,baseline,2000.0,4000.0,71.00894540379132,160,224,71.42857142857143,0.0,100.0,32
ordered,baseline,2000.0,20000.0,64.21624284987489,1440,2176,66.17647058823529,0.0,100.0,32
ordered,once,2000.0,4000.0,83.41703512991877,238,319,74.60815047021944,25.68807339449541,100.0,32
ordered,once,2000.0,20000.0,90.43099048587162,2467,3092,79.78654592496765,39.26141885325559,100.0,32
