scenario,policy,seed,count,passed,slo_percent,U_percent,after_window_count,maximum_ratio,case
full,baseline,19,197,82,41.6243654822335,63.58039407684317,32,15.597214388189867,full_baseline_seed19_remote
full,baseline,43,186,77,41.39784946236559,59.49004214281458,32,16.562048125692833,full_baseline_seed43_local
full,baseline,7,206,78,37.86407766990291,64.08449864594283,32,16.327982165074165,full_baseline_seed7_remote
full,once,19,203,163,80.29556650246306,63.10141964915474,32,4.564086221065202,full_once_seed19_remote
full,once,43,189,144,76.19047619047619,65.53595269210966,32,5.270286876532773,full_once_seed43_local
full,once,7,210,151,71.9047619047619,64.68486716383389,32,4.712303491318437,full_once_seed7_remote
full,static,19,205,160,78.04878048780488,61.86770424506675,32,5.2095518652902415,full_static_seed19_remote
full,static,43,191,151,79.05759162303664,65.79614464712682,32,4.528483529879345,full_static_seed43_local
full,static,7,206,152,73.7864077669903,65.46107940403019,32,5.47737139387141,full_static_seed7_remote
semi,baseline,19,170,164,96.47058823529412,99.39328877990621,32,2.194252834175392,semi_baseline_seed19_local
semi,baseline,43,158,153,96.83544303797468,99.21139593688847,32,2.821354713926963,semi_baseline_seed43_local
semi,baseline,7,178,170,95.50561797752809,99.12358230165013,32,2.642343537060413,semi_baseline_seed7_remote
semi,once,19,164,164,100.0,99.47175529015799,32,1.3913988801156267,semi_once_seed19_remote
semi,once,43,154,154,100.0,99.57487213491923,32,1.1501396214767632,semi_once_seed43_local
semi,once,7,175,174,99.42857142857143,98.80441232441721,32,1.5534861564015383,semi_once_seed7_remote
semi,static,19,170,170,100.0,98.9829154188319,32,1.4017554871307312,semi_static_seed19_local
semi,static,43,159,159,100.0,99.44252679096155,32,1.2573931993342045,semi_static_seed43_local
semi,static,7,180,180,100.0,99.11138606846805,32,1.3323520671243434,semi_static_seed7_remote
