scenario,policy,seed_count,total_samples,mean_slo_percent,mean_U_percent,maximum_ratio
semi,baseline,3,506,96.27054975026563,99.24275567281494,2.821354713926963
semi,once,3,493,99.80952380952381,99.28367991649814,1.5534861564015383
semi,static,3,509,100.0,99.17894275942051,1.4017554871307312
full,baseline,3,589,40.29543087150066,62.384978288533524,16.562048125692833
full,once,3,602,76.13026819923371,64.44074650169942,5.270286876532773
full,static,3,602,76.96425995927727,64.37497609874124,5.47737139387141
