start_ms,end_ms,mean_demand_GiB_s_per_card,mean_supply_GiB_s_per_card
2000.0,2001.2652016933546,10.651523968527032,8.582477930977618
2001.2652016933546,2001.4184225052154,10.651523968527032,7.087376351928899
2001.4184225052154,2001.4355602878422,10.651523968527032,7.128467991507146
2001.4355602878422,2002.6960946376905,9.802742922888566,7.128467991507146
2002.6960946376905,2003.554713159761,9.802742922888566,5.8436250225873465
2003.554713159761,2005.0635720546827,9.802742922888566,5.8847166621655935
2005.0635720546827,2005.6511022672432,9.802742922888566,5.112954370832755
2005.6511022672432,2007.1196938808546,9.802742922888566,5.154046010411002
2007.1196938808546,2007.2892132419438,9.802742922888566,4.6929331519583215
2007.2892132419438,2007.5497843585536,8.9539618772501,4.6929331519583215
2007.5497843585536,2007.790202688383,8.9539618772501,4.7340247915365685
2007.790202688383,2008.0464731753216,8.9539618772501,4.7751164311148155
2008.0464731753216,2008.8636208828077,8.9539618772501,4.816208070693063
2008.8636208828077,2009.6600374561099,8.9539618772501,4.493666589726062
2009.6600374561099,2011.087583603272,8.9539618772501,4.534758229304309
2011.087583603272,2011.5580404251373,8.9539618772501,4.534758229304309
2011.5580404251373,2011.5868945829143,8.9539618772501,4.474195374297368
2011.5868945829143,2011.7220498378858,8.9539618772501,4.413885663461587
2011.7220498378858,2012.2121234647502,8.9539618772501,4.246298242050719
2012.2121234647502,2014.089527254878,8.9539618772501,4.191180015981614
2014.089527254878,2014.2368734329498,8.9539618772501,4.110525041890019
2014.2368734329498,2014.5762439481487,8.9539618772501,4.069089660114459
2014.5762439481487,2014.586353426753,8.9539618772501,4.029575708705617
2014.586353426753,2015.520420199214,8.9539618772501,3.990117623247204
2015.520420199214,2016.610225483731,8.9539618772501,3.929527525011974
2016.610225483731,2017.3886592556128,8.9539618772501,3.8998840165957955
2017.3886592556128,2017.8929330165968,9.802742922888566,3.878296155887039
2017.8929330165968,2018.6918445340862,9.802742922888566,3.85190642168525
2018.6918445340862,2018.6977578456983,9.802742922888566,3.8301403397759297
2018.6977578456983,2019.3238259609327,9.802742922888566,3.8038335584028964
2019.3238259609327,2020.3326285835003,9.802742922888566,3.7911475008984348
2020.3326285835003,2020.4654649272147,9.802742922888566,3.7744538544775104
2020.4654649272147,2022.0026589687452,9.802742922888566,3.9045242442584525
2022.0026589687452,2023.7482644374952,9.802742922888566,3.8853657967476574
2023.7482644374952,2023.880747280979,9.802742922888566,3.8609496870142315
2023.880747280979,2024.2665745336844,9.802742922888566,3.8528415781931336
2024.2665745336844,2025.489673739253,9.802742922888566,3.8455157224969
2025.489673739253,2027.8563119228468,9.802742922888566,3.8122010665396022
2027.8563119228468,2028.1159935574447,9.802742922888566,3.8006810824159722
2028.1159935574447,2028.3038115911606,9.802742922888566,3.799984166472894
2028.3038115911606,2030.011264501096,9.802742922888566,3.799564550437094
2030.011264501096,2030.2246285732374,9.802742922888566,3.799564550437094
2030.2246285732374,2031.969394808589,9.802742922888566,3.7805796758342405
2031.969394808589,2032.1475551556416,9.802742922888566,3.7558654052913574
2032.1475551556416,2034.243944263124,9.802742922888566,3.7558654052913574
2034.243944263124,2034.3427468593702,9.802742922888566,3.755865405291357
2034.3427468593702,2036.0866738613233,9.802742922888566,3.750666818987143
2036.0866738613233,2036.1426263544342,9.802742922888566,3.7482283630049125
2036.1426263544342,2036.3830446842637,9.802742922888566,3.7482283630049125
2036.3830446842637,2036.6393151712023,9.802742922888566,3.7482283630049125
2036.6393151712023,2037.5142098720655,9.802742922888566,3.748228363004912
2037.5142098720655,2038.2528794519906,9.802742922888566,3.5436690457482767
2038.2528794519906,2039.5736886318311,9.802742922888566,3.5436690457482767
2039.5736886318311,2040.150882421018,9.802742922888566,3.353848457682028
2040.150882421018,2040.179736578795,9.802742922888566,3.353848457682028
2040.179736578795,2040.804965460631,9.802742922888566,3.353848457682028
2040.804965460631,2042.7401162441358,9.802742922888566,3.353848457682028
2042.7401162441358,2042.8297154288305,9.802742922888566,3.4212926204513527
2042.8297154288305,2043.1690859440293,9.802742922888566,3.4212926204513527
2043.1690859440293,2043.1791954226337,9.802742922888566,3.4212926204513527
2043.1791954226337,2043.5382214206547,9.802742922888566,3.4212926204513523
2043.5382214206547,2044.1710091884718,8.9539618772501,3.4212926204513523
2044.1710091884718,2045.2030674796117,8.9539618772501,3.4670876256990533
2045.2030674796117,2045.5977001804204,8.9539618772501,3.4670876256990533
2045.5977001804204,2046.2271310146436,8.105180831611634,3.4670876256990533
2046.2271310146436,2047.2846865299668,8.105180831611634,3.290207417923971
2047.2846865299668,2047.290599841579,8.105180831611634,3.290207417923971
2047.290599841579,2047.6571847255811,8.105180831611634,3.2902074179239706
2047.6571847255811,2048.925470579381,8.105180831611634,3.3426704355027534
2048.925470579381,2049.0583069230956,8.105180831611634,3.342670435502753
2049.0583069230956,2050.024662142573,8.9539618772501,3.471865584921398
2050.024662142573,2051.455555086909,8.9539618772501,3.509405528915319
2051.455555086909,2052.251142563233,8.9539618772501,3.542584575839841
2052.251142563233,2052.47358927686,8.105180831611634,3.542584575839841
2052.47358927686,2052.8594165295654,8.105180831611634,3.542584575839841
2052.8594165295654,2053.5150338466747,8.105180831611634,3.542584575839841
2053.5150338466747,2054.630375033198,8.105180831611634,3.571259939483192
2054.630375033198,2054.945087557612,8.105180831611634,3.5437073035037034
2054.945087557612,2055.2598000820262,8.105180831611634,3.562248912462091
2055.2598000820262,2056.7088355533256,8.105180831611634,3.528438192616015
2056.7088355533256,2056.8966535870413,8.105180831611634,3.528438192616015
2056.8966535870413,2058.604106496977,8.105180831611634,3.5284381926160147
2058.604106496977,2059.1865731533153,8.105180831611634,3.528438192616014
2059.1865731533153,2060.622501498042,8.105180831611634,3.289793569367638
2060.622501498042,2060.7403971515223,8.105180831611634,3.249266833151562
2060.7403971515223,2061.5599252040965,8.105180831611634,3.2492668331515615
