id,strategy,A_request,B_request,mode,n_A,n_B,npu_count,ssu_count,warm_npu_utilization_pct,warm_A_utilization_pct,warm_B_utilization_pct,full_slo15_pct,warm_slo15_pct,warm_request_count,full_request_count,full_A_slo15_pct,warm_A_slo15_pct,full_B_slo15_pct,warm_B_slo15_pct
E1,baseline,200K/2048,20K/1024,fixed,4,4,8,1,83.50216251273241,100.00000000000028,67.00432502546619,39.83050847457627,22.22222222222222,144,472,100.0,100.0,34.862385321100916,12.5
E1,once,200K/2048,20K/1024,fixed,4,4,8,1,96.92400101483997,100.00000000000028,93.84800202968364,100.0,100.0,192,472,100.0,100.0,100.0,100.0
