order,policy,window,npu_id,seed_count,seeds,complete_seed_set,seed_interpretation,mean_U_percent,min_U_percent,max_U_percent,mean_active_ms,min_active_ms,max_active_ms,mean_compute_ms,min_compute_ms,max_compute_ms
ordered,asu_baseline,full_population,0,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078334,99.63340908593405,99.63375779924105,8351.280542942308,8351.231620994065,8351.332229001877,8333.217548680406,8333.217548680406,8333.217548680408
ordered,asu_baseline,full_population,1,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078334,99.63340908593405,99.63375779924105,8349.509760471605,8345.919273581956,8353.04436513469,8333.217548680406,8333.217548680406,8333.217548680408
ordered,asu_baseline,full_population,2,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078334,99.63340908593406,99.63375779924105,8344.07928706745,8344.051312620837,8344.093274290759,8333.217548680406,8333.217548680406,8333.217548680408
ordered,asu_baseline,full_population,3,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078334,99.63340908593406,99.63375779924105,8348.768779076452,8344.449948485095,8356.736992087815,8333.217548680406,8333.217548680406,8333.217548680408
ordered,asu_baseline,full_population,4,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078334,99.63340908593406,99.63375779924105,8344.11705257038,8344.097470457751,8344.13523596068,8333.217548680406,8333.217548680406,8333.217548680408
ordered,asu_baseline,full_population,5,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078334,99.63340908593406,99.63375779924105,8350.750238295763,8344.445752318103,8360.17784902141,8333.217548680406,8333.217548680406,8333.217548680408
ordered,asu_baseline,full_population,6,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078334,99.63340908593406,99.63375779924105,8344.301683918036,8344.277905638415,8344.315671141345,8333.217548680406,8333.217548680406,8333.217548680408
ordered,asu_baseline,full_population,7,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078334,99.63340908593405,99.63375779924105,8355.482304823818,8347.799056394455,8363.870475974534,8333.217548680406,8333.217548680406,8333.217548680408
ordered,asu_baseline,full_population,8,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078332,99.63340908593405,99.63375779924104,8344.003856061592,8343.984273948961,8344.017843284899,8333.217548680406,8333.217548680406,8333.217548680406
ordered,asu_baseline,full_population,9,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078334,99.63340908593406,99.63375779924105,8344.121248737372,8344.110058958728,8344.126843626696,8333.217548680406,8333.217548680406,8333.217548680408
ordered,asu_baseline,full_population,10,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078334,99.63340908593406,99.63375779924105,8344.233146523831,8344.214963133532,8344.256924803454,8333.217548680406,8333.217548680406,8333.217548680408
