order,policy,latency_ratio,mean_cdf
random,asu_baseline,1.0,1.0
random,asu_baseline,1.5,1.0
random,od_baseline,1.0,1.0
random,od_baseline,1.5,1.0
ordered,asu_baseline,1.0,0.9770833333333333
ordered,asu_baseline,1.0001009214374856,0.9791666666666666
ordered,asu_baseline,1.0003489167634019,0.9812499999999998
ordered,asu_baseline,1.0013775113741525,0.9833333333333334
ordered,asu_baseline,1.001557408101535,0.9854166666666666
ordered,asu_baseline,1.001760362158683,0.9875000000000002
ordered,asu_baseline,1.0054087049289162,0.9895833333333334
ordered,asu_baseline,1.0055663493696052,0.9916666666666667
ordered,asu_baseline,1.0056449032422594,0.99375
ordered,asu_baseline,1.0092822540429909,0.9958333333333332
ordered,asu_baseline,1.0093385556289514,0.9979166666666667
ordered,asu_baseline,1.0093608079156449,1.0
ordered,asu_baseline,1.5,1.0
ordered,od_baseline,1.0,0.8312500000000002
ordered,od_baseline,1.0001021240039794,0.8375
ordered,od_baseline,1.000203466858708,0.84375
ordered,od_baseline,1.0005863176432386,0.85
ordered,od_baseline,1.0006989208151593,0.8562499999999998
ordered,od_baseline,1.0008482764661248,0.8625000000000002
ordered,od_baseline,1.0015351558148415,0.86875
ordered,od_baseline,1.0019075274314344,0.875
ordered,od_baseline,1.0021852826845137,0.88125
ordered,od_baseline,1.0023008573839027,0.8874999999999998
ordered,od_baseline,1.0033928398038439,0.8937500000000002
ordered,od_baseline,1.0035515337414778,0.9
ordered,od_baseline,1.0036633557641441,0.90625
ordered,od_baseline,1.0046092224082788,0.9125
ordered,od_baseline,1.0053494318154874,0.9187499999999998
ordered,od_baseline,1.0070639715561516,0.9250000000000002
ordered,od_baseline,1.007626719068065,0.93125
ordered,od_baseline,1.008831841355308,0.9375
ordered,od_baseline,1.0096423158454468,0.94375
ordered,od_baseline,1.0116356603361352,0.9499999999999998
ordered,od_baseline,1.0139890666292795,0.9562500000000002
ordered,od_baseline,1.0168491871960672,0.9625
ordered,od_baseline,1.0169727823374894,0.96875
ordered,od_baseline,1.0230311013345177,0.975
ordered,od_baseline,1.026251552051452,0.9812499999999998
ordered,od_baseline,1.0297760313325721,0.9875000000000002
ordered,od_baseline,1.043502357989715,0.99375
ordered,od_baseline,1.0510690227951005,1.0
ordered,od_baseline,1.5,1.0
