order,policy,seed,window,ssu_id,capacity_GiB_s,mean_demand_GiB_s,maximum_demand_GiB_s,minimum_demand_GiB_s,overload_percent,at_or_above_capacity_percent,actual_GiB_s,busy_percent
ordered,asu_baseline,19,warm_2_4s,0,40,26.755686048472793,37.13562527409667,16.96820633843994,0.0,0.0,27.12175843392279,67.80439608480698
ordered,asu_baseline,19,warm_2_4s,1,40,29.175507606988727,40.51191878096923,18.13861783795166,18.630025773534545,18.630025773534545,29.50250397700345,73.75625994250862
ordered,asu_baseline,19,warm_2_4s,2,40,28.668407490688413,39.697572641638175,17.961951951232912,0.0,0.0,29.022789928063407,72.55697482015852
ordered,asu_baseline,19,long_2_6s,0,40,24.83035760641895,37.67260588330078,16.96820633843994,0.0,0.0,25.099361245187982,62.74840311296996
ordered,asu_baseline,19,long_2_6s,1,40,27.21701254359938,40.712183412011726,18.13861783795166,19.374293679257697,19.374293679257697,27.432327343244435,68.58081835811107
ordered,asu_baseline,19,long_2_6s,2,40,26.658156537936257,40.05917205468751,17.961951951232912,10.024557510630075,10.024557510630075,26.938900066633114,67.34725016658278
ordered,asu_baseline,19,full_population,0,40,23.325507230330803,37.82194928789063,0.5834720178955078,0.0,0.0,23.272508233565063,58.181270583912664
ordered,asu_baseline,19,full_population,1,40,25.571467014526828,41.13093060527344,0.6567725226562501,15.387666140362677,15.387666140362677,25.51242293330775,63.78105733326937
ordered,asu_baseline,19,full_population,2,40,25.08610143274182,40.15873432441407,0.5893360582763673,10.913207885321215,10.913207885321215,25.029505543913686,62.573763859784215
ordered,asu_baseline,43,warm_2_4s,0,40,26.75590185206834,37.18607149511718,16.95440431604004,0.0,0.0,27.12175843392279,67.80439608480698
ordered,asu_baseline,43,warm_2_4s,1,40,29.175484597588525,40.51191878096923,18.08340974835205,18.630445390233763,18.630445390233763,29.50250397700344,73.75625994250859
ordered,asu_baseline,43,warm_2_4s,2,40,28.6682032198601,39.614696707104486,18.072368130432128,0.0,0.0,29.022789928063396,72.5569748201585
ordered,asu_baseline,43,long_2_6s,0,40,24.83043683872773,37.67260588330078,16.95440431604004,0.0,0.0,25.099361245187975,62.74840311296994
ordered,asu_baseline,43,long_2_6s,1,40,27.217064612167814,40.712183412011726,18.08340974835205,19.3767039752782,19.3767039752782,27.43232734324444,68.5808183581111
ordered,asu_baseline,43,long_2_6s,2,40,26.65802094366685,40.05917205468751,18.072368130432128,10.024764818979678,10.024764818979678,26.9389000666331,67.34725016658274
ordered,asu_baseline,43,full_population,0,40,23.325888763104437,37.7487417366211,0.5820060078002931,0.0,0.0,23.272531307022675,58.181328267556694
ordered,asu_baseline,43,full_population,1,40,25.57150452942064,41.183640042187506,0.6274523207519532,15.389434960693167,15.389434960693167,25.51244822752199,63.78112056880497
ordered,asu_baseline,43,full_population,2,40,25.086216712283704,40.28757961464844,0.620122270275879,10.87159114506595,10.87159114506595,25.029530359340946,62.57382589835236
ordered,asu_baseline,7,warm_2_4s,0,40,26.75579836098046,37.13562527409667,16.90747743988037,0.0,0.0,27.12175843392279,67.80439608480698
ordered,asu_baseline,7,warm_2_4s,1,40,29.175303533370684,40.555158398986805,18.08340974835205,18.630025773534545,18.630025773534545,29.50250397700344,73.75625994250859
ordered,asu_baseline,7,warm_2_4s,2,40,28.66849515300129,39.74801886265868,17.995076804992678,0.0,0.0,29.022789928063396,72.5569748201585
ordered,asu_baseline,7,long_2_6s,0,40,24.830364006682395,37.67260588330078,16.90747743988037,0.0,0.0,25.099361245187975,62.74840311296994
ordered,asu_baseline,7,long_2_6s,1,40,27.216941814296227,40.712183412011726,18.08340974835205,19.375025508481325,19.375025508481325,27.43232734324444,68.5808183581111
ordered,asu_baseline,7,long_2_6s,2,40,26.65821619554719,40.05917205468751,17.995076804992678,10.025289339853702,10.025289339853702,26.9389000666331,67.34725016658274
ordered,asu_baseline,7,full_population,0,40,23.325594129111824,37.7487417366211,0.5834720178955078,0.0,0.0,23.272589686497195,58.18147421624299
ordered,asu_baseline,7,full_population,1,40,25.571304166339953,41.10164758476563,0.6567725226562501,15.388620670491553,15.388620670491553,25.512512225859837,63.7812805646496
ordered,asu_baseline,7,full_population,2,40,25.086469740972074,40.13530790800782,0.5893360582763673,10.858107744108597,10.858107744108597,25.02959314627248,62.573982865681195
ordered,od_baseline,19,warm_2_4s,0,40,26.75163198838843,37.13562527409667,16.882633799560548,0.0,0.0,27.121170970543883,67.80292742635972
ordered,od_baseline,19,warm_2_4s,1,40,29.178959634741023,40.77495979057616,18.066847321472167,18.762904380749458,18.762904380749458,29.50250397700344,73.75625994250859
ordered,od_baseline,19,warm_2_4s,2,40,28.668222544133837,39.7768452746704,17.995076804992678,0.0,0.0,29.02220246468449,72.55550616171124
ordered,od_baseline,19,long_2_6s,0,40,24.828151192856136,37.67260588330078,16.882633799560548,0.0,0.0,25.095879426584464,62.73969856646115
ordered,od_baseline,19,long_2_6s,1,40,27.218465026037894,40.77495979057616,18.066847321472167,19.07954540901261,19.07954540901261,27.43203361155499,68.58008402888747
ordered,od_baseline,19,long_2_6s,2,40,26.656567885794594,40.05917205468751,17.995076804992678,9.649207873178897,9.649207873178897,26.938606334943646,67.3465158373591
