order,policy,seed,window,start_ms,end_ms,U_percent,all_npus_active,admitted_in_window,completed_in_window,completed_after_window,timely_completions_per_second,total_completions_per_second,strict_underload_all_disks,any_disk_overload_percent,any_disk_at_or_above_capacity_percent,makespan_ms,cohort_count,admission_latency_mean_ms,admission_latency_p50_ms,admission_latency_p95_ms,admission_latency_minimum_ms,admission_latency_maximum_ms,admission_normalized_mean,admission_normalized_p50,admission_normalized_p95,admission_normalized_minimum,admission_normalized_maximum,admission_slo1_count,admission_slo1_passed,admission_slo1_percent,admission_slo1p5_count,admission_slo1p5_passed,admission_slo1p5_percent,arrival_latency_mean_ms,arrival_latency_p50_ms,arrival_latency_p95_ms,arrival_latency_minimum_ms,arrival_latency_maximum_ms,arrival_normalized_mean,arrival_normalized_p50,arrival_normalized_p95,arrival_normalized_minimum,arrival_normalized_maximum,arrival_slo1_count,arrival_slo1_passed,arrival_slo1_percent,arrival_slo1p5_count,arrival_slo1p5_passed,arrival_slo1p5_percent,SSU0_mean_demand_GiB_s,SSU0_maximum_demand_GiB_s,SSU0_overload_percent,SSU0_actual_GiB_s,SSU1_mean_demand_GiB_s,SSU1_maximum_demand_GiB_s,SSU1_overload_percent,SSU1_actual_GiB_s,SSU2_mean_demand_GiB_s,SSU2_maximum_demand_GiB_s,SSU2_overload_percent,SSU2_actual_GiB_s,case,manifest_sha256,result_sha256
ordered,asu_baseline,19,warm_2_4s,2000.0,4000.0,99.99029707928958,True,160,160,32,80.0,80.0,False,18.630025773534545,18.630025773534545,8363.878768308517,160,392.43586225645015,372.65086947459713,486.44082678401537,243.80186035081715,486.44082678401537,1.000104150254353,0.9999999999999963,0.9999999999999994,0.9999999999999943,1.0093608079156449,160,156,97.5,160,160,100.0,3293.52122776615,3361.7616166645357,4107.218613792441,2388.4687387312706,4110.74049633713,8.73263680135237,9.798448459987252,11.021626273362035,5.910091026943701,11.03107716381522,160,0,0.0,160,0,0.0,26.755686048472793,37.13562527409667,0.0,27.12175843392279,29.175507606988727,40.51191878096923,18.630025773534545,29.50250397700345,28.668407490688413,39.697572641638175,0.0,29.022789928063407,ordered_asu_baseline_seed19_remote,e89306939e5650fa477a677259e889f3dafc529be68b69844ab2f0e77e57b523,b436184dba9de7438de22e35a7a41dc51d33c3ab29fc767a39480dc2f01283ef
ordered,asu_baseline,19,long_2_6s,2000.0,6000.0,99.98936133649981,True,256,256,32,64.0,64.0,False,19.374293679257697,19.374293679257697,8363.878768308517,256,488.6627459901391,461.60903240592233,744.1386016188335,243.80186035081715,744.1386016188335,1.000145584468866,0.9999999999999994,1.000000000000001,0.9999999999999943,1.0093608079156449,256,246,96.09375,256,256,100.0,4121.098091096835,3738.0896268625324,6054.029214076404,2388.4687387312706,6060.626731980719,8.86315467593882,7.524159729645044,13.202544575260513,5.910091026943701,13.21693235258,256,0,0.0,256,0,0.0,24.83035760641895,37.67260588330078,0.0,25.099361245187982,27.21701254359938,40.712183412011726,19.374293679257697,27.432327343244435,26.658156537936257,40.05917205468751,10.024557510630075,26.938900066633114,ordered_asu_baseline_seed19_remote,e89306939e5650fa477a677259e889f3dafc529be68b69844ab2f0e77e57b523,b436184dba9de7438de22e35a7a41dc51d33c3ab29fc767a39480dc2f01283ef
ordered,asu_baseline,19,full_population,0.0,8363.878768308517,99.63340908593405,False,640,640,0,76.51952135234397,76.51952135234397,False,15.387666140362677,15.387666140362677,8363.878768308517,640,417.394614141387,376.1391826833483,915.9373744307086,114.9528209770001,916.7900647291208,1.0051990326839149,1.0000000000000004,1.0275411896191409,0.9999999999999943,1.098187672817914,640,574,89.6875,640,640,100.0,3217.3003639847575,2389.0687906111534,7447.941393877809,125.63971907270312,8363.878768308517,6.894427891231781,6.524159729645042,13.21693235258,1.0929676888733455,14.24447354219914,640,0,0.0,640,32,5.0,23.325507230330803,37.82194928789063,0.0,23.272508233565063,25.571467014526828,41.13093060527344,15.387666140362677,25.51242293330775,25.08610143274182,40.15873432441407,10.913207885321215,25.029505543913686,ordered_asu_baseline_seed19_remote,e89306939e5650fa477a677259e889f3dafc529be68b69844ab2f0e77e57b523,b436184dba9de7438de22e35a7a41dc51d33c3ab29fc767a39480dc2f01283ef
ordered,asu_baseline,43,warm_2_4s,2000.0,4000.0,99.99061107768664,True,160,160,32,80.0,80.0,False,18.630445390233763,18.630445390233763,8363.870475974534,160,392.43460626286185,372.65086947459713,486.44082678401537,243.80186035081715,486.44082678401537,1.0001007798245722,0.9999999999999963,0.9999999999999994,0.9999999999999943,1.0093385556289514,160,157,98.125,160,160,100.0,3293.5223874250923,3361.723851161606,4107.218613792441,2388.4604463972864,4110.732204003146,8.732640032788106,9.798293557547725,11.021626273362035,5.9100739799905515,11.031054911528527,160,0,0.0,160,0,0.0,26.75590185206834,37.18607149511718,0.0,27.12175843392279,29.175484597588525,40.51191878096923,18.630445390233763,29.50250397700344,28.6682032198601,39.614696707104486,0.0,29.022789928063396,ordered_asu_baseline_seed43_local,4138afed01bbf623bd275ee13f1b6a72dd7195cd320426ba69335f21d2408677,b9ce71a72f9b65b66410927e576b209231f32552dad1f1ac44101b9378d0f8c2
ordered,asu_baseline,43,long_2_6s,2000.0,6000.0,99.98947985634692,True,256,256,32,64.0,64.0,False,19.3767039752782,19.3767039752782,8363.870475974534,256,488.6621533909035,461.60903240592233,744.1386016188335,243.80186035081715,744.1386016188335,1.0001438975264842,0.9999999999999994,1.000000000000001,0.9999999999999943,1.0093385556289514,256,248,96.875,256,256,100.0,4121.0980301597465,3738.0813345285483,6054.029214076404,2388.4604463972864,6060.618439646735,8.863155527849312,7.524148586110806,13.202544575260513,5.9100739799905515,13.216914268770823,256,0,0.0,256,0,0.0,24.83043683872773,37.67260588330078,0.0,25.099361245187975,27.217064612167814,40.712183412011726,19.3767039752782,27.43232734324444,26.65802094366685,40.05917205468751,10.024764818979678,26.9389000666331,ordered_asu_baseline_seed43_local,4138afed01bbf623bd275ee13f1b6a72dd7195cd320426ba69335f21d2408677,b9ce71a72f9b65b66410927e576b209231f32552dad1f1ac44101b9378d0f8c2
ordered,asu_baseline,43,full_population,0.0,8363.870475974534,99.63350786717491,False,640,640,0,76.51959721739102,76.51959721739102,False,15.389434960693167,15.389434960693167,8363.870475974534,640,417.3954813168457,376.1308903493641,915.9373744307095,114.9528209770001,916.5215100416208,1.0052036833970972,1.0000000000000004,1.027797416048584,0.9999999999999943,1.098187672817914,640,575,89.84375,640,640,100.0,3217.306173496185,2389.0687906111534,7447.933101543825,125.63142673871874,8363.870475974534,6.894443759439888,6.5241485861108055,13.216914268770823,1.092895552026995,14.244455458389965,640,0,0.0,640,32,5.0,23.325888763104437,37.7487417366211,0.0,23.272531307022675,25.57150452942064,41.183640042187506,15.389434960693167,25.51244822752199,25.086216712283704,40.28757961464844,10.87159114506595,25.029530359340946,ordered_asu_baseline_seed43_local,4138afed01bbf623bd275ee13f1b6a72dd7195cd320426ba69335f21d2408677,b9ce71a72f9b65b66410927e576b209231f32552dad1f1ac44101b9378d0f8c2
ordered,asu_baseline,7,warm_2_4s,2000.0,4000.0,99.9901259850055,True,160,160,32,80.0,80.0,False,18.630025773534545,18.630025773534545,8363.849495139573,160,392.4365466335864,372.65086947459713,486.44082678401537,243.80186035081715,486.44082678401537,1.0001059867645892,0.9999999999999963,0.9999999999999994,0.9999999999999943,1.0092822540429909,160,156,97.5,160,160,100.0,3293.5239078226077,3361.7574204975435,4107.218613792441,2388.4394655623255,4110.711223168185,8.732644035906878,9.798431248605082,11.021626273362035,5.9100308486705515,11.030998609942566,160,0,0.0,160,0,0.0,26.75579836098046,37.13562527409667,0.0,27.12175843392279,29.175303533370684,40.555158398986805,18.630025773534545,29.50250397700344,28.66849515300129,39.74801886265868,0.0,29.022789928063396,ordered_asu_baseline_seed7_remote,5a64d49d52ef121d380bc53eee01c0a3df6af4d9580c988a4ed380cb71412d71,fecfbe3fe9515351727463e2c0b631715da730a11d2be84f97926c42cb68e437
ordered,asu_baseline,7,long_2_6s,2000.0,6000.0,99.98992994874578,True,256,256,32,64.0,64.0,False,19.375025508481325,19.375025508481325,8363.849495139573,256,488.6599029289092,461.60903240592233,744.1386016188335,243.80186035081715,744.1386016188335,1.0001395993782796,0.9999999999999994,1.000000000000001,0.9999999999999943,1.0092822540429909,256,248,96.875,256,256,100.0,4121.0982702806305,3738.0603536935873,6054.029214076404,2388.4394655623255,6060.597458811774,8.863154945041547,7.524120391316295,13.202544575260513,5.9100308486705515,13.21686851405128,256,0,0.0,256,0,0.0,24.830364006682395,37.67260588330078,0.0,25.099361245187975,27.216941814296227,40.712183412011726,19.375025508481325,27.43232734324444,26.65821619554719,40.05917205468751,10.025289339853702,26.9389000666331,ordered_asu_baseline_seed7_remote,5a64d49d52ef121d380bc53eee01c0a3df6af4d9580c988a4ed380cb71412d71,fecfbe3fe9515351727463e2c0b631715da730a11d2be84f97926c42cb68e437
ordered,asu_baseline,7,full_population,0.0,8363.849495139573,99.63375779924105,False,640,640,0,76.51978916788481,76.51978916788481,False,15.388620670491553,15.388620670491553,8363.849495139573,640,417.3936717198303,376.10990951440317,915.9373744307095,114.9528209770001,916.437586701777,1.0051998155696233,1.0000000000000004,1.0275411896191409,0.9999999999999943,1.098187672817914,640,575,89.84375,640,640,100.0,3217.300333188404,2389.0687906111534,7447.912120708864,125.6104459037578,8363.849495139573,6.8944315043425615,6.524120391316294,13.21686851405128,1.0927130351058563,14.24440970367042,640,0,0.0,640,32,5.0,23.325594129111824,37.7487417366211,0.0,23.272589686497195,25.571304166339953,41.10164758476563,15.388620670491553,25.512512225859837,25.086469740972074,40.13530790800782,10.858107744108597,25.02959314627248,ordered_asu_baseline_seed7_remote,5a64d49d52ef121d380bc53eee01c0a3df6af4d9580c988a4ed380cb71412d71,fecfbe3fe9515351727463e2c0b631715da730a11d2be84f97926c42cb68e437
ordered,od_baseline,19,warm_2_4s,2000.0,4000.0,99.82696427204286,True,160,160,32,80.0,80.0,False,18.762904380749458,18.762904380749458,8399.63353884995,160,393.0891934854371,373.97435161132853,486.44082678401537,243.80186035081715,486.44082678401537,1.001857349515388,0.9999999999999994,1.0116356603361352,0.9999999999999943,1.0510690227951005,160,133,83.125,160,160,100.0,3295.0456948328306,3361.832951503403,4111.705714745333,2388.2128725447474,4125.754481835177,8.736735869115462,9.798741053484138,11.03366730511709,5.909565030414555,11.071366847076165,160,0,0.0,160,0,0.0,26.75163198838843,37.13562527409667,0.0,27.121170970543883,29.178959634741023,40.77495979057616,18.762904380749458,29.50250397700344,28.668222544133837,39.7768452746704,0.0,29.02220246468449,ordered_od_baseline_seed19_remote,e89306939e5650fa477a677259e889f3dafc529be68b69844ab2f0e77e57b523,484e672084d351996f65662e2c09b0576b55b8134d4c1b108385ee3448cbb8f0
