policy,window,seed_count,seeds,macro_mean_U_percent,macro_mean_slo_percent,macro_mean_A_percent,macro_mean_B_percent,macro_mean_B_admission_fraction_percent,macro_mean_full_run_U_percent,macro_mean_makespan_ms,macro_mean_completion_window_timely_per_second,pooled_slo_count,pooled_slo_passed,pooled_slo_percent,pooled_A_count,pooled_A_passed,pooled_A_percent,pooled_B_count,pooled_B_passed,pooled_B_percent
aggressive,full_population,3,"[7, 19, 43]",87.09680139636912,82.3263888888889,49.869791666666664,98.5546875,66.66666666666667,87.09680139637021,23224.786076033983,136.13130726337002,11520,9484,82.32638888888889,3840,1915,49.869791666666664,7680,7569,98.5546875
aggressive,long_2_20s,3,"[7, 19, 43]",88.34506894046342,82.47597808688242,50.323107803250615,98.45952616694666,66.80560510342352,87.09680139637021,23224.786076033983,137.88888888888889,9035,7452,82.4792473713337,2999,1509,50.31677225741914,6036,5943,98.45924453280318
aggressive,warm_2_4s,3,"[7, 19, 43]",90.34702412692702,82.96279388267519,49.70826539633879,99.12280701754385,67.32657625607848,87.09680139637021,23224.786076033983,142.16666666666666,1010,838,82.97029702970298,330,164,49.696969696969695,680,674,99.11764705882354
baseline,full_population,3,"[7, 19, 43]",89.26781376422416,78.11631944444444,34.348958333333336,100.0,66.66666666666667,89.2678137642253,22658.96572756734,132.3826537409715,11520,8999,78.11631944444444,3840,1319,34.348958333333336,7680,7680,100.0
baseline,long_2_20s,3,"[7, 19, 43]",91.41441132862907,78.58080608218125,35.16496029306032,100.0,66.9623720803219,89.2678137642253,22658.96572756734,135.90740740740742,9356,7352,78.58058999572467,3091,1087,35.166612746683924,6265,6265,100.0
baseline,warm_2_4s,3,"[7, 19, 43]",92.74262053983064,79.36477080792655,36.09407492588333,100.0,67.66288204611268,89.2678137642253,22658.96572756734,137.0,1048,832,79.38931297709924,339,123,36.283185840707965,709,709,100.0
mild,full_population,3,"[7, 19, 43]",87.76119760064451,80.92881944444444,42.890625,99.94791666666667,66.66666666666667,87.76119760064562,23048.18589771497,134.8369269987931,11520,9323,80.92881944444444,3840,1647,42.890625,7680,7676,99.94791666666667
mild,long_2_20s,3,"[7, 19, 43]",89.322454049854,81.07359868921402,42.941720114538725,99.93429178114366,66.91055333514034,87.76119760064562,23048.18589771497,137.14814814814815,9136,7407,81.07486865148861,3023,1298,42.93747932517367,6113,6109,99.934565679699
mild,warm_2_4s,3,"[7, 19, 43]",90.22742060961095,80.94441964350843,41.71909130624727,100.0,67.32374558324507,87.76119760064562,23048.18589771497,137.66666666666666,1013,820,80.94768015794669,331,138,41.69184290030211,682,682,100.0
once,full_population,1,[7],88.65839533235693,77.109375,31.328125,100.0,66.66666666666667,88.65839533235807,22814.649979943697,129.7850285936014,3840,2961,77.109375,1280,401,31.328125,2560,2560,100.0
once,long_2_20s,1,[7],90.86429247488897,77.40058195926285,31.470588235294116,100.0,67.02230843840931,88.65839533235807,22814.649979943697,132.77777777777777,3093,2394,77.40058195926285,1020,321,31.470588235294116,2073,2073,100.0
once,warm_2_4s,1,[7],91.24281038614288,79.59183673469387,33.9622641509434,100.0,69.09620991253644,88.65839533235807,22814.649979943697,132.0,343,273,79.59183673469387,106,36,33.9622641509434,237,237,100.0
static_aggressive,full_population,3,"[7, 19, 43]",84.41508463561657,90.35590277777777,79.50520833333333,95.78125,66.66666666666667,84.41508463561762,23963.82510915387,144.82945278743833,11520,10409,90.35590277777777,3840,3053,79.50520833333333,7680,7356,95.78125
static_aggressive,long_2_20s,3,"[7, 19, 43]",85.81318335923577,90.77620203187684,80.67888649777878,95.82106524292867,66.73907230365228,84.41508463561762,23963.82510915387,147.8148148148148,8795,7986,90.80159181353042,2925,2360,80.68376068376068,5870,5626,95.84327086882453
static_aggressive,warm_2_4s,3,"[7, 19, 43]",86.058681306466,91.84721723829252,78.28998840977688,98.47544475404565,67.48501028012684,84.41508463561762,23963.82510915387,147.83333333333334,972,893,91.8724279835391,316,247,78.16455696202532,656,646,98.47560975609755
