policy,control,window,paired_seed_count,seeds,macro_mean_U_delta_pp,macro_mean_slo_delta_pp,macro_mean_A_delta_pp,macro_mean_B_delta_pp,macro_mean_B_admission_fraction_delta_pp
aggressive,baseline,full_population,3,"[7, 19, 43]",-2.1710123678550226,4.210069444444447,15.520833333333334,-1.4453125,0.0
aggressive,baseline,long_2_20s,3,"[7, 19, 43]",-3.0693423881656563,3.895172004701157,15.158147510190295,-1.5404738330533405,-0.15676697689838193
aggressive,baseline,warm_2_4s,3,"[7, 19, 43]",-2.39559641290361,3.598023074748648,13.61419047045546,-0.8771929824561416,-0.3363057900342028
aggressive,once,full_population,1,[7],-0.8361283219621498,5.729166666666671,19.765625,-1.2890625,0.0
aggressive,once,long_2_20s,1,[7],-1.9300768721371213,5.756617512335566,20.433219379936347,-1.477832512315274,0.018642684444060365
aggressive,once,warm_2_4s,1,[7],-1.9485801897881032,5.023547880690742,19.190889002209758,0.0,-1.9364465989269632
baseline,once,full_population,1,[7],0.39139867095634884,1.5104166666666714,4.53125,0.0,0.0
baseline,once,long_2_20s,1,[7],0.3955933411293273,1.4690391068900084,4.583833533413369,0.0,-0.06662443070217705
baseline,once,warm_2_4s,1,[7],-0.5648675971819159,-2.172481895984191,-5.258560447239695,0.0,-0.7677641647358513
mild,baseline,full_population,3,"[7, 19, 43]",-1.506616163579641,2.8125,8.541666666666666,-0.052083333333333336,0.0
mild,baseline,long_2_20s,3,"[7, 19, 43]",-2.091957278775079,2.4927926070327637,7.776759821478407,-0.06570821885635307,-0.05181874518155875
mild,baseline,warm_2_4s,3,"[7, 19, 43]",-2.515199930219685,1.5796488355818923,5.6250163803639355,0.0,-0.33913646286761434
mild,once,full_population,1,[7],-0.4539978827347255,4.270833333333329,12.890625,-0.0390625,0.0
mild,once,long_2_20s,1,[7],-0.9868117182261074,4.393786082649399,13.19541375872383,-0.04875670404680932,0.13551736381727153
mild,once,warm_2_4s,1,[7],-0.8283676307712824,3.0040334717958075,11.909295482084126,0.0,-1.24960224291992
once,baseline,full_population,1,[7],-0.39139867095634884,-1.5104166666666714,-4.53125,0.0,0.0
once,baseline,long_2_20s,1,[7],-0.3955933411293273,-1.4690391068900084,-4.583833533413369,0.0,0.06662443070217705
once,baseline,warm_2_4s,1,[7],0.5648675971819159,2.172481895984191,5.258560447239695,0.0,0.7677641647358513
static_aggressive,baseline,full_population,3,"[7, 19, 43]",-4.852729128607582,12.239583333333334,45.15625,-4.21875,0.0
static_aggressive,baseline,long_2_20s,3,"[7, 19, 43]",-5.6012279693933165,12.195395949695586,45.51392620471847,-4.178934757071327,-0.22329977666961534
static_aggressive,baseline,warm_2_4s,3,"[7, 19, 43]",-6.6839392333646215,12.482446430365988,42.19591348389354,-1.524555245954346,-0.17787176598584628
static_aggressive,once,full_population,1,[7],-4.199249870651414,12.786458333333329,47.109375,-4.375,0.0
static_aggressive,once,long_2_20s,1,[7],-5.000906842603541,14.444474105976695,50.792408706601904,-3.36391437308869,-0.3556417717426399
static_aggressive,once,warm_2_4s,1,[7],-5.8618726193409,11.457545981355509,43.60782930700053,-2.3041474654377936,-2.1209012705611343
