policy,seed,window,start_ms,end_ms,U_percent,slo_passed,slo_count,slo_percent,A_passed,A_count,A_percent,B_passed,B_count,B_percent,B_admission_fraction_percent,completed_after_window_count,admission_cohort_passed_per_window_second,completion_window_count,completion_window_timely_count,completion_window_timely_per_second,full_run_U_percent,makespan_ms,all_npus_active_whole_window,manifest_sha256,result_sha256,origin,case
baseline,7,long_2_20s,2000.0,20000.0,91.2598858160183,2456,3114,78.86962106615286,371,1029,36.054421768707485,2085,2085,100.0,66.95568400770713,32,136.44444444444446,3114,2454,136.33333333333334,89.04979400331443,22714.373232754904,True,ec6337cc9939bcfa56279166502db06df11cc7471707fa33a28076cd8f36355b,925babccab069971122c1fb14fdcad0845bc9b33a04b6f5301895272e1ba1615,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/baseline_seed7_remote_v2
baseline,7,full_population,0.0,22714.373232754904,89.04979400331328,3019,3840,78.61979166666667,459,1280,35.859375,2560,2560,100.0,66.66666666666667,0,132.9114375758561,3840,3019,132.9114375758561,89.04979400331443,22714.373232754904,False,ec6337cc9939bcfa56279166502db06df11cc7471707fa33a28076cd8f36355b,925babccab069971122c1fb14fdcad0845bc9b33a04b6f5301895272e1ba1615,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/baseline_seed7_remote_v2
baseline,19,warm_2_4s,2000.0,4000.0,93.58363935730294,287,356,80.61797752808988,49,118,41.52542372881356,238,238,100.0,66.85393258426966,32,143.5,356,286,143.0,89.39130521938334,22627.595070092175,True,f909de258a5f7e4e384e8ded51052f95534a79e3437713cabc8b3336d8b964c3,3cf7ac7e92ccb00cb557f3ed087d3cfebb8205ef95cf7b440fcaed8026142485,frozen_reference,results/baseline_ab128_32_ratio12_20260912/validation20s/runs/ssu3_random_k1_sync_seed19/baseline
baseline,19,long_2_20s,2000.0,20000.0,91.30890063979255,2450,3121,78.50048061518744,366,1037,35.294117647058826,2084,2084,100.0,66.77347004165331,32,136.11111111111111,3121,2443,135.72222222222223,89.39130521938334,22627.595070092175,True,f909de258a5f7e4e384e8ded51052f95534a79e3437713cabc8b3336d8b964c3,3cf7ac7e92ccb00cb557f3ed087d3cfebb8205ef95cf7b440fcaed8026142485,frozen_reference,results/baseline_ab128_32_ratio12_20260912/validation20s/runs/ssu3_random_k1_sync_seed19/baseline
baseline,19,full_population,0.0,22627.595070092175,89.39130521938223,3008,3840,78.33333333333333,448,1280,35.0,2560,2560,100.0,66.66666666666667,0,132.93502869758342,3840,3008,132.93502869758342,89.39130521938334,22627.595070092175,False,f909de258a5f7e4e384e8ded51052f95534a79e3437713cabc8b3336d8b964c3,3cf7ac7e92ccb00cb557f3ed087d3cfebb8205ef95cf7b440fcaed8026142485,frozen_reference,results/baseline_ab128_32_ratio12_20260912/validation20s/runs/ssu3_random_k1_sync_seed19/baseline
baseline,43,warm_2_4s,2000.0,4000.0,93.966279473228,281,351,80.05698005698005,43,113,38.05309734513274,238,238,100.0,67.80626780626781,32,140.5,351,283,141.5,89.36234206997808,22634.928879854946,True,c34354dcaf9030d111d599ad79339791c08d02878c257ec1107c183afe016029,4dd0f9c4174805f29e3537ab5007e5825f281022d09accdeb05fd16ab05a8a88,frozen_reference,results/baseline_ab128_32_ratio12_20260912/validation20s/runs/ssu3_random_k1_sync_seed43/baseline
baseline,43,long_2_20s,2000.0,20000.0,91.67444753007638,2446,3121,78.37231656520346,350,1025,34.146341463414636,2096,2096,100.0,67.15796219160525,32,135.88888888888889,3121,2442,135.66666666666666,89.36234206997808,22634.928879854946,True,c34354dcaf9030d111d599ad79339791c08d02878c257ec1107c183afe016029,4dd0f9c4174805f29e3537ab5007e5825f281022d09accdeb05fd16ab05a8a88,frozen_reference,results/baseline_ab128_32_ratio12_20260912/validation20s/runs/ssu3_random_k1_sync_seed43/baseline
baseline,43,full_population,0.0,22634.928879854946,89.36234206997692,2972,3840,77.39583333333333,412,1280,32.1875,2560,2560,100.0,66.66666666666667,0,131.301494949475,3840,2972,131.301494949475,89.36234206997808,22634.928879854946,False,c34354dcaf9030d111d599ad79339791c08d02878c257ec1107c183afe016029,4dd0f9c4174805f29e3537ab5007e5825f281022d09accdeb05fd16ab05a8a88,frozen_reference,results/baseline_ab128_32_ratio12_20260912/validation20s/runs/ssu3_random_k1_sync_seed43/baseline
mild,7,warm_2_4s,2000.0,4000.0,90.4144427553716,280,339,82.59587020648968,50,109,45.87155963302752,230,230,100.0,67.84660766961652,32,140.0,339,277,138.5,88.20439744962334,22932.079530915278,True,ec6337cc9939bcfa56279166502db06df11cc7471707fa33a28076cd8f36355b,26fd8665a6826062db603561158733a0d138d1ae5f96d16d8a712b1b352eb8df,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/mild_seed7_remote_v2
mild,7,long_2_20s,2000.0,20000.0,89.87748075666286,2498,3054,81.79436804191225,448,1003,44.66600199401795,2050,2051,99.95124329595319,67.15782580222658,32,138.77777777777777,3054,2496,138.66666666666666,88.20439744962334,22932.079530915278,True,ec6337cc9939bcfa56279166502db06df11cc7471707fa33a28076cd8f36355b,26fd8665a6826062db603561158733a0d138d1ae5f96d16d8a712b1b352eb8df,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/mild_seed7_remote_v2
mild,7,full_population,0.0,22932.079530915278,88.2043974496222,3125,3840,81.38020833333333,566,1280,44.21875,2559,2560,99.9609375,66.66666666666667,0,136.27198509350683,3840,3125,136.27198509350683,88.20439744962334,22932.079530915278,False,ec6337cc9939bcfa56279166502db06df11cc7471707fa33a28076cd8f36355b,26fd8665a6826062db603561158733a0d138d1ae5f96d16d8a712b1b352eb8df,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/mild_seed7_remote_v2
mild,19,warm_2_4s,2000.0,4000.0,90.09324144227142,269,337,79.82195845697329,44,112,39.285714285714285,225,225,100.0,66.76557863501483,32,134.5,337,272,136.0,87.58789406853684,23093.491158817775,True,f909de258a5f7e4e384e8ded51052f95534a79e3437713cabc8b3336d8b964c3,473cc18db1b0fffe877455db487a398d96efa9414c69fc16d50c37bce316fa3c,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/mild_seed19_local_v2
mild,19,long_2_20s,2000.0,20000.0,88.73168574119084,2444,3035,80.52718286655684,425,1013,41.954590325765054,2019,2022,99.85163204747775,66.62273476112027,32,135.77777777777777,3035,2441,135.61111111111111,87.58789406853684,23093.491158817775,True,f909de258a5f7e4e384e8ded51052f95534a79e3437713cabc8b3336d8b964c3,473cc18db1b0fffe877455db487a398d96efa9414c69fc16d50c37bce316fa3c,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/mild_seed19_local_v2
mild,19,full_population,0.0,23093.491158817775,87.58789406853577,3088,3840,80.41666666666667,531,1280,41.484375,2557,2560,99.8828125,66.66666666666667,0,133.71733094677245,3840,3088,133.71733094677245,87.58789406853684,23093.491158817775,False,f909de258a5f7e4e384e8ded51052f95534a79e3437713cabc8b3336d8b964c3,473cc18db1b0fffe877455db487a398d96efa9414c69fc16d50c37bce316fa3c,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/mild_seed19_local_v2
