scenario,policy,seed,window,NPU_utilization_percent,SLO1_percent,SLO1_5_percent,requests,TTFT_mean_ms,TTFT_p99_ms,ratio_max,completed_after_window,all_npus_active,any_disk_over40_percent,SSU0_mean_demand_GiB_s,SSU0_over40_percent,SSU0_max_demand_GiB_s,SSU0_mean_supply_GiB_s,SSU1_mean_demand_GiB_s,SSU1_over40_percent,SSU1_max_demand_GiB_s,SSU1_mean_supply_GiB_s,SSU2_mean_demand_GiB_s,SSU2_over40_percent,SSU2_max_demand_GiB_s,SSU2_mean_supply_GiB_s
semi,od_baseline,7,warm_2_6s,99.1488970235467,74.41176470588235,95.29411764705881,340,372.486061742551,1138.2640189833476,2.1569824254086085,32,True,25.414032949002692,35.34165627027264,25.414032949002692,63.56813384107344,33.18253176986258,35.347147468872095,25.08106311805359,63.58490722786544,33.188028748622344,35.345002877418686,25.414032949002692,63.58492183727401,33.18630832015554
semi,od_baseline,7,full_population,96.8835318960809,69.27083333333334,94.375,960,372.93274126072805,1138.600037902017,5.098965198046869,0,False,28.282500568554102,36.23973429174319,28.282500568554102,71.97959741401958,32.806440981616035,36.24011613510667,28.1652560519932,71.8814601265501,32.80833223791492,36.23844974059046,28.282500568554102,71.93619891622906,32.80620457457867
semi,od_baseline,19,warm_2_4s,98.66827811021892,76.50602409638554,95.78313253012048,166,379.5026044796811,1131.4925331699978,2.6821018832768515,32,True,25.098345582497245,36.62663915152394,25.098345582497245,80.28362821290875,33.1323802221173,36.63471468729521,25.098345582497245,80.3140493022856,33.13892624262511,36.63602111720707,25.098345582497245,80.30946723717938,33.14085647944152
semi,od_baseline,19,warm_2_6s,99.16651308886772,76.5432098765432,97.8395061728395,324,393.64779082012126,1132.7491436480097,2.6821018832768515,32,True,20.177496806349325,34.91228681488876,20.177496806349325,80.28362821290875,32.78193444869589,34.920993392871424,20.177496806349325,80.3140493022856,32.789949127650964,34.91999417657283,20.177496806349325,80.30946723717938,32.78952951095175
semi,od_baseline,19,full_population,95.79527447767568,72.39583333333334,95.3125,960,374.01255621797935,1134.092893064918,5.7188697888528175,0,False,25.617627997294573,36.80559418210662,25.617627997294573,116.66296746640306,32.43793818169735,36.80717655080416,25.617627997294573,116.7691811999358,32.43980819420323,36.80465430246905,25.617627997294573,116.7366402027648,32.43770443013411
semi,od_baseline,43,warm_2_4s,98.91607409144649,81.41025641025641,94.87179487179486,156,422.3301590174524,1130.6863062355333,2.7630957182649256,32,True,17.270114168243982,34.2194057452716,17.270114168243982,80.2607619041288,31.270489974353143,34.21329349065973,17.270114168243982,80.19814632593972,31.265118880603133,34.213149510602804,17.270114168243982,80.20438915179726,31.263860030505477
semi,od_baseline,43,warm_2_6s,99.04204562206348,79.51070336391437,94.80122324159022,327,390.8111342671812,1130.6863062355333,2.7630957182649256,32,True,21.53948125353954,34.966068012256,21.53948125353954,80.2607619041288,32.300123396176744,34.97250841504367,21.53948125353954,80.19814632593972,32.30616687664549,34.96951175864161,21.53948125353954,80.20438915179726,32.3027270197119
semi,od_baseline,43,full_population,95.99271854615,70.83333333333334,92.70833333333334,960,374.6169725236101,1138.633105720246,6.152520416789619,0,False,28.269002774540457,37.17658103476185,28.051939214049597,117.01796953159787,32.50479616109595,37.17733343605341,28.051939214049597,117.02492455401305,32.50667002789297,37.17525158098785,28.269002774540457,116.92259067040095,32.50456192774633
near35,od_baseline,7,warm_2_4s,99.37344808676406,84.48275862068965,97.12643678160919,174,369.51887825476985,1134.2628771249676,2.776202514640799,32,True,16.922634482540932,34.476276172841644,16.922634482540932,58.72618602698362,33.05937400898029,34.47198057906257,16.922634482540932,58.76882947534787,33.05425468524981,34.46935501507475,16.922634482540932,58.709091039440914,33.05358329853105
near35,od_baseline,7,warm_2_6s,99.28182398275662,79.50138504155125,96.95290858725761,361,354.1287606792493,1130.6863062355333,2.776202514640799,32,True,25.732488130219927,35.993613761892604,25.732488130219927,59.772341799179145,34.283178154064146,35.9888075521791,25.732488130219927,59.63999299759833,34.2790659104118,35.990434457290476,25.732488130219927,59.75456532507944,34.28091222388836
near35,od_baseline,7,full_population,97.00381720419703,74.40476190476191,95.98214285714286,1344,360.4387928491329,1133.8746511765655,5.771010592757142,0,False,30.402758456272792,37.06622430658447,30.402758456272792,81.20669036102592,33.94611005880862,37.068242175228235,30.402758456272792,81.2821364496915,33.94750695339925,37.065851453653806,30.402758456272792,81.27292263125581,33.94558622333713
near35,od_baseline,19,warm_2_4s,99.57934164696009,85.0574712643678,98.27586206896551,174,360.6562374323039,1130.6863062355333,1.7232138499675949,32,True,28.156264290343007,35.9962498202968,28.156264290343007,48.79447800548389,34.97041767849525,36.0020604378622,28.156264290343007,48.800398348187166,34.97637623562416,35.99434383549236,28.156264290343007,48.813562100857446,34.968403518339
near35,od_baseline,19,warm_2_6s,99.62817215056923,84.52380952380952,98.51190476190477,336,375.0555674070786,1130.6863062355333,1.7754546883947064,32,True,20.37385235405602,34.259244968230554,20.37385235405602,52.357007949444565,33.31121418985787,34.26323892324021,20.37385235405602,52.381074240664674,33.31545231851998,34.257567126005895,20.37385235405602,52.29007894697568,33.31024907144967
near35,od_baseline,19,full_population,96.69991813610685,75.0,94.04761904761905,1344,361.8931703710176,1130.6863062355333,6.59474314182035,0,False,31.236330232415952,37.89036079043339,31.236330232415952,104.60591053824444,33.8397617571697,37.893287606401124,31.236330232415952,104.68116703844582,33.841154275489615,37.89068543963927,31.236330232415952,104.6503748538572,33.839239562799726
near35,od_baseline,43,warm_2_4s,98.85139087655244,71.95121951219512,95.73170731707317,164,390.71949497690684,1130.6863062355333,2.5210195969223883,32,True,37.07713923449913,38.23057492677237,37.07713923449913,65.72073486406853,35.476402565204985,38.2446747194418,37.07713923449913,65.73254024678646,35.489746376240134,38.236298732260934,37.07713923449913,65.72042587488092,35.483368202411995
near35,od_baseline,43,warm_2_6s,99.02591826285241,77.20797720797721,96.58119658119658,351,371.5869996891209,1130.6863062355333,2.5210195969223883,32,True,34.62038967790636,37.752064727774645,34.62038967790636,65.72073486406853,35.393858304287775,37.758810709995196,34.62038967790636,65.73254024678646,35.40057317147527,37.75364778085816,34.62038967790636,65.72042587488092,35.396839582852216
near35,od_baseline,43,full_population,96.89426288235026,75.44642857142857,94.86607142857143,1344,360.9454600171673,1130.6863062355333,5.236025362809552,0,False,29.367384026785782,37.49493802782361,29.367384026785782,78.43112368984673,33.90777194826805,37.49653956611691,29.346621647748357,78.42193389268789,33.909167265231694,37.493584644211076,29.367384026785782,78.44056947699276,33.907248704406676
