scenario,policy,seed,window,NPU_utilization_percent,SLO1_percent,SLO1_5_percent,requests,TTFT_mean_ms,TTFT_p99_ms,ratio_max,completed_after_window,all_npus_active,any_disk_over40_percent,SSU0_mean_demand_GiB_s,SSU0_over40_percent,SSU0_max_demand_GiB_s,SSU0_mean_supply_GiB_s,SSU1_mean_demand_GiB_s,SSU1_over40_percent,SSU1_max_demand_GiB_s,SSU1_mean_supply_GiB_s,SSU2_mean_demand_GiB_s,SSU2_over40_percent,SSU2_max_demand_GiB_s,SSU2_mean_supply_GiB_s
full,od_baseline,7,warm_2_4s,62.20176390157616,8.0,37.0,200,314.1365379099183,1175.8785162110603,6.851750288873248,32,True,100.0,130.21426866256814,100.0,178.22558189104572,40.0,130.19345413237485,100.0,178.2752771408108,40.0,130.19423018699786,100.0,178.2436053491177,40.0
full,od_baseline,7,warm_2_6s,63.838395282969955,8.454106280193237,42.270531400966185,414,310.70896806881746,1170.2725484935893,6.851750288873248,32,True,100.0,123.66477962118357,100.0,178.22558189104572,40.0,123.65139144239834,100.0,178.2752771408108,40.0,123.64192405649618,100.0,178.2436053491177,40.0
full,od_baseline,7,full_population,64.1665755064656,9.151785714285714,45.38690476190476,1344,313.10419262893186,1174.401518167162,7.522291993680718,0,False,98.12414697610703,121.53860548768428,98.12414697610703,193.01248204641678,39.33481668179383,121.54787243781068,98.12414697610703,193.2015967215907,39.33722406381453,121.53749684913879,98.12414697610703,193.2108565493861,39.334616066625436
full,od_baseline,19,warm_2_4s,63.166880545124066,8.542713567839195,40.7035175879397,199,328.93298049164747,1180.1118198208617,6.507162227474614,32,True,100.0,124.29336502633726,100.0,157.05689309656643,40.0,124.28591929625067,100.0,157.12583141835896,40.0,124.26773051721014,100.0,157.01606352691908,40.0
full,od_baseline,19,warm_2_6s,68.2376895481165,10.379746835443038,48.860759493670884,395,322.45061041164365,1179.3408377666542,6.507162227474614,32,True,100.0,115.97291802830863,100.0,157.05689309656643,40.0,115.98525614639762,100.0,157.12583141835896,40.0,115.95944419818981,100.0,157.01606352691908,40.0
full,od_baseline,19,full_population,64.09097931368706,9.821428571428571,44.642857142857146,1344,313.2223137834603,1177.9344016183693,7.433768192369347,0,False,98.12670610174894,121.64133148504226,98.12670610174894,186.85866056933858,39.28847538398707,121.64987779103701,98.12670610174894,186.90927236540176,39.29087992981286,121.64219744197734,98.12670610174894,186.86954373559527,39.28827500516825
full,od_baseline,43,warm_2_4s,62.21357348725325,8.55614973262032,39.037433155080215,187,347.3204887921729,1173.5350957628502,6.592730976490293,32,True,100.0,134.2601324400707,100.0,184.0736677019437,40.0,134.28298603407825,100.0,184.202926391702,40.0,134.22399254079886,100.0,184.14663393940407,40.0
full,od_baseline,43,warm_2_6s,65.20041497067372,10.230179028132993,47.31457800511509,391,338.9159865526228,1182.0000270755147,6.608692303919688,32,True,100.0,125.66282202693768,100.0,184.0736677019437,40.0,125.66743950129818,100.0,184.202926391702,40.0,125.6440331664294,100.0,184.14663393940407,40.0
full,od_baseline,43,full_population,63.93968560915734,9.970238095238097,45.83333333333333,1344,312.13702541485975,1178.3718566319883,7.109424066107002,0,False,97.82418897395544,120.8629774014483,97.82418897395544,188.0895981114711,39.19573067872868,120.8711769242295,97.82418897395544,188.26527785852912,39.198129548363376,120.86246915134535,97.82418897395544,188.27669757328442,39.195530772925785
semi,od_baseline,7,warm_2_4s,99.06867697392748,75.0,94.88636363636364,176,362.5635901637172,1132.8425020192913,2.1569824254086085,32,True,30.032707862108733,36.631161796399454,30.032707862108733,63.56813384107344,34.131426721191204,36.63890414388059,30.032707862108733,63.58490722786544,34.138310435058386,36.631837435684034,30.032707862108733,63.58492183727401,34.133528804687295
