scenario,policy,window,seed_count,requests,NPU_utilization_percent,SLO1_percent,SLO1_5_percent,TTFT_mean_ms,any_disk_over40_percent,SSU0_mean_demand_GiB_s,SSU0_mean_supply_GiB_s,SSU0_over40_percent,SSU1_mean_demand_GiB_s,SSU1_mean_supply_GiB_s,SSU1_over40_percent,SSU2_mean_demand_GiB_s,SSU2_mean_supply_GiB_s,SSU2_over40_percent
full,od_baseline,warm_2_4s,3,586,62.52740597798449,8.366287766819838,38.9136502476733,330.1300023979129,100.0,129.58925537632535,40.0,100.0,129.5874531542346,40.0,100.0,129.56198441500229,40.0,100.0
full,od_baseline,warm_2_6s,3,1200,65.7588332672534,9.688010714589756,46.14862296658405,324.0251883443613,100.0,121.7668398921433,40.0,100.0,121.76802903003137,40.0,100.0,121.7484671403718,40.0,100.0
full,od_baseline,full_population,3,4032,64.06574680977,9.64781746031746,45.28769841269841,312.82117727575064,98.02501401727046,121.34763812472494,39.273007581503194,98.02501401727046,121.35630905102573,39.27541118066359,98.02501401727046,121.34738781415383,39.27280728157316,98.02501401727046
semi,od_baseline,warm_2_4s,3,498,98.88434305853097,77.63876016888065,95.18043034609299,388.13211788695025,24.133722537616652,35.82573556439833,32.84476563922055,24.133722537616652,35.82897077394517,32.84745185276221,24.133722537616652,35.8270026878313,32.84608177154476,24.133722537616652
semi,od_baseline,warm_2_6s,3,991,99.11915191149262,76.82189264877998,95.97828235382951,385.64832894328447,22.377003669630522,35.073337032472466,32.754863204911736,22.377003669630522,35.08021642559573,32.76138158430627,22.266013725980816,35.07816960421104,32.759521616939736,22.377003669630522
semi,od_baseline,full_population,3,2880,96.22384163996885,70.83333333333334,94.13194444444446,373.8540900007725,27.389710446796375,36.74063650287055,32.58305844146978,27.317355926632757,36.74154204065474,32.58493682000371,27.278274421112457,36.73945187468245,32.58282364415303,27.389710446796375
near35,od_baseline,warm_2_4s,3,512,99.26806020342553,80.49714979908418,97.0446687225493,373.6315368879935,27.385346002461024,36.2343669733036,34.50206475089351,27.385346002461024,36.23957191212219,34.50679243237136,27.385346002461024,36.23333252760935,34.50178500642735,27.385346002461024
near35,od_baseline,warm_2_6s,3,1048,99.31197146539274,80.41105725777932,97.34866997678633,366.9237759251496,26.90891005406077,36.0016411526326,34.329416882736595,26.90891005406077,36.003619061804834,34.331697133469014,26.90891005406077,36.00054978805151,34.32933362606341,26.90891005406077
near35,od_baseline,full_population,3,4032,96.86599940755139,74.95039682539682,94.96527777777779,361.0924744124393,30.335490905158178,37.48384104161382,33.89788125474879,30.335490905158178,37.48602311591542,33.899276164706855,30.3285701121457,37.48337384583471,33.897358163514504,30.335490905158178
