scenario,policy,seed,npu,U_percent,SSD_supply_GiB_s
full,od_baseline,7,0,41.00183890928365,4.231330871582031
full,od_baseline,7,1,96.98250703669551,2.0531503623046863
full,od_baseline,7,2,56.88217136986172,4.0489654541015625
full,od_baseline,7,3,60.07230110496475,3.76445370263672
full,od_baseline,7,4,52.05820799643702,4.475799560546875
full,od_baseline,7,5,41.29173323460145,4.82391357421875
full,od_baseline,7,6,74.0371899739361,3.5393733051757774
full,od_baseline,7,7,72.11287384993258,3.7294692993164062
full,od_baseline,7,8,44.3690668854011,4.3250732421875
full,od_baseline,7,9,77.79344985902613,2.8703460693359375
full,od_baseline,7,10,58.97239365119965,3.458984375
full,od_baseline,7,11,87.22981462434659,2.91986083984375
full,od_baseline,7,12,69.5411741661039,3.7445755004882812
full,od_baseline,7,13,66.5043927263982,3.3054046630859375
full,od_baseline,7,14,80.72059901986643,2.7110595703125
full,od_baseline,7,15,63.48545155918241,3.84906005859375
full,od_baseline,7,16,56.01023133053038,4.130958557128906
full,od_baseline,7,17,42.789289470611266,4.926383972167969
full,od_baseline,7,18,63.49646065567504,3.5973358154296875
full,od_baseline,7,19,79.38443028478694,4.194404602050781
full,od_baseline,7,20,56.60559907621036,3.7223358154296875
full,od_baseline,7,21,59.539661992408696,3.4294433593750044
full,od_baseline,7,22,63.372559010928896,3.5974578857421875
full,od_baseline,7,23,83.36688237054986,3.0637893676757812
full,od_baseline,7,24,47.07229404181876,4.169639587402344
full,od_baseline,7,25,85.48132993128247,2.8222579956054688
full,od_baseline,7,26,32.630121589153966,4.560310363769531
full,od_baseline,7,27,71.49092077061711,3.7019424438476562
full,od_baseline,7,28,31.294425265310576,4.531404587890624
full,od_baseline,7,29,60.501987285202446,4.225959777832031
full,od_baseline,7,30,47.966787239213204,4.276817321777344
full,od_baseline,7,31,66.39829856889995,3.1987380981445312
full,od_baseline,19,0,53.25238220033819,4.551033020019531
full,od_baseline,19,1,79.03591891905448,3.0793894794921837
full,od_baseline,19,2,69.6218263541071,3.9271087646484375
full,od_baseline,19,3,70.88109899831495,3.8157424926757812
full,od_baseline,19,4,68.68184828406315,3.2419586181640625
full,od_baseline,19,5,61.00570039518608,3.219970703125
full,od_baseline,19,6,52.91412167426212,4.357383728027344
full,od_baseline,19,7,62.48139583150797,3.6358586284179726
full,od_baseline,19,8,58.366639103912256,4.021186828613281
full,od_baseline,19,9,69.19133236795966,3.7143630981445312
full,od_baseline,19,10,38.75606825980567,4.824836730957031
full,od_baseline,19,11,35.042003959060516,4.606803894042969
full,od_baseline,19,12,44.1783908102405,4.179046630859375
full,od_baseline,19,13,63.197192014560336,4.439460754394531
full,od_baseline,19,14,57.63139660023941,4.3170166015625
full,od_baseline,19,15,49.504313895241246,4.23175048828125
full,od_baseline,19,16,94.52478779933627,2.0785293579101562
full,od_baseline,19,17,79.0365826039824,3.9410400390625
full,od_baseline,19,18,83.87863895855124,2.7578887939453125
full,od_baseline,19,19,42.890193303803926,4.417472839355469
full,od_baseline,19,20,83.09405936007138,3.1154861450195312
full,od_baseline,19,21,46.0224188128859,4.217903137207031
full,od_baseline,19,22,85.32470645480399,2.6343536376953125
full,od_baseline,19,23,39.31828308896608,4.46002197265625
full,od_baseline,19,24,37.35897218177068,4.691314697265625
full,od_baseline,19,25,66.18007684756147,3.6246490478515625
full,od_baseline,19,26,87.79498973510591,3.2301254272460938
full,od_baseline,19,27,59.76849974159302,4.109886169433594
full,od_baseline,19,28,65.49861512981418,3.204864501953125
