scenario,policy,seed,npu,U_percent,SSD_supply_GiB_s
full,od_baseline,19,29,58.18870300528461,3.5210037231445312
full,od_baseline,19,30,75.14837154082564,3.1245498657226562
full,od_baseline,19,31,83.57064921175959,2.7080001831054688
full,od_baseline,43,0,61.72449936698017,3.52880859375
full,od_baseline,43,1,70.30253599953318,3.2187118530273438
full,od_baseline,43,2,52.09791996436086,3.535858154296875
full,od_baseline,43,3,71.32512684339338,3.25823974609375
full,od_baseline,43,4,68.59035811360137,3.3791732788085938
full,od_baseline,43,5,68.41146790081059,3.7417221069335938
full,od_baseline,43,6,69.83822274274958,2.97222900390625
full,od_baseline,43,7,53.51618715764175,3.3031387329101562
full,od_baseline,43,8,62.46856776615203,4.223442077636719
full,od_baseline,43,9,83.7453328656322,3.7947616577148438
full,od_baseline,43,10,49.39080432909633,4.617378234863281
full,od_baseline,43,11,87.31105761763894,2.3198928833007812
full,od_baseline,43,12,19.088808225397063,4.777671813964844
full,od_baseline,43,13,55.298929198085695,4.039390563964844
full,od_baseline,43,14,57.54972991597264,4.229736328125
full,od_baseline,43,15,78.28462483316987,3.807098388671875
full,od_baseline,43,16,63.93409228357945,4.184417724609379
full,od_baseline,43,17,75.35208878105449,3.6807098388671875
full,od_baseline,43,18,44.09283876143713,4.18354434423828
full,od_baseline,43,19,50.91779403191131,3.9714106586914024
full,od_baseline,43,20,59.03400621258777,4.270355224609375
full,od_baseline,43,21,46.61451745413369,4.507318589355468
full,od_baseline,43,22,32.96944093823449,4.7978973388671875
full,od_baseline,43,23,67.7940720129067,3.4743423461914062
full,od_baseline,43,24,57.235762515727004,3.874908447265625
full,od_baseline,43,25,81.92860030417276,2.6577682495117188
full,od_baseline,43,26,77.81089673282365,3.2935714721679688
full,od_baseline,43,27,36.89862695119332,4.802680969238281
full,od_baseline,43,28,79.77929784355625,3.274555020996095
full,od_baseline,43,29,84.01133460976112,2.8058929443359375
full,od_baseline,43,30,53.27558153181567,3.8645858764648438
full,od_baseline,43,31,70.24122778699392,3.6087875366210938
semi,od_baseline,7,0,99.95654477835815,1.7603759765625
semi,od_baseline,7,1,100.0,3.0494384765625
semi,od_baseline,7,2,100.0,2.234375
semi,od_baseline,7,3,99.90918469665792,2.165390014648442
semi,od_baseline,7,4,99.48114347821266,3.6901092529296875
semi,od_baseline,7,5,100.0,1.812744140625
semi,od_baseline,7,6,98.86294441963886,4.2903289794921875
semi,od_baseline,7,7,100.0,2.870849609375
semi,od_baseline,7,8,99.24134735720853,2.9876708984375
semi,od_baseline,7,9,98.37709203843653,4.58154296875
semi,od_baseline,7,10,100.0,2.097412109375
semi,od_baseline,7,11,99.58721412724809,2.0671157836914062
semi,od_baseline,7,12,96.39649894151472,4.1142578125
semi,od_baseline,7,13,100.0,2.6285391806638563
semi,od_baseline,7,14,100.0,2.1386184692382812
semi,od_baseline,7,15,99.79389230953485,2.87017822265625
semi,od_baseline,7,16,96.49259652744465,3.0413818359375
semi,od_baseline,7,17,98.5796104934805,3.621124267578125
semi,od_baseline,7,18,100.0,2.6103515625
semi,od_baseline,7,19,96.34448111264601,4.622161865234375
semi,od_baseline,7,20,98.9493581297111,4.226437571288857
semi,od_baseline,7,21,97.95571783467409,3.7181396484375
semi,od_baseline,7,22,99.13403705128718,5.0340576171875
semi,od_baseline,7,23,100.0,1.8275146484375
semi,od_baseline,7,24,98.66688480845038,3.8564453125
semi,od_baseline,7,25,98.76330053932587,3.6064376831054688
semi,od_baseline,7,26,98.84234044785609,5.0340576171875
semi,od_baseline,7,27,100.0,3.0225830078125
semi,od_baseline,7,28,100.0,2.5633544921875
semi,od_baseline,7,29,99.98969644833876,2.919189453125
semi,od_baseline,7,30,96.64328235465469,4.349383264159951
semi,od_baseline,7,31,98.23049527099869,2.99169921875
semi,od_baseline,19,0,100.0,2.296142578125
semi,od_baseline,19,1,99.66817282978256,3.110599485866537
semi,od_baseline,19,2,99.95330739076077,3.2421113594016924
semi,od_baseline,19,3,100.0,3.74298095703125
semi,od_baseline,19,4,95.99417469789753,2.3576412807884117
semi,od_baseline,19,5,95.51786399038404,3.0760421752929688
semi,od_baseline,19,6,98.22022380491204,4.0687713623046875
semi,od_baseline,19,7,100.0,2.25787353515625
semi,od_baseline,19,8,100.0,2.8679122924804688
semi,od_baseline,19,9,98.37352532182089,3.0104808620725994
semi,od_baseline,19,10,94.47675830204037,2.9384078979492188
semi,od_baseline,19,11,99.45609074320143,3.821533203125
semi,od_baseline,19,12,97.4273719128857,3.5060653686523438
semi,od_baseline,19,13,100.0,4.3074493408203125
semi,od_baseline,19,14,100.0,2.3727645874023438
semi,od_baseline,19,15,100.0,2.47607421875
semi,od_baseline,19,16,100.0,3.20855712890625
semi,od_baseline,19,17,97.89525490307813,3.63623046875
semi,od_baseline,19,18,99.66985909289623,3.802734375
semi,od_baseline,19,19,99.4043237428442,2.857421875
semi,od_baseline,19,20,100.0,2.5177001953125
semi,od_baseline,19,21,96.00688220556371,3.12664794921875
semi,od_baseline,19,22,96.9209162244222,3.2535400390625044
semi,od_baseline,19,23,100.0,2.2343749999999956
semi,od_baseline,19,24,99.0370136934824,3.8094482421875
semi,od_baseline,19,25,100.0,1.979248046875
semi,od_baseline,19,26,95.03002790168968,2.9760894775390625
semi,od_baseline,19,27,100.0,2.2497329711914062
semi,od_baseline,19,28,95.16795079412414,5.214744567871094
semi,od_baseline,19,29,100.0,2.8072357177734375
semi,od_baseline,19,30,100.0,2.2170028686523438
semi,od_baseline,19,31,99.16518197521933,4.068603515625
semi,od_baseline,43,0,95.80098630272568,3.6036421971363595
semi,od_baseline,43,1,98.13326906952679,3.3367919921875
semi,od_baseline,43,2,100.0,2.602294921875
semi,od_baseline,43,3,100.0,1.7386398315429688
semi,od_baseline,43,4,100.0,2.5457305908203125
semi,od_baseline,43,5,98.1353145393857,2.2161636352539062
semi,od_baseline,43,6,99.64451768218505,3.6402587890625
semi,od_baseline,43,7,99.65096994325616,3.438964588608669
semi,od_baseline,43,8,100.0,1.979248046875
semi,od_baseline,43,9,99.92257378915541,2.8963623046875
semi,od_baseline,43,10,100.0,2.7196239285839603
semi,od_baseline,43,11,94.93537712061095,3.4697265625
semi,od_baseline,43,12,99.69516583443131,3.7611083984375
semi,od_baseline,43,13,100.0,2.37939453125
semi,od_baseline,43,14,100.0,2.4840469360351562
semi,od_baseline,43,15,99.44461906648375,1.9316635131835938
semi,od_baseline,43,16,100.0,2.2048339843749956
semi,od_baseline,43,17,96.44936749305437,3.0736083984375
semi,od_baseline,43,18,100.0,3.6160888671875
semi,od_baseline,43,19,100.0,2.301513671875
semi,od_baseline,43,20,100.0,2.1677398681640625
semi,od_baseline,43,21,100.0,3.20654296875
semi,od_baseline,43,22,95.48181288100803,3.9947509765625
semi,od_baseline,43,23,100.0,2.151123046875
semi,od_baseline,43,24,94.72859734340781,3.3341064453125
semi,od_baseline,43,25,99.93528656659014,2.298828125
semi,od_baseline,43,26,99.75421765516718,3.98468017578125
semi,od_baseline,43,27,94.47185040795028,3.2687445187890125
semi,od_baseline,43,28,100.0,1.7952880859375
semi,od_baseline,43,29,99.80473830396681,4.0914306640625
semi,od_baseline,43,30,99.32570692738139,5.4234619140625
semi,od_baseline,43,31,100.0,2.14306640625
near35,od_baseline,7,0,93.56402138849516,3.7718505859375
near35,od_baseline,7,1,100.0,2.092041015625
near35,od_baseline,7,2,99.88620311181754,2.4151458740234375
near35,od_baseline,7,3,100.0,3.015869140625
near35,od_baseline,7,4,100.0,3.0400390625
near35,od_baseline,7,5,99.6446812972067,5.400634765625
near35,od_baseline,7,6,100.0,2.0074462890625
near35,od_baseline,7,7,100.0,2.8032073974609375
near35,od_baseline,7,8,98.88108263965292,3.2267155015744535
near35,od_baseline,7,9,99.64899794296568,3.0010986328125
near35,od_baseline,7,10,99.38922217043226,3.845703125
near35,od_baseline,7,11,100.0,2.3832550048828125
near35,od_baseline,7,12,100.0,4.1399383544921875
near35,od_baseline,7,13,100.0,2.82586669921875
near35,od_baseline,7,14,100.0,2.4274950706114398
near35,od_baseline,7,15,99.77978011169607,2.19677734375
near35,od_baseline,7,16,100.0,2.8357696533203125
near35,od_baseline,7,17,100.0,3.14208984375
near35,od_baseline,7,18,100.0,2.5633544921875
near35,od_baseline,7,19,100.0,2.5123291015625
near35,od_baseline,7,20,99.08462093384114,3.6138506790914926
near35,od_baseline,7,21,99.39831751151603,3.3475341796875
near35,od_baseline,7,22,100.0,2.8407211303710938
near35,od_baseline,7,23,100.0,2.598602294921875
near35,od_baseline,7,24,95.41553808777539,2.8748779296875
near35,od_baseline,7,25,100.0,1.8704833984375
near35,od_baseline,7,26,99.55804568060084,4.931780807997743
near35,od_baseline,7,27,99.37777629953489,3.3193359375
near35,od_baseline,7,28,97.28604658492739,4.82122802734375
near35,od_baseline,7,29,99.53019342450258,2.34716796875
near35,od_baseline,7,30,99.50581159148527,4.357048034667969
near35,od_baseline,7,31,100.0,2.5979546502829
near35,od_baseline,19,0,100.0,3.418701171875
near35,od_baseline,19,1,100.0,1.82080078125
near35,od_baseline,19,2,100.0,2.8037109375
near35,od_baseline,19,3,99.74357212518392,2.96484375
near35,od_baseline,19,4,100.0,2.8695068359375
near35,od_baseline,19,5,100.0,3.34619140625
near35,od_baseline,19,6,100.0,3.794677734375
near35,od_baseline,19,7,97.51186080313848,3.4074554443359375
near35,od_baseline,19,8,100.0,3.7246856689453125
near35,od_baseline,19,9,100.0,2.929931640625
near35,od_baseline,19,10,98.53484075636955,5.819496154785156
near35,od_baseline,19,11,98.56706831083545,5.0166015625
near35,od_baseline,19,12,99.87094093239244,3.8107910156249956
near35,od_baseline,19,13,100.0,3.3260498046875
near35,od_baseline,19,14,100.0,3.6196616929946686
near35,od_baseline,19,15,99.88355186211925,3.3072509765625
near35,od_baseline,19,16,100.0,2.027587890625
near35,od_baseline,19,17,100.0,1.77783203125
near35,od_baseline,19,18,100.0,2.5902099609375
near35,od_baseline,19,19,98.17455168987557,4.46337890625
near35,od_baseline,19,20,99.32010321943979,2.7067794799804688
near35,od_baseline,19,21,99.32270218326047,4.3760986328125
near35,od_baseline,19,22,100.0,2.495189364952021
near35,od_baseline,19,23,98.66918863477406,4.832725524902344
near35,od_baseline,19,24,98.49916455643185,4.4754638671875
near35,od_baseline,19,25,99.59511089153926,2.8292236328125
near35,od_baseline,19,26,100.0,2.12158203125
near35,od_baseline,19,27,98.84627673736367,3.2933197021484375
near35,od_baseline,19,28,100.0,3.5408935546875
near35,od_baseline,19,29,100.0,2.0596466064453125
near35,od_baseline,19,30,100.0,2.25048828125
near35,od_baseline,19,31,100.0,3.0944213867187544
near35,od_baseline,43,0,97.3842223569399,3.6134033203125
near35,od_baseline,43,1,100.0,3.0398712158203125
near35,od_baseline,43,2,98.54044924520477,4.0860595703125
near35,od_baseline,43,3,94.39717427111646,2.92724609375
near35,od_baseline,43,4,98.6314171948308,3.235076904296875
near35,od_baseline,43,5,98.76565491837768,3.4227294921875
near35,od_baseline,43,6,98.90468252281103,3.8498992919921875
near35,od_baseline,43,7,93.86927431829018,4.7039031982421875
near35,od_baseline,43,8,100.0,3.224172182478937
near35,od_baseline,43,9,100.0,2.7822265625
near35,od_baseline,43,10,99.27262099835033,4.87158203125
near35,od_baseline,43,11,100.0,2.328369140625
near35,od_baseline,43,12,99.6396727371732,4.5263214111328125
near35,od_baseline,43,13,99.29164598805615,3.563720703125
near35,od_baseline,43,14,97.41457247477408,3.5480270385742188
near35,od_baseline,43,15,100.0,2.2088623046875
near35,od_baseline,43,16,100.0,1.850696149500536
near35,od_baseline,43,17,100.0,2.510986328125
near35,od_baseline,43,18,100.0,3.3179931640625
near35,od_baseline,43,19,95.90503084332009,4.3735809326171875
near35,od_baseline,43,20,99.7369965326416,2.9838943481445312
near35,od_baseline,43,21,100.0,3.1273193359375
near35,od_baseline,43,22,99.7939315136962,4.929405212402344
near35,od_baseline,43,23,96.55433449124354,2.8948516845703125
near35,od_baseline,43,24,99.66938800330725,3.6590576171875
near35,od_baseline,43,25,99.67565502181169,3.0064697265625
near35,od_baseline,43,26,100.0,1.9108505249023438
near35,od_baseline,43,27,98.98390919861426,5.2838134765625
near35,od_baseline,43,28,100.0,2.713699104846378
near35,od_baseline,43,29,100.0,2.456268310546875
near35,od_baseline,43,30,98.08332995448058,2.9927902221679688
near35,od_baseline,43,31,98.73054546463835,2.5063705444335938
