scenario,policy,SLO_multiple,CDF_percent
full,od_baseline,0.0,0.0
full,od_baseline,0.5,0.0
full,od_baseline,1.0,8.36628776681984
full,od_baseline,1.0008631604515734,8.544540886249429
full,od_baseline,1.0010872750715707,8.711207552916097
full,od_baseline,1.001880480920149,8.877874219582765
full,od_baseline,1.0024491598607408,9.056127339012352
full,od_baseline,1.0040580923694804,9.223631526617043
full,od_baseline,1.004406725599741,9.391135714221733
full,od_baseline,1.0048639053402175,9.558639901826423
full,od_baseline,1.0054636647915516,9.736893021256014
full,od_baseline,1.0073012261594096,9.915146140685604
full,od_baseline,1.0110507412215877,10.08181280735227
full,od_baseline,1.0133075800624733,10.26006592678186
full,od_baseline,1.0134138469068774,10.426732593448527
full,od_baseline,1.0136336426231918,10.593399260115193
full,od_baseline,1.0139889143409553,10.771652379544783
full,od_baseline,1.0142846897664328,10.939156567149473
full,od_baseline,1.0148685445245587,11.10582323381614
full,od_baseline,1.0149504061743377,11.28407635324573
full,od_baseline,1.0155045410127737,11.450743019912396
full,od_baseline,1.0157046953785156,11.618247207517086
full,od_baseline,1.0197168400460568,11.785751395121775
full,od_baseline,1.0212360034373837,11.964004514551368
full,od_baseline,1.022713143271216,12.142257633980957
full,od_baseline,1.0228559964870902,12.309761821585647
full,od_baseline,1.0233851795029145,12.488014941015237
full,od_baseline,1.0251193202426967,12.655519128619927
full,od_baseline,1.027229858085127,12.822185795286591
full,od_baseline,1.0276509995204277,13.000438914716185
full,od_baseline,1.0287793184535905,13.16710558138285
full,od_baseline,1.028849419582171,13.33460976898754
full,od_baseline,1.0305989924603034,13.512862888417128
full,od_baseline,1.0307973865679212,13.68036707602182
full,od_baseline,1.0311620279340556,13.847033742688488
full,od_baseline,1.0313241828588173,14.025286862118078
full,od_baseline,1.0317653664466926,14.203539981547667
full,od_baseline,1.0319462574886629,14.381793100977259
full,od_baseline,1.0326923807361037,14.549297288581947
full,od_baseline,1.0335922961038977,14.727550408011536
full,od_baseline,1.0339023373329164,14.895054595616228
full,od_baseline,1.0341335588765606,15.073307715045816
full,od_baseline,1.0362560656557533,15.240811902650508
full,od_baseline,1.0367530399049532,15.419065022080098
full,od_baseline,1.036838787268559,15.58656920968479
full,od_baseline,1.0369996703838735,15.753235876351454
full,od_baseline,1.0371275306607377,15.919902543018122
full,od_baseline,1.0371974616009605,16.09815566244771
full,od_baseline,1.0377446164224082,16.264822329114377
full,od_baseline,1.0379931472962567,16.44307544854397
full,od_baseline,1.038184419977742,16.62132856797356
full,od_baseline,1.0383998332232296,16.788832755578245
full,od_baseline,1.0385121336017,16.956336943182936
full,od_baseline,1.0390440949518591,17.123003609849604
full,od_baseline,1.0393809784034311,17.290507797454293
full,od_baseline,1.0399443407617286,17.45717446412096
full,od_baseline,1.0408397110072654,17.624678651725652
full,od_baseline,1.0415128248351302,17.79218283933034
full,od_baseline,1.0420311666119668,17.970435958759936
full,od_baseline,1.0423933723351826,18.1371026254266
full,od_baseline,1.0429921885264914,18.30460681303129
full,od_baseline,1.043378876865489,18.47211100063598
full,od_baseline,1.0436139715090267,18.638777667302644
full,od_baseline,1.0436385907584909,18.806281854907336
full,od_baseline,1.0438448436489365,18.973786042512028
full,od_baseline,1.0449189437656168,19.152039161941616
full,od_baseline,1.0464824648882334,19.318705828608284
full,od_baseline,1.0469554517077266,19.485372495274948
full,od_baseline,1.047026850491697,19.652039161941616
full,od_baseline,1.0473512293048797,19.819543349546308
full,od_baseline,1.0482339601081276,19.997796468975896
full,od_baseline,1.048469845001404,20.165300656580584
full,od_baseline,1.0487052784614745,20.331967323247248
full,od_baseline,1.0487109720760996,20.49947151085194
full,od_baseline,1.0498396481841203,20.67772463028153
full,od_baseline,1.0512132154704983,20.855977749711123
full,od_baseline,1.0513936595034419,21.034230869140714
full,od_baseline,1.051484022345179,21.201735056745406
full,od_baseline,1.0553439471912318,21.369239244350094
full,od_baseline,1.0553565933758444,21.547492363779686
full,od_baseline,1.0553629405080447,21.714159030446346
full,od_baseline,1.0564192698923172,21.881663218051038
full,od_baseline,1.0573129325067083,22.048329884717706
full,od_baseline,1.0602639387138473,22.215834072322394
full,od_baseline,1.0616871673735504,22.394087191751986
full,od_baseline,1.0622088434441497,22.572340311181573
full,od_baseline,1.062706995562404,22.73900697784824
full,od_baseline,1.063131457591579,22.90567364451491
full,od_baseline,1.0640233947962323,23.073177832119597
full,od_baseline,1.0659056227575099,23.239844498786265
full,od_baseline,1.0667817998081084,23.418097618215857
full,od_baseline,1.06733355535052,23.596350737645448
full,od_baseline,1.068415345723721,23.76385492525014
full,od_baseline,1.0688032480479557,23.930521591916808
full,od_baseline,1.0695207936143307,24.108774711346395
full,od_baseline,1.0705786865660587,24.27544137801306
full,od_baseline,1.0716025902556885,24.442945565617748
full,od_baseline,1.0738604036294086,24.609612232284416
full,od_baseline,1.0742465810063277,24.787865351714007
full,od_baseline,1.0763829460499614,24.955369539318696
full,od_baseline,1.0768166961638286,25.122873726923387
full,od_baseline,1.0783373252637887,25.289540393590055
full,od_baseline,1.080880687979939,25.456207060256723
full,od_baseline,1.0836698921790162,25.622873726923384
full,od_baseline,1.0860329967607232,25.789540393590055
full,od_baseline,1.0870096031373029,25.957044581194744
full,od_baseline,1.089469851335278,26.13529770062433
full,od_baseline,1.0918742479861947,26.30280188822902
full,od_baseline,1.0937984658827296,26.47030607583371
full,od_baseline,1.093833551585001,26.63697274250038
full,od_baseline,1.0963145880699117,26.803639409167047
full,od_baseline,1.0973918034103127,26.97030607583371
full,od_baseline,1.097841665017008,27.148559195263307
full,od_baseline,1.1345747972276334,27.326812314692894
full,od_baseline,1.1356929716604425,27.494316502297583
full,od_baseline,1.1473942122251188,27.660983168964254
full,od_baseline,1.1566188597374085,27.839236288393842
full,od_baseline,1.1575350430849156,28.005902955060506
full,od_baseline,1.1750156199455895,28.1734071426652
full,od_baseline,1.1837710912522872,28.340073809331862
full,od_baseline,1.1841002405877545,28.507577996936558
full,od_baseline,1.1855291056518678,28.675082184541246
full,od_baseline,1.1992585952833754,28.853335303970834
full,od_baseline,1.1997163295844886,29.020001970637505
full,od_baseline,1.2038212499984755,29.187506158242194
full,od_baseline,1.2060391410818738,29.354172824908858
full,od_baseline,1.2185581858693082,29.521677012513553
full,od_baseline,1.2209561475628439,29.688343679180214
full,od_baseline,1.2305632274693423,29.855010345846882
full,od_baseline,1.2466149086804017,30.02251453345157
full,od_baseline,1.2504044763740922,30.190018721056262
full,od_baseline,1.251004499010637,30.357522908660954
full,od_baseline,1.2522738400012903,30.524189575327615
full,od_baseline,1.259281546436473,30.690856241994286
full,od_baseline,1.2619244038818742,30.869109361423874
full,od_baseline,1.2775174601277455,31.04736248085346
full,od_baseline,1.2823181445162914,31.214866668458157
full,od_baseline,1.293217085637786,31.382370856062845
full,od_baseline,1.3009790967705186,31.549037522729513
full,od_baseline,1.3042865716599845,31.7272906421591
full,od_baseline,1.3081219941223083,31.893957308825772
full,od_baseline,1.3142046588713365,32.07221042825536
full,od_baseline,1.3184904058965354,32.25046354768495
full,od_baseline,1.3206537005132313,32.417967735289636
full,od_baseline,1.3212349621146704,32.58463440195631
full,od_baseline,1.3325894445186457,32.7628875213859
full,od_baseline,1.3584863846234545,32.930391708990584
full,od_baseline,1.3645277406170002,33.09789589659528
full,od_baseline,1.3658768478067869,33.27614901602487
full,od_baseline,1.368226457445938,33.44365320362956
full,od_baseline,1.3747564659803462,33.61031987029623
full,od_baseline,1.3782307390745145,33.77698653696289
full,od_baseline,1.3827357146957089,33.94365320362955
full,od_baseline,1.3848313375746346,34.11115739123425
full,od_baseline,1.388344565406613,34.289410510663835
full,od_baseline,1.3939210210611808,34.45691469826853
full,od_baseline,1.4020442786360707,34.63516781769812
full,od_baseline,1.4079838361635855,34.8026720053028
full,od_baseline,1.4251499148812639,34.969338671969474
full,od_baseline,1.4314999671640967,35.136842859574166
full,od_baseline,1.4346200907042097,35.31509597900375
full,od_baseline,1.435207183331959,35.48260016660845
full,od_baseline,1.4388829788252728,35.660853286038034
full,od_baseline,1.4421632882999638,35.83910640546762
full,od_baseline,1.4464238236341402,36.00577307213428
full,od_baseline,1.447914144659493,36.18402619156387
full,od_baseline,1.4539801710287694,36.351530379168565
full,od_baseline,1.4571655834409525,36.529783498598164
full,od_baseline,1.4571814774836125,36.69645016526482
full,od_baseline,1.4579912488840174,36.86311683193149
full,od_baseline,1.463390386417918,37.041369951361084
full,od_baseline,1.4678249116048927,37.20887413896577
full,od_baseline,1.4775655179790084,37.38712725839537
full,od_baseline,1.4843653473120553,37.554631446000045
full,od_baseline,1.485970561473943,37.72213563360474
full,od_baseline,1.4888904414866315,37.88880230027141
full,od_baseline,1.489377464180574,38.067055419701
full,od_baseline,1.489833530649082,38.23455960730569
full,od_baseline,1.4909780415620701,38.402063794910376
full,od_baseline,1.4950388292066472,38.56873046157705
full,od_baseline,1.4989561196470569,38.73539712824371
full,od_baseline,1.4990708191645667,38.9136502476733
full,od_baseline,1.5,38.9136502476733
full,od_baseline,1.5021944794512674,39.080316914339974
full,od_baseline,1.5085337756329507,39.247821101944666
full,od_baseline,1.5114120573667669,39.41448776861132
full,od_baseline,1.5133279534508872,39.581991956216015
full,od_baseline,1.5139334477757014,39.760245075645614
full,od_baseline,1.5174741360278285,39.92691174231227
full,od_baseline,1.5176104489434707,40.09441592991696
full,od_baseline,1.522229143422608,40.261082596583634
full,od_baseline,1.5249803599794869,40.43933571601322
full,od_baseline,1.525426340517576,40.61758883544282
full,od_baseline,1.5262233169123465,40.78509302304751
full,od_baseline,1.5338379065108854,40.96334614247709
full,od_baseline,1.5346527455325951,41.13085033008178
full,od_baseline,1.535140625060227,41.29835451768647
full,od_baseline,1.537540435981581,41.46585870529116
full,od_baseline,1.5385191548627397,41.63336289289585
full,od_baseline,1.5389384589224673,41.800867080500545
full,od_baseline,1.5439929544352595,41.97912019993013
full,od_baseline,1.544337998958751,42.145786866596794
full,od_baseline,1.5465714361125382,42.31329105420149
full,od_baseline,1.5489068462153304,42.479957720868164
full,od_baseline,1.550310573080523,42.65821084029775
full,od_baseline,1.5514208463344061,42.82571502790244
full,od_baseline,1.5585686851607696,42.993219215507125
full,od_baseline,1.5597893104373168,43.16072340311181
full,od_baseline,1.5687565907897454,43.32822759071651
full,od_baseline,1.5719449336201303,43.49489425738318
full,od_baseline,1.5720946557449254,43.67314737681276
full,od_baseline,1.5732739568650613,43.83981404347943
full,od_baseline,1.5747528774063144,44.00731823108412
full,od_baseline,1.5793208465332391,44.17398489775078
full,od_baseline,1.5793995933037335,44.352238017180376
full,od_baseline,1.5840310701747395,44.53049113660996
full,od_baseline,1.5867817777442095,44.69799532421466
full,od_baseline,1.5880177657692942,44.87624844364424
full,od_baseline,1.5883720886771822,45.043752631248935
full,od_baseline,1.5886664488206284,45.22200575067853
full,od_baseline,1.5907884860346335,45.38950993828322
full,od_baseline,1.59110579514441,45.5570141258879
full,od_baseline,1.5914023303099833,45.735267245317495
