npu_id,active_ms,compute_ms,warm_request_count,warm_completed_count,stall_ms,idle_ms,utilization
0,1000.0,560.0080269851453,133,132,439.9919730148547,0.0,0.5600080269851453
1,1000.0,557.701569241686,133,132,442.298430758314,0.0,0.557701569241686
2,1000.0,555.9564740037983,133,132,444.04352599620165,0.0,0.5559564740037983
3,1000.0,555.8677986321059,132,131,444.13220136789414,0.0,0.5558677986321059
4,1000.0,557.6828099247161,133,132,442.31719007528386,0.0,0.5576828099247162
5,1000.0,557.9877084807417,133,132,442.01229151925827,0.0,0.5579877084807418
6,1000.0,558.06242650173,132,131,441.93757349827,0.0,0.55806242650173
7,1000.0,559.12979087943,134,133,440.87020912057005,0.0,0.5591297908794299
8,1000.0,554.8406534208557,132,131,445.1593465791443,0.0,0.5548406534208556
9,1000.0,555.7365783336425,133,132,444.26342166635754,0.0,0.5557365783336424
10,1000.0,557.6213398752807,133,132,442.3786601247193,0.0,0.5576213398752807
11,1000.0,558.4238739874133,133,132,441.57612601258666,0.0,0.5584238739874133
12,1000.0,561.3551502433934,133,132,438.6448497566066,0.0,0.5613551502433933
13,1000.0,557.6041579143998,133,132,442.3958420856002,0.0,0.5576041579143998
14,1000.0,556.2723077193684,132,131,443.7276922806316,0.0,0.5562723077193684
15,1000.0,559.273697322739,133,132,440.72630267726095,0.0,0.559273697322739
16,1000.0,555.1667250443229,132,131,444.8332749556771,0.0,0.5551667250443229
17,1000.0,556.2614412692549,133,132,443.7385587307451,0.0,0.5562614412692549
18,1000.0,557.2537507183106,133,132,442.7462492816894,0.0,0.5572537507183106
19,1000.0,558.3861512528924,133,132,441.61384874710757,0.0,0.5583861512528925
20,1000.0,556.2309033614883,132,131,443.76909663851166,0.0,0.5562309033614884
21,1000.0,556.9668509286439,133,132,443.0331490713561,0.0,0.556966850928644
22,1000.0,558.2092987215008,133,132,441.7907012784992,0.0,0.5582092987215008
23,1000.0,560.7055531323222,134,133,439.29444686767783,0.0,0.5607055531323222
24,1000.0,558.0245476097741,133,132,441.9754523902259,0.0,0.5580245476097742
25,1000.0,556.9353671079343,133,132,443.0646328920657,0.0,0.5569353671079343
26,1000.0,1000.0,8,7,0.0,0.0,1.0
27,1000.0,1000.0,8,7,0.0,0.0,1.0
28,1000.0,1000.0,8,7,0.0,0.0,1.0
29,1000.0,1000.0,8,7,0.0,0.0,1.0
30,1000.0,1000.0,8,7,0.0,0.0,1.0
31,1000.0,1000.0,8,7,0.0,0.0,1.0
