label,input_count,warm_active_npus,warm_request_count,warm_completed_count,active_ms,compute_ms,stall_ms,mean_per_npu_conditional_utilization,pooled_conditional_utilization,occupancy_share,fleet_compute_contribution
L,222,6,48,42,6000.0,6000.0,0.0,1.0,1.0,0.1875,0.1875
S,30737,26,3454,3428,26000.0,14497.664952612891,11502.335047387109,0.5576024981774188,0.5576024981774189,0.8125,0.4530520297691529
