start_ms,end_ms,device_U_percent,stall_percent,idle_percent,all32active,warm_mixed_card_count,mean_long_active_cards,warm_slo_percent,warm_admissions
2000,12000,90.11136814948624,9.888631850513757,0.0,True,32,16.057257587671366,99.32832872382457,2531
2000,4000,90.24468689547005,9.755313104529948,0.0,True,32,16.06563732024319,99.20318725099601,502
4000,6000,90.15432281545606,9.845677184543943,0.0,True,32,16.064790745706265,100.0,508
6000,8000,90.19904468512703,9.800955314872954,0.0,True,32,16.055630412036123,99.2248062015504,516
8000,10000,89.96691294517979,10.0330870548202,0.0,True,32,16.061565114497764,99.80276134122288,507
10000,12000,89.99187340619825,10.008126593801743,0.0,True,32,16.0386643458735,98.39357429718875,498
