regime,policy,seed,request_id,npu_id,admission_ms,completion_ms,ideal_ms,ratio,passed,completed_after_window,raw_ratio,category,seq_len_k,miss_tokens
full,baseline,19,19000013,19,3517.4742447664003,3813.9763378057646,72.35128428205302,4.0980902548113125,False,False,4.0980902548113125,LS,200,256
full,baseline,19,19000014,19,3813.9763378057646,4077.621239748584,122.48236916054397,2.1525130820848686,False,True,2.1525130820848686,SL,80,1024
full,baseline,19,20000009,20,2179.4921669567134,2435.002916621125,186.90687789087698,1.367048406926942,True,False,1.367048406926942,LL,128,1024
full,baseline,19,20000010,20,2435.002916621125,2689.719555026551,200.85214333740902,1.268179837033307,True,False,1.268179837033307,SL,64,2048
full,baseline,19,20000011,20,2689.719555026551,2968.189084472563,243.80186035081854,1.142196081052493,True,False,1.142196081052493,SL,80,2048
full,baseline,19,20000012,20,2968.189084472563,3371.6039291679326,400.5413596855101,1.0071740032343117,True,False,1.0071740032343117,SL,64,4096
full,baseline,19,20000013,20,3371.6039291679326,3623.2882586075716,26.717256165257165,9.420291061434916,False,False,9.420291061434916,SS,64,256
full,baseline,19,20000014,20,3623.2882586075716,4785.86246895526,1130.6863062355314,1.028202255511808,True,True,1.028202255511808,LL,200,4096
full,baseline,19,21000005,21,2024.336565889117,2224.4606339265565,58.92951067026337,3.3959906634423276,False,False,3.3959906634423276,LS,160,256
full,baseline,19,21000006,21,2224.4606339265565,2481.5194023347594,58.92951067026337,4.362139876683521,False,False,4.362139876683521,LS,160,256
full,baseline,19,21000007,21,2481.5194023347594,2727.662273844412,32.085964974046185,7.671356361223782,False,False,7.671356361223782,SS,80,256
full,baseline,19,21000008,21,2727.662273844412,3018.841479603198,101.00752608339441,2.882747623364034,False,False,2.882747623364034,SL,64,1024
full,baseline,19,21000009,21,3018.841479603198,3440.3270736991826,400.5413596855101,1.052289817028931,True,False,1.052289817028931,SL,64,4096
full,baseline,19,21000010,21,3440.3270736991826,3719.3283402253846,58.92951067026337,4.734491485723296,False,False,4.734491485723296,LS,160,256
full,baseline,19,21000011,21,3719.3283402253846,4018.9327978514693,243.80186035081854,1.2288850347366875,True,True,1.2288850347366875,SL,80,2048
full,baseline,19,22000009,22,2262.381442040792,2513.904283808625,186.90687789087698,1.3457120711987993,True,False,1.3457120711987993,LL,128,1024
full,baseline,19,22000010,22,2513.904283808625,2747.204287830737,101.00752608339441,2.309728918907422,False,False,2.309728918907422,SL,64,1024
