policy,category,ratio,macro_cdf
baseline,SS,0.9,0.0
baseline,SS,1.5,0.0
baseline,SS,5.596684955771866,0.007936507936507936
baseline,SS,5.890557576620481,0.015873015873015872
baseline,SS,5.93459884782441,0.023809523809523808
baseline,SS,5.997392638923173,0.031746031746031744
baseline,SS,6.090686198733101,0.04249871991807475
baseline,SS,6.115426808383155,0.05043522785458269
baseline,SS,6.186651750691967,0.061187916026625704
baseline,SS,6.4376012292388545,0.07099183759525315
baseline,SS,6.454001507738775,0.07892834553176109
baseline,SS,6.527581480330005,0.08686485346826901
baseline,SS,6.56674239959035,0.09761754164031204
baseline,SS,7.016115649477471,0.10837022981235504
baseline,SS,7.09809049744156,0.11630673774886298
baseline,SS,7.215530308806504,0.12611065931749044
baseline,SS,7.2283390417780495,0.13404716725399837
baseline,SS,7.25265057593612,0.14479985542604137
baseline,SS,7.26104168671679,0.15273636336254934
baseline,SS,7.264726900607689,0.16067287129905727
baseline,SS,7.272608398694715,0.17047679286768472
baseline,SS,7.40897314041554,0.17841330080419263
baseline,SS,7.523123987352945,0.1863498087407006
baseline,SS,7.60047259168422,0.19615373030932803
baseline,SS,7.606625268307589,0.20409023824583597
baseline,SS,7.645900242639903,0.21202674618234393
baseline,SS,7.665912842631884,0.21996325411885184
baseline,SS,7.671356361223782,0.23071594229089487
baseline,SS,7.729310784826737,0.23865245022740278
baseline,SS,7.757677663277042,0.24845637179603022
baseline,SS,7.80248114163305,0.25920905996807325
baseline,SS,7.803365607426741,0.26714556790458116
baseline,SS,7.835754434807197,0.2778982560766242
baseline,SS,7.858849968059339,0.2877021776452517
baseline,SS,7.87780655335041,0.2984548658172947
baseline,SS,7.894456714735613,0.3063913737538026
baseline,SS,8.072799170745474,0.31432788169031056
baseline,SS,8.074955489212288,0.324131803258938
baseline,SS,8.09818664636345,0.3320683111954459
baseline,SS,8.226069621858382,0.34187223276407336
baseline,SS,8.23348277389788,0.3516761543327008
baseline,SS,8.237046996475371,0.3596126622692088
baseline,SS,8.257082818315343,0.36941658383783627
baseline,SS,8.397334068731636,0.3792205054064637
baseline,SS,8.400860313776832,0.3899731935785067
baseline,SS,8.476170702285806,0.4007258817505497
baseline,SS,8.544676114710635,0.41052980331917716
baseline,SS,8.575592245104579,0.42033372488780457
baseline,SS,8.630989206462747,0.430137646456432
baseline,SS,8.727808085955363,0.43807415439294
baseline,SS,8.74001847358353,0.448826842564983
baseline,SS,8.753291177348272,0.4586307641336105
baseline,SS,8.776164727125824,0.4693834523056535
baseline,SS,8.826511734115178,0.4791873738742809
baseline,SS,8.841807535080923,0.4871238818107888
baseline,SS,8.945803028691433,0.4950603897472967
baseline,SS,9.200925599566002,0.5029968976838047
baseline,SS,9.229812815233547,0.5109334056203126
baseline,SS,9.283843723627806,0.5188699135568206
baseline,SS,9.28739596519913,0.5296226017288636
baseline,SS,9.348045067851125,0.5403752899009066
baseline,SS,9.381850129982924,0.5511279780729496
baseline,SS,9.398221441829733,0.5618806662449926
baseline,SS,9.420291061434916,0.5726333544170356
baseline,SS,9.453744480596207,0.5833860425890786
baseline,SS,9.52353489564165,0.5931899641577061
baseline,SS,9.530172951593338,0.6029938857263336
baseline,SS,9.75426314756407,0.612797807294961
baseline,SS,9.771030754459725,0.623550495467004
baseline,SS,9.807787615457942,0.6314870034035119
baseline,SS,9.818912464689982,0.6412909249721395
baseline,SS,9.864361614933221,0.6492274329086474
baseline,SS,9.918119588990594,0.6590313544772748
baseline,SS,9.98991754817737,0.6688352760459022
baseline,SS,9.996922348621473,0.6786391976145296
baseline,SS,10.08385297206309,0.6884431191831571
baseline,SS,10.087164527713538,0.6982470407517846
baseline,SS,10.85455309999222,0.7089997289238276
baseline,SS,11.758861418055213,0.7197524170958706
baseline,SS,11.957434136154241,0.7276889250323787
baseline,SS,12.075173783680118,0.7356254329688866
baseline,SS,12.675917510800163,0.7435619409053945
baseline,SS,13.549992559772408,0.7543146290774375
baseline,SS,13.565083818153632,0.7641185506460649
baseline,SS,13.894749943152638,0.7748712388181079
baseline,SS,13.911766228953024,0.7846751603867353
baseline,SS,14.087096141530647,0.7954278485587783
baseline,SS,14.118393113589413,0.8052317701274058
baseline,SS,14.19111529014803,0.8131682780639137
baseline,SS,14.351072223088028,0.8211047860004216
baseline,SS,14.3669186269982,0.8290412939369295
baseline,SS,14.368365141324105,0.8369778018734375
baseline,SS,14.492391028101272,0.8467817234420649
baseline,SS,14.60041599358589,0.854718231378573
baseline,SS,14.643891993290692,0.865470919550616
baseline,SS,14.683673480069219,0.8734074274871239
baseline,SS,14.693132031603106,0.8832113490557513
baseline,SS,14.740528927422268,0.8930152706243787
baseline,SS,14.996173362254781,0.9037679587964217
baseline,SS,15.153256225195337,0.9145206469684647
baseline,SS,15.450087415788802,0.9252733351405077
baseline,SS,15.495678444598596,0.9360260233125509
baseline,SS,15.583752666762901,0.9439625312490588
baseline,SS,15.597214388189867,0.9547152194211018
baseline,SS,15.706885988415435,0.9645191409897292
baseline,SS,15.749821689342243,0.9743230625583567
baseline,SS,16.09873722505385,0.9822595704948647
baseline,SS,16.327982165074165,0.9901960784313726
baseline,SS,16.562048125692833,1.0
baseline,LS,0.9,0.0
baseline,LS,1.5,0.0
baseline,LS,2.545643723639973,0.0070921985815602835
baseline,LS,3.168282051089516,0.01484413656605641
baseline,LS,3.2676749730853145,0.021936335147616687
baseline,LS,3.277263758699905,0.029028533729176974
baseline,LS,3.280168300216498,0.03612073231073726
baseline,LS,3.313933516828552,0.043872670295233375
baseline,LS,3.3170274596365923,0.05096486887679367
baseline,LS,3.350181724391714,0.05871680686128979
baseline,LS,3.364429244651473,0.06646874484578591
baseline,LS,3.3817533357677023,0.07422068283028203
baseline,LS,3.3959906634423276,0.08197262081477817
baseline,LS,3.434866965029047,0.08863928748144484
baseline,LS,3.453207242429152,0.09639122546594096
baseline,LS,3.482615689137791,0.10348342404750126
baseline,LS,3.5079140381602727,0.11057562262906152
baseline,LS,3.524006967304375,0.11724228929572818
baseline,LS,3.5332894627480704,0.12390895596239486
baseline,LS,3.5523553458266255,0.13057562262906153
baseline,LS,3.565492838072037,0.1376678212106218
baseline,LS,3.5785813611895354,0.14541975919511793
baseline,LS,3.6631568606349916,0.15251195777667823
baseline,LS,3.681653424734142,0.1596041563582385
baseline,LS,3.698238920317797,0.1673560943427346
baseline,LS,3.7351150838685054,0.1744482929242949
baseline,LS,3.772556445392094,0.18154049150585516
baseline,LS,3.7895867590953745,0.18863269008741546
baseline,LS,3.7974550197282038,0.19529935675408214
baseline,LS,3.8159122257506812,0.20305129473857828
baseline,LS,3.8344610907420753,0.2108032327230744
baseline,LS,3.8453305134227893,0.21746989938974107
baseline,LS,3.8592395025989004,0.22456209797130133
baseline,LS,3.874428136904999,0.23231403595579747
baseline,LS,3.8925562003282406,0.23940623453735774
baseline,LS,3.8941578629865496,0.24649843311891803
baseline,LS,3.895034055633403,0.2531650997855847
baseline,LS,3.9100353656878464,0.260257298367145
baseline,LS,3.917184299237624,0.26692396503381166
baseline,LS,3.9191536851097863,0.2740161636153719
baseline,LS,3.9282617514689258,0.2811083621969322
baseline,LS,3.929053236246359,0.28886030018142833
baseline,LS,3.929434064318607,0.29661223816592447
baseline,LS,3.9399930262320315,0.30370443674748476
baseline,LS,3.9544687564855865,0.31079663532904506
baseline,LS,4.015852921101347,0.31746330199571166
baseline,LS,4.028286680641195,0.324555500577272
baseline,LS,4.0297845923569975,0.33164769915883224
baseline,LS,4.034265215450426,0.33873989774039254
baseline,LS,4.05344478946501,0.3454065644070592
baseline,LS,4.0776718546036035,0.35249876298861954
baseline,LS,4.078099946551232,0.3595909615701798
baseline,LS,4.0980902548113125,0.3673428995546759
baseline,LS,4.113632185090331,0.37509483753917205
baseline,LS,4.132127441502018,0.38284677552366814
baseline,LS,4.150604217949923,0.3895134421903348
baseline,LS,4.1630749523708905,0.39618010885700145
baseline,LS,4.164943333644682,0.4032723074385618
baseline,LS,4.187230545726575,0.40993897410522845
baseline,LS,4.214121916902028,0.4176909120897246
baseline,LS,4.232295618493163,0.4243575787563913
baseline,LS,4.261627890252675,0.43210951674088743
baseline,LS,4.2748308967052,0.4387761834075541
baseline,LS,4.326846921484912,0.44586838198911427
baseline,LS,4.335969238514078,0.4536203199736104
baseline,LS,4.362139876683521,0.46137225795810655
baseline,LS,4.365278617079588,0.4684644565396669
baseline,LS,4.377580631966619,0.47513112320633355
baseline,LS,4.395510133982283,0.4817977898730002
baseline,LS,4.409872187823824,0.48954972785749634
baseline,LS,4.435316349298628,0.49621639452416294
baseline,LS,4.457119384125732,0.5039683325086591
baseline,LS,4.467034445162715,0.5110605310902193
baseline,LS,4.477979313392307,0.5177271977568859
baseline,LS,4.492462513406405,0.5243938644235526
baseline,LS,4.493021999112388,0.5321458024080488
baseline,LS,4.519807110781059,0.5388124690747155
baseline,LS,4.523952050233878,0.5459046676562758
baseline,LS,4.5361030277261145,0.5529968662378361
baseline,LS,4.540447031732763,0.5596635329045027
baseline,LS,4.589270566184517,0.5663301995711694
baseline,LS,4.594419589527423,0.5734223981527297
