policy,NPU,SSU,window_start_ms,window_end_ms,U_percent,short_U_percent,long_U_percent,short_stall_card_ms,long_stall_card_ms,slo_1p5_percent,slo_passed,slo_count,all8_computed_both,all_active,static_upper_gib_s,whole_run_nominal_peak_gib_s
fifo,8,1,2000,4000,92.52397715502856,85.26519051614287,99.28955528935631,1137.3292862190992,58.834368976335554,98.21428571428571,165,168,True,True,38.91645895750167,38.00198410233669
once,8,1,2000,4000,97.15574265298257,97.54347501503649,96.86902639844578,167.08775151472037,287.993424008067,100.0,170,170,True,True,38.91645895750167,38.05012862363613
short_first,8,1,2000,4000,98.1498365559261,100.00000000000009,96.91292469683896,0,296.0261510518235,100.0,167,167,True,True,38.91645895750167,37.975893656215796
