scenario,profile,total_input_K,NQL,category,count_per_NPU,count_total,count_share_percent,per_layer_read_MiB,per_layer_compute_ms,required_bandwidth_GiB_s
near35,P01,32,256,SS,1,32,2.380952380952381,43.65625,1.9974796959734433,21.343424279388426
near35,P02,32,1024,SL,1,32,2.380952380952381,42.62500000000001,7.257231579079756,5.735792789428712
near35,P03,32,2048,SL,3,96,7.142857142857142,41.25000000000001,14.369102622125,2.8034599086914067
near35,P04,32,4096,SL,2,64,4.761904761904762,38.5,28.592841995880782,1.3149324665039066
near35,P05,64,256,SS,1,32,2.380952380952381,87.65625,3.3396570206571456,25.63191552639771
near35,P06,64,1024,SL,1,32,2.380952380952381,86.625,12.625940760424301,6.700073140502931
near35,P07,64,2048,SL,3,96,7.142857142857142,85.25,25.106517917176127,3.3159498023437504
near35,P08,64,4096,SL,2,64,4.761904761904762,82.5,50.06766996068876,1.609150302246094
near35,P09,80,256,SS,1,32,2.380952380952381,109.65625000000001,4.010745621755773,26.699818871521
near35,P10,80,1024,SL,1,32,2.380952380952381,108.62500000000001,15.310296145067996,6.928611997924805
near35,P11,80,2048,SL,3,96,7.142857142857142,107.25,30.475232543852318,3.436768791650391
near35,P12,80,4096,SL,2,64,4.761904761904762,104.5,60.80510334800196,1.6783259238281252
near35,P13,128,256,LS,1,32,2.380952380952381,175.65625,6.024011548589168,28.475925926934814
near35,P14,128,1024,LL,1,32,2.380952380952381,174.625,23.363359736359623,7.299131138964844
near35,P15,128,2048,LL,3,96,7.142857142857142,173.25,46.58135868432481,3.632127913476562
near35,P16,128,4096,LL,2,64,4.761904761904762,170.5,93.01732520235409,1.7900311139648437
near35,P17,160,256,LS,1,32,2.380952380952381,219.65625,7.366188833782921,29.120629606567384
near35,P18,160,1024,LL,1,32,2.380952380952381,218.62500000000003,28.732067426025328,7.430755796191407
near35,P19,160,2048,LL,3,96,7.142857142857142,217.25000000000003,57.31877271428324,3.7013737921875007
near35,P20,160,4096,LL,2,64,4.761904761904762,214.5,114.4921718038388,1.8295805988281253
near35,P21,200,256,LS,1,32,2.380952380952381,274.65625,9.043910535256627,29.65741347119751
near35,P22,200,1024,LL,1,32,2.380952380952381,273.62500000000006,35.44295093756352,7.539211803588867
near35,P23,200,2048,LL,3,96,7.142857142857142,272.25000000000006,70.74053784115809,3.7583703593261726
near35,P24,200,4096,LL,2,64,4.761904761904762,269.5,141.33578827944143,1.8621157242187503
