group,strategy,status,old_npu,old_ssu,new_npu,new_ssu,old_warm_U_percent,new_warm_U_percent,U_difference_pp,old_warm_SLO_1p5_percent,new_warm_SLO_1p5_percent,SLO_difference_pp
XY12_32,asu_baseline,complete,8,1,32,6,99.74081728469442,99.9996767045073,0.25885941981287885,100.0,100.0,0.0
XY12_32,od_baseline,complete,8,1,32,6,99.77578628346778,99.9973177514242,0.22153146795642442,100.0,100.0,0.0
XY12_32,once,complete,8,1,32,6,99.84527921419148,100.0,0.15472078580852155,100.0,100.0,0.0
XY12_24,asu_baseline,complete,8,1,32,6,98.27991793108484,99.9865309225723,1.7066129914874608,100.0,100.0,0.0
XY12_24,od_baseline,complete,8,1,32,6,99.26175464704743,99.99218789058116,0.7304332435337386,100.0,100.0,0.0
XY12_24,once,complete,8,1,32,6,99.12906510206832,99.98957645753222,0.860511355463899,100.0,100.0,0.0
XY12_20,asu_baseline,complete,8,1,32,6,95.02517191117067,99.98088004014011,4.955708128969434,98.57142857142857,100.0,1.4285714285714306
XY12_20,od_baseline,complete,8,1,32,6,98.72076609013632,99.97696492209374,1.2561988319574198,100.0,100.0,0.0
XY12_20,once,complete,8,1,32,6,98.61662649714421,99.97816860769386,1.3615421105496495,100.0,100.0,0.0
XY12_16,asu_baseline,complete,8,1,32,6,90.82923258259471,99.74083459747499,8.911602014880273,94.86526168111845,100.0,5.134738318881546
XY12_16,od_baseline,complete,8,1,32,6,98.05039561756094,99.89069313118789,1.8402975136269504,100.0,100.0,0.0
XY12_16,once,complete,8,1,32,6,97.68899918773782,99.86846476621346,2.179465578475643,100.0,100.0,0.0
X16,asu_baseline,complete,8,1,32,6,92.55579185371003,99.85219737714687,7.296405523436832,95.13355071366121,100.0,4.866449286338792
X16,od_baseline,complete,8,1,32,6,98.77070897273234,99.90024911583518,1.1295401431028438,100.0,100.0,0.0
X16,once,complete,8,1,32,6,98.3252664273185,99.9060720641304,1.5808056368119026,100.0,100.0,0.0
