group,strategy,seed,npu,U_percent,active_ms,A_compute_ms,B_compute_ms
R32_A200_B10,asu_baseline,19,0,97.48829285485307,2000.0,1697.2629721224384,252.50288497462316
R32_A200_B10,asu_baseline,19,1,97.34514989576701,2000.0,1709.2532238215772,237.64977409376297
R32_A200_B10,asu_baseline,19,2,98.82199683331378,2000.0,1872.4681605002543,103.9717761660213
R32_A200_B10,asu_baseline,19,3,96.52743271651885,2000.0,1752.3113237600546,178.23733057032223
R32_A200_B10,asu_baseline,19,4,97.10574302093528,2000.0,1617.6927391674626,324.42212125124297
R32_A200_B10,asu_baseline,19,5,96.32544417246407,2000.0,1763.1246637598197,163.38421968946204
R32_A200_B10,asu_baseline,19,6,99.38543035710214,2000.0,1913.4430527377417,74.26555440430093
R32_A200_B10,asu_baseline,19,7,97.33467743890797,2000.0,1634.7782202800954,311.9153284980639
R32_A200_B10,asu_baseline,19,8,97.30924901035436,2000.0,1827.360093160206,118.82488704688149
R32_A200_B10,asu_baseline,19,9,96.64064757067207,2000.0,1695.1631773196787,237.64977409376297
R32_A200_B10,asu_baseline,19,10,97.37387974684043,2000.0,1780.3800975271315,167.0974974096771
R32_A200_B10,asu_baseline,19,11,98.16612316833545,2000.0,1844.4975763198272,118.82488704688149
R32_A200_B10,asu_baseline,19,12,94.92173695785705,2000.0,1616.2256324207974,282.20910673634353
R32_A200_B10,asu_baseline,19,13,95.90914015112385,2000.0,1549.0616755286565,369.1211274938205
R32_A200_B10,asu_baseline,19,14,98.34906651314668,2000.0,1922.421997620353,44.55933264258056
R32_A200_B10,asu_baseline,19,15,97.15853210850514,2000.0,1794.639533361501,148.53110880860186
R32_A200_B10,asu_baseline,19,16,98.54310388659364,2000.0,1774.2867130280547,196.5753647038182
R32_A200_B10,asu_baseline,19,17,99.62524046803769,2000.0,1977.6516984798936,14.853110880860186
R32_A200_B10,asu_baseline,19,18,93.78623837010383,2000.0,1519.250106261432,356.47466114064446
