group,strategy,seed,window,demand_kind,ssu,peak_GB_s,mean_GB_s,over40_percent,strictly_under40
R32_A200_B10,asu_baseline,19,warm,ordinary_demand,0,42.098828292684765,26.109738395440516,0.5469497918698835,False
R32_A200_B10,asu_baseline,19,warm,ordinary_demand,1,41.94120034952175,28.538574105562105,3.0026365592895217,False
R32_A200_B10,asu_baseline,19,warm,ordinary_demand,2,42.701655510582796,27.985254895461143,2.6969369919415382,False
R32_A200_B10,asu_baseline,19,warm,ordinary_pending_demand,0,28.982024187423196,4.8135524563646515,0.0,True
R32_A200_B10,asu_baseline,19,warm,ordinary_pending_demand,1,28.411575313023828,5.27883978840816,0.0,True
R32_A200_B10,asu_baseline,19,warm,ordinary_pending_demand,2,30.44510428032686,5.151839487876227,0.0,True
R32_A200_B10,asu_baseline,19,full,ordinary_demand,0,70.22867586298729,28.93987708595032,9.129050809818722,False
R32_A200_B10,asu_baseline,19,full,ordinary_demand,1,72.42654006556025,31.60282939699177,15.49424283070315,False
R32_A200_B10,asu_baseline,19,full,ordinary_demand,2,72.25678661335176,30.98385499587353,13.575169037193241,False
R32_A200_B10,asu_baseline,19,full,ordinary_pending_demand,0,66.83122462164305,7.659956836141959,1.9915941333167104,False
R32_A200_B10,asu_baseline,19,full,ordinary_pending_demand,1,71.7470498172914,8.421160586692945,2.676761966059903,False
R32_A200_B10,asu_baseline,19,full,ordinary_pending_demand,2,70.60659601041316,8.227682007560768,2.4974653046822577,False
R32_A200_B10,od_baseline,19,warm,ordinary_demand,0,41.900699323117344,24.879035729039078,0.29921188811176763,False
R32_A200_B10,od_baseline,19,warm,ordinary_demand,1,45.30007024970787,27.22265415032433,3.0549248273478042,False
R32_A200_B10,od_baseline,19,warm,ordinary_demand,2,43.742484344167714,26.71547232322251,2.0838083696569814,False
R32_A200_B10,od_baseline,19,warm,ordinary_pending_demand,0,27.653988073577064,3.6095783148486045,0.0,True
R32_A200_B10,od_baseline,19,warm,ordinary_pending_demand,1,31.753246968528444,3.9991299218565044,0.0,True
R32_A200_B10,od_baseline,19,warm,ordinary_pending_demand,2,30.504087984079028,3.889438067633713,0.0,True
R32_A200_B10,od_baseline,19,full,ordinary_demand,0,66.83122462164305,27.670893263842316,9.99235733265777,False
R32_A200_B10,od_baseline,19,full,ordinary_demand,1,72.6206801364942,30.29359368415067,14.38796592622069,False
R32_A200_B10,od_baseline,19,full,ordinary_demand,2,71.96557650695082,29.66372894258962,12.893111766171325,False
