policy,role,passed,count,percent,mean_normalized,p95_normalized
od_baseline,all,128,192,66.66666666666667,3.203415904086984,8.2463354528175
od_baseline,A,0,64,0.0,7.543701454241382,8.38399579678302
od_baseline,B,128,128,100.0,1.033273129009785,1.070205923576928
once,all,130,192,67.70833333333333,2.809843762369938,8.555788243743155
once,A,2,64,3.125,6.389704256752101,8.875167207478468
once,B,128,128,100.0,1.0199135151788565,1.0638162515801
