num_ssu,seed,strategy,request_id,npu_id,arrival_ms,admission_ms,completion_ms,ideal_compute_ms,io_count,slo_threshold_ms,admission_latency_ms,arrival_latency_ms,admission_passed,arrival_passed
5,20260906,baseline,0,0,0.0,0.0,137.41096227991773,51.09189745809175,4064,76.63784618713763,137.41096227991773,137.41096227991773,False,False
5,20260906,baseline,1,0,0.0,137.41096227991773,321.19700577024366,136.99125041335824,12256,205.48687562003738,183.78604349032594,321.19700577024366,True,False
5,20260906,baseline,2,0,0.0,321.19700577024366,596.9047639798437,272.80625323765605,12224,409.2093798564841,275.7077582096,596.9047639798437,True,False
5,20260906,baseline,3,0,0.0,596.9047639798437,869.7110172174998,272.80625323765605,12224,409.2093798564841,272.80625323765616,869.7110172174998,True,False
5,20260906,baseline,4,0,242.5614326616667,869.7110172174998,963.3384983727312,15.979837567787547,2032,23.96975635168132,93.62748115523141,720.7770657110646,False,False
5,20260906,baseline,5,0,300.4693842936263,963.3384983727312,1037.0649692379254,51.09189745809175,4064,76.63784618713763,73.72647086519419,736.5955849442992,True,False
5,20260906,baseline,6,0,347.30624586318265,1037.0649692379254,1588.2728519938855,544.44948922267,12160,816.674233834005,551.2078827559601,1240.966606130703,True,False
5,20260906,baseline,7,0,854.3621707212551,1588.2728519938855,1703.2659779126784,9.424207671320028,2040,14.136311506980043,114.99312591879288,848.9038071914233,False,False
5,20260906,baseline,8,0,895.0115230670459,1703.2659779126784,1875.279897195863,136.99125041335824,12256,205.48687562003738,172.01391928318458,980.2683741288171,True,False
5,20260906,baseline,9,0,1051.390670198493,1875.279897195863,2013.3890968108697,15.979837567787547,2032,23.96975635168132,138.10919961500667,961.9984266123768,False,False
5,20260906,baseline,10,0,1079.5112389569974,2013.3890968108697,2571.425670546549,544.44948922267,12160,816.674233834005,558.0365737356794,1491.9144315895517,True,False
5,20260906,baseline,11,0,1511.0069741391671,2571.425670546549,2708.4169209599063,136.99125041335824,12256,205.48687562003738,136.9912504133572,1197.4099468207392,True,False
5,20260906,baseline,12,0,1643.6570849035297,2708.4169209599063,2723.5513935620925,9.424207671320028,2040,14.136311506980043,15.134472602186179,1079.8943086585627,False,False
5,20260906,baseline,13,0,1682.7134304014526,2723.5513935620925,3273.7371294884156,544.44948922267,12160,816.674233834005,550.1857359263231,1591.023699086963,True,False
5,20260906,baseline,14,0,2127.0577806616,3273.7371294884156,3818.186618711084,544.44948922267,12160,816.674233834005,544.4494892226685,1691.1288380494839,True,False
5,20260906,baseline,15,0,2724.8289873698877,3818.186618711084,3911.79125252901,72.56673439628396,6112,108.85010159442595,93.60463381792579,1186.9622651591221,True,False
5,20260906,baseline,16,0,2778.007123302965,3911.79125252901,4001.375395916905,9.424207671320028,2040,14.136311506980043,89.58414338789498,1223.36827261394,False,False
5,20260906,baseline,17,0,2817.1434266735605,4001.375395916905,4129.7277518739365,9.424207671320028,2040,14.136311506980043,128.3523559570317,1312.584325200376,False,False
