num_ssu,seed,strategy,npu_id,npu_utilizations,compute_ms_by_npu,active_ms_by_npu,io_stall_ms_by_npu,idle_ms_by_npu,whole_compute_ms_by_npu,whole_stall_ms_by_npu,nonterminal_idle_ms_by_npu,terminal_tail_ms_by_npu,last_completion_ms_by_npu
5,20260906,baseline,0,0.7380346212170679,738.0346212170679,1000.0,261.96537878293213,0.0,4405.6049770093605,811.1063484401157,0.0,63.16397274136398,5216.711325449476
5,20260906,baseline,1,0.7116362721402526,711.6362721402526,1000.0,288.3637278597474,0.0,4405.60497700936,737.3582460684908,0.0,136.91207511298944,5142.963223077851
5,20260906,baseline,2,0.6900978161579301,690.0978161579301,1000.0,309.9021838420699,0.0,4405.60497700936,771.040764501937,0.0,103.22955667954375,5176.645741511296
5,20260906,baseline,3,0.9364381288429244,936.4381288429245,1000.0,63.56187115707553,0.0,4405.604977009366,712.8718365663499,0.0,161.3984846151243,5118.476813575716
5,20260906,baseline,4,0.8117520938636594,811.7520938636594,1000.0,188.2479061363406,0.0,4405.604977009364,515.360209824428,0.0,358.91011135704866,4920.965186833791
5,20260906,baseline,5,0.7800789834089273,780.0789834089273,1000.0,219.92101659107266,0.0,4405.604977009362,532.7175426595686,0.0,341.5527785219092,4938.322519668931
5,20260906,baseline,6,0.8146347251342154,814.6347251342154,1000.0,185.3652748657846,0.0,4405.604977009363,651.2342479929252,0.0,223.0360731885521,5056.839225002288
5,20260906,baseline,7,0.9154847119385053,915.4847119385054,1000.0,84.51528806149463,0.0,4405.604977009369,599.2480267518944,0.0,275.0222944295774,5004.853003761263
5,20260906,baseline,8,0.8407693747555652,840.7693747555652,1000.0,159.2306252444348,0.0,4405.604977009357,723.6141919555221,0.0,150.6561292259612,5129.219168964879
5,20260906,baseline,9,0.7141698073247376,714.1698073247376,1000.0,285.8301926752624,0.0,4405.60497700936,766.0755550472782,0.0,108.19476613420193,5171.680532056638
5,20260906,baseline,10,0.8904801701488182,890.4801701488182,1000.0,109.51982985118184,0.0,4405.60497700936,680.1437187569554,0.0,194.12660242452512,5085.748695766315
