case,strategy,seed,order_mode,npu,ssu,complete_native_run,has_extended_windows,request_count,makespan_ms,input_fingerprint,manifest_sha256,source_unchanged_during_run,current_source_files_match,window,full_2s_bin,start_ms,end_ms,available,first_npu_finishes_ms,ends_before_first_npu_finishes,duration_ms,U_percent,SLO_1p5_percent,admitted_count,passed_count,completed_after_window_count,all_npus_active,mixed_npu_count,all_npus_compute_AB,missing_A_npu_ids,missing_B_npu_ids,inactive_npu_ids,nominal_strict_under40,nominal_peak_GB_s,any_ssu_over40_percent,any_ssu_at_or_above40_percent,internal_stall_card_ms,layer0_stall_card_ms,per_npu_U_percent,valid_all_active_mixed_underload_window,A_admitted_count,A_passed_count,A_SLO_1p5_percent,B_admitted_count,B_passed_count,B_SLO_1p5_percent,SSU0_nominal_peak_GB_s,SSU0_nominal_mean_GB_s,SSU0_over40_percent,SSU1_nominal_peak_GB_s,SSU1_nominal_mean_GB_s,SSU1_over40_percent,SSU2_nominal_peak_GB_s,SSU2_nominal_mean_GB_s,SSU2_over40_percent,SSU3_nominal_peak_GB_s,SSU3_nominal_mean_GB_s,SSU3_over40_percent
A200m1024_B32m1024_s4_r12_random_seed7,asu_baseline,7,random,16,4,True,False,1536,12833.014007438378,a5242d35865bfadf3ce43fa1600c8e2c4fdfe25b8a28990078731fda5d547953,0f211c3c11f5d4cfdbbaa297e08504a63bdef681d871ecb2f909c6803dda0fd5,True,True,consecutive_2s,True,0.0,2000.0,True,12808.391971042865,True,2000.0,98.97796361003574,100.0,253,253,16,True,16,True,,,,True,33.267864044912635,0.0,0.0,179.5303630946585,147.5212816939036,"[98.42362599171896, 99.19990300600286, 99.3320945647557, 99.372414976, 98.40147378694769, 99.22591812100258, 98.50582901035915, 98.96354566286695, 98.49311432485317, 99.03688910990425, 99.3476029617428, 99.26393690486118, 99.42928181390782, 99.10582443598112, 98.3257876740251, 99.22017541564257]",True,86,86,100.0,167,167,100.0,33.267864044912635,31.50921550869786,0.0,32.336503457955835,30.75052473035303,0.0,31.392716114952183,29.213147925468054,0.0,30.043676518023183,28.515290866228025,0.0
A200m1024_B32m1024_s4_r12_random_seed7,asu_baseline,7,random,16,4,True,False,1536,12833.014007438378,a5242d35865bfadf3ce43fa1600c8e2c4fdfe25b8a28990078731fda5d547953,0f211c3c11f5d4cfdbbaa297e08504a63bdef681d871ecb2f909c6803dda0fd5,True,True,consecutive_2s,True,2000.0,4000.0,True,12808.391971042865,True,2000.0,99.8760880193954,100.0,230,230,16,True,16,True,,,,True,33.6613866317414,0.0,0.0,11.249950783620534,28.401883009855283,"[99.85570004955973, 99.73116291611, 99.9651181307449, 100.0, 99.76461265705389, 99.81351969400198, 99.91689391866457, 99.84921873714559, 99.97769670424229, 99.97101720522046, 99.81959580354132, 100.0, 99.61600750106162, 100.0, 99.89404141747404, 99.84282357550583]",True,80,80,100.0,150,150,100.0,33.6613866317414,31.68256871349115,0.0,33.470291149701104,31.154080606895608,0.0,30.988645475893254,29.418423042568893,0.0,30.420822178086937,28.79753699998871,0.0
A200m1024_B32m1024_s4_r12_random_seed7,asu_baseline,7,random,16,4,True,False,1536,12833.014007438378,a5242d35865bfadf3ce43fa1600c8e2c4fdfe25b8a28990078731fda5d547953,0f211c3c11f5d4cfdbbaa297e08504a63bdef681d871ecb2f909c6803dda0fd5,True,True,consecutive_2s,True,4000.0,6000.0,True,12808.391971042865,True,2000.0,99.89685677192308,100.0,244,244,16,True,16,True,,,,True,33.50520818810876,0.0,0.0,10.437996948520777,22.567836036094377,"[99.80802197736402, 99.66473989601856, 100.0, 100.0, 99.824830107456, 99.88668939945556, 99.82262423678172, 99.98650766263995, 99.88582976553153, 100.0, 99.97346617650165, 99.99548189099818, 99.88311318099518, 99.81687791638792, 99.95917653635865, 99.84234960428034]",True,78,78,100.0,166,166,100.0,33.50520818810876,31.604049565828085,0.0,32.73797850429845,30.661377473437323,0.0,31.039852959498244,29.366702276678353,0.0,30.568138510221363,28.604606403949788,0.0
A200m1024_B32m1024_s4_r12_random_seed7,asu_baseline,7,random,16,4,True,False,1536,12833.014007438378,a5242d35865bfadf3ce43fa1600c8e2c4fdfe25b8a28990078731fda5d547953,0f211c3c11f5d4cfdbbaa297e08504a63bdef681d871ecb2f909c6803dda0fd5,True,True,consecutive_2s,True,6000.0,8000.0,True,12808.391971042865,True,2000.0,99.87561656148245,100.0,245,245,16,True,16,True,,,,True,33.90514317513516,0.0,0.0,13.243849357259023,26.558850968358456,"[99.87678311054079, 100.0, 99.79191984471868, 99.8073726825176, 100.0, 99.96549386008932, 99.95979121072911, 99.9373138776914, 99.80043073751536, 99.86986194375822, 99.85622266429696, 99.78965252750082, 99.85309814740467, 99.65458173790257, 99.98051593021641, 99.86682670883724]",True,79,79,100.0,166,166,100.0,33.90514317513516,31.571001107253316,0.0,32.98923006300974,31.0554636249891,0.0,30.857706070523932,29.00752503146856,0.0,30.532989108830254,28.46393847963726,0.0
A200m1024_B32m1024_s4_r12_random_seed7,asu_baseline,7,random,16,4,True,False,1536,12833.014007438378,a5242d35865bfadf3ce43fa1600c8e2c4fdfe25b8a28990078731fda5d547953,0f211c3c11f5d4cfdbbaa297e08504a63bdef681d871ecb2f909c6803dda0fd5,True,True,consecutive_2s,True,8000.0,10000.0,True,12808.391971042865,True,2000.0,99.93994553810816,100.0,228,228,16,True,16,True,,,,True,34.61294095294455,0.0,0.0,2.489584903807554,16.727842901576878,"[99.87153358471797, 99.93401214906262, 100.0, 99.85551421459732, 100.0, 99.97093464730351, 99.99038928969149, 99.7929687656404, 99.85662274045082, 99.8956625939596, 99.96649644112976, 99.99511835864041, 100.0, 99.99452235598237, 100.0, 99.91535346855453]",True,82,82,100.0,146,146,100.0,34.61294095294455,31.96632063285683,0.0,33.17622949291618,31.201734684647505,0.0,31.752416796672037,29.513750929721425,0.0,31.02299878858756,28.668368685103765,0.0
A200m1024_B32m1024_s4_r12_random_seed7,asu_baseline,7,random,16,4,True,False,1536,12833.014007438378,a5242d35865bfadf3ce43fa1600c8e2c4fdfe25b8a28990078731fda5d547953,0f211c3c11f5d4cfdbbaa297e08504a63bdef681d871ecb2f909c6803dda0fd5,True,True,consecutive_2s,True,10000.0,12000.0,True,12808.391971042865,True,2000.0,99.94584972182635,100.0,235,235,16,True,16,True,,,,True,33.42026528096245,0.0,0.0,1.0102502451700275,16.31783877039379,"[100.0, 99.93213136368058, 99.8512652161562, 100.0, 99.81328350188286, 99.88080810047786, 99.88141938767122, 100.0, 100.0, 99.9125890485393, 99.99910590302397, 100.0, 100.0, 99.93081250256864, 99.95020292522078, 99.98197760000039]",True,81,81,100.0,154,154,100.0,33.42026528096245,31.567340880845727,0.0,33.399693302317026,31.18082895553489,0.0,31.55741802558264,29.34740956958673,0.0,30.68863614487756,28.791455783471587,0.0
A200m1024_B32m1024_s4_r12_random_seed7,asu_baseline,7,random,16,4,True,False,1536,12833.014007438378,a5242d35865bfadf3ce43fa1600c8e2c4fdfe25b8a28990078731fda5d547953,0f211c3c11f5d4cfdbbaa297e08504a63bdef681d871ecb2f909c6803dda0fd5,True,True,consecutive_2s,False,12000.0,12833.014007438378,True,12808.391971042865,False,833.014007438378,98.29986011493699,100.0,101,101,0,False,16,True,,,"0,1,2,3,5,6,7,8,9,10,11,12,13,14,15",True,33.59819003633656,0.0,0.0,0.6904692657171836,13.3378582115256,"[99.9244558668107, 98.42079659727293, 97.27208019819874, 97.0442230051775, 100.0, 97.74514291331347, 99.34515626838441, 98.25848149930917, 99.49702113678383, 97.88282108063021, 97.21903860786762, 97.02288408696747, 97.65357945652467, 98.32315209769298, 99.26646028224178, 97.92246874181622]",False,26,26,100.0,75,75,100.0,33.59819003633656,30.757875954690363,0.0,32.55633594118958,29.914763535211716,0.0,31.00390018763986,28.651363330324187,0.0,30.04985655523737,27.79469417123976,0.0
A200m1024_B32m1024_s4_r13_random_seed7,asu_baseline,7,random,16,4,True,False,1792,12858.741114482274,41b286aec9fc5632f9140565c9fe26a49a7fdc934d105258f90b480f78bab36f,ea427701cb83a44c5c9fb660302818f99d972219e68952c6a1f9b3f697694333,True,True,consecutive_2s,True,0.0,2000.0,True,12838.949794048063,True,2000.0,99.09178435716497,100.0,273,273,16,True,16,True,,,,True,33.72645464919243,0.0,0.0,152.47623864402772,138.15276706318522,"[98.95806990977813, 98.89724369213235, 99.360475136, 98.89707767371752, 99.13844821398897, 99.0541573315278, 99.38781344437936, 99.21709123612567, 99.34339271858524, 98.99038807395704, 99.23384176598688, 99.11558006812767, 99.00110526356855, 98.7895876457114, 99.2859099645534, 98.79836757649937]",True,76,76,100.0,197,197,100.0,33.72645464919243,31.065370992736803,0.0,32.48160244177305,30.401267281273874,0.0,31.942602626727933,28.903074769203013,0.0,29.66195027990938,28.024775957486877,0.0
A200m1024_B32m1024_s4_r13_random_seed7,asu_baseline,7,random,16,4,True,False,1792,12858.741114482274,41b286aec9fc5632f9140565c9fe26a49a7fdc934d105258f90b480f78bab36f,ea427701cb83a44c5c9fb660302818f99d972219e68952c6a1f9b3f697694333,True,True,consecutive_2s,True,2000.0,4000.0,True,12838.949794048063,True,2000.0,99.75500098053479,100.0,282,282,16,True,16,True,,,,True,32.2923387818803,0.0,0.0,41.89282702266155,36.50685920620617,"[99.90784085824957, 99.72706526646837, 99.89254793234137, 99.60618994910041, 99.9259949009961, 99.80397176067939, 99.43796043982893, 100.0, 99.78388167682812, 99.76021542111751, 99.77589693214097, 99.76013989572027, 99.51017917350514, 99.68507458436603, 99.63914631929333, 99.86391057792109]",True,69,69,100.0,213,213,100.0,32.274681240502275,30.890448572103573,0.0,32.2923387818803,30.287077245579027,0.0,30.813309031464964,28.593664551382822,0.0,29.505539473293325,27.775604371130765,0.0
A200m1024_B32m1024_s4_r13_random_seed7,asu_baseline,7,random,16,4,True,False,1792,12858.741114482274,41b286aec9fc5632f9140565c9fe26a49a7fdc934d105258f90b480f78bab36f,ea427701cb83a44c5c9fb660302818f99d972219e68952c6a1f9b3f697694333,True,True,consecutive_2s,True,4000.0,6000.0,True,12838.949794048063,True,2000.0,99.91546285370919,100.0,286,286,16,True,16,True,,,,True,32.68568840557363,0.0,0.0,12.046025459324483,15.005861353733962,"[99.96674657641124, 99.899901442704, 100.0, 100.0, 99.96305081848764, 99.78211612005717, 100.0, 99.87342761576997, 99.77331438484603, 99.88364667040781, 99.89139729156281, 99.97292920652289, 99.96115688716736, 99.83893798895055, 99.90905639864177, 99.9317242578178]",True,70,70,100.0,216,216,100.0,32.68568840557363,30.835665799587492,0.0,32.37831742247733,30.153900244053514,0.0,30.405248621789184,28.506194990436903,0.0,29.256670944264233,27.840253273192005,0.0
