label,input_fingerprint,seq_len_k,nql,role,sim_category,requests,request_share,compute_ms,compute_share,per_request_compute_ms,per_request_read_gib,construction
aligned_short080_seed123,8be65a94a923a8aab4dc160df2ec069ecc6330732f10fd065b1c4aa1f2dc37ff,1,384,short,SS,6240,0.32663316582914576,44900.78410204366,0.3380762659465524,7.195638477891693,0.0067138671875,piecewise_linear_nql_then_linear_seq_extrapolation
aligned_short080_seed123,8be65a94a923a8aab4dc160df2ec069ecc6330732f10fd065b1c4aa1f2dc37ff,192,256,long,LS,384,0.020100502512562814,26752.09991574931,0.20142744111530908,69.66692686393014,2.059814453125,direct_data_row
raw_equal_rho090_seed7,38385f06c431321e4dcdc8321bcac063ac01cc743b4e9424bbecf968f7b7385e,32,128,short,SS,1088,0.3090909090909091,10253.53794639608,0.056382462575712715,9.424207671320028,0.3424072265625,direct_data_row
raw_equal_rho090_seed7,38385f06c431321e4dcdc8321bcac063ac01cc743b4e9424bbecf968f7b7385e,32,256,short,SS,1088,0.3090909090909091,17386.06327375283,0.09560300717625839,15.979837567787547,0.341064453125,direct_data_row
raw_equal_rho090_seed7,38385f06c431321e4dcdc8321bcac063ac01cc743b4e9424bbecf968f7b7385e,32,512,short,SL,1088,0.3090909090909091,32223.36273082916,0.1771907952877058,29.617061333482155,0.33837890625,direct_data_row
raw_equal_rho090_seed7,38385f06c431321e4dcdc8321bcac063ac01cc743b4e9424bbecf968f7b7385e,192,1024,long,LL,64,0.01818181818181818,17459.60020720997,0.09600737427571768,272.80625323765605,2.0517578125,direct_data_row
raw_equal_rho090_seed7,38385f06c431321e4dcdc8321bcac063ac01cc743b4e9424bbecf968f7b7385e,192,2048,long,LL,192,0.05454545454545454,104534.30193075236,0.5748163606846055,544.44948922267,2.041015625,direct_data_row
raw_equal_rho090_seed123,bfaa9f5d4b0b204d934bd13b7d4a6ee6ace6903ff5ae872fe6d1342e24410d90,32,128,short,SS,1088,0.3090909090909091,10253.53794639608,0.056382462575712715,9.424207671320028,0.3424072265625,direct_data_row
raw_equal_rho090_seed123,bfaa9f5d4b0b204d934bd13b7d4a6ee6ace6903ff5ae872fe6d1342e24410d90,32,256,short,SS,1088,0.3090909090909091,17386.06327375283,0.09560300717625839,15.979837567787547,0.341064453125,direct_data_row
raw_equal_rho090_seed123,bfaa9f5d4b0b204d934bd13b7d4a6ee6ace6903ff5ae872fe6d1342e24410d90,32,512,short,SL,1088,0.3090909090909091,32223.36273082916,0.1771907952877058,29.617061333482155,0.33837890625,direct_data_row
raw_equal_rho090_seed123,bfaa9f5d4b0b204d934bd13b7d4a6ee6ace6903ff5ae872fe6d1342e24410d90,192,1024,long,LL,64,0.01818181818181818,17459.60020720997,0.09600737427571768,272.80625323765605,2.0517578125,direct_data_row
raw_equal_rho090_seed123,bfaa9f5d4b0b204d934bd13b7d4a6ee6ace6903ff5ae872fe6d1342e24410d90,192,2048,long,LL,192,0.05454545454545454,104534.30193075236,0.5748163606846055,544.44948922267,2.041015625,direct_data_row
raw_equal_rho097_seed7,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,32,128,short,SS,1344,0.31343283582089554,12666.135110253972,0.06464217828485923,9.424207671320028,0.3424072265625,direct_data_row
raw_equal_rho097_seed7,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,32,256,short,SS,1344,0.31343283582089554,21476.90169110687,0.10960831350985703,15.979837567787547,0.341064453125,direct_data_row
raw_equal_rho097_seed7,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,32,512,short,SL,1344,0.31343283582089554,39805.33043220092,0.20314825667720757,29.617061333482155,0.33837890625,direct_data_row
raw_equal_rho097_seed7,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,192,1024,long,LL,64,0.014925373134328358,17459.60020720997,0.0891058384860543,272.80625323765605,2.0517578125,direct_data_row
raw_equal_rho097_seed7,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,192,2048,long,LL,192,0.04477611940298507,104534.30193075236,0.533495413042022,544.44948922267,2.041015625,direct_data_row
raw_equal_rho097_seed123,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,32,128,short,SS,1344,0.31343283582089554,12666.135110253972,0.06464217828485923,9.424207671320028,0.3424072265625,direct_data_row
raw_equal_rho097_seed123,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,32,256,short,SS,1344,0.31343283582089554,21476.90169110687,0.10960831350985703,15.979837567787547,0.341064453125,direct_data_row
