label,strategy,input_fingerprint,delta_U1_pp,delta_U2_pp,delta_makespan_percent,delta_short_cohort_U_pp,delta_short_admission_SLO_pp
aligned_short072_seed7,once,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,10.385680836620836,10.180848627479321,-10.90222682931522,20.035778423442842,17.25953014184397
aligned_short072_seed7,new_once,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,11.328635954158594,11.080071950242553,-12.827505893991887,21.59416563979314,17.824689716312058
aligned_short072_seed123,once,6df4101c4a31f320845a69a4ff1a70b97c66d76573c76a8b36b1f15b0a7e62ca,10.660459900701792,14.502494208811456,-12.749508684443956,19.144854046603076,16.339760638297875
aligned_short072_seed123,new_once,6df4101c4a31f320845a69a4ff1a70b97c66d76573c76a8b36b1f15b0a7e62ca,11.547206018604594,16.275017355615095,-14.232098928389004,20.36317325229875,16.638962765957444
aligned_short080_seed7,once,7f5f1d09bb5db576ec94ca5ef6addd94072c21d3a35dfae76375303769dbc938,10.477819927672172,6.007713562245176,-7.764964765773019,9.702651663589467,5.341880341880345
aligned_short080_seed7,new_once,7f5f1d09bb5db576ec94ca5ef6addd94072c21d3a35dfae76375303769dbc938,12.235613164634096,6.937978242535737,-9.024789062184247,11.23224726043187,5.865384615384617
aligned_short080_seed123,once,8be65a94a923a8aab4dc160df2ec069ecc6330732f10fd065b1c4aa1f2dc37ff,5.421426347008762,9.959814522461752,-7.59605327704257,9.29171988357722,4.529914529914536
aligned_short080_seed123,new_once,8be65a94a923a8aab4dc160df2ec069ecc6330732f10fd065b1c4aa1f2dc37ff,7.134598330917285,11.302596693798428,-9.133991444342303,10.995204279429661,5.069444444444448
raw_equal_rho090_seed7,once,38385f06c431321e4dcdc8321bcac063ac01cc743b4e9424bbecf968f7b7385e,-0.35623573760895644,0.9763652339969786,0.10476641040517709,1.318821702360018,3.7683823529411797
raw_equal_rho090_seed7,new_once,38385f06c431321e4dcdc8321bcac063ac01cc743b4e9424bbecf968f7b7385e,-0.1316733712877105,1.207310549227325,-0.06290605637254698,3.5533119963165327,9.528186274509798
raw_equal_rho090_seed123,once,bfaa9f5d4b0b204d934bd13b7d4a6ee6ace6903ff5ae872fe6d1342e24410d90,1.06461136760867,0.8072362437015812,-0.6577616655976226,1.5314355690904669,3.7377450980392246
raw_equal_rho090_seed123,new_once,bfaa9f5d4b0b204d934bd13b7d4a6ee6ace6903ff5ae872fe6d1342e24410d90,1.2380219077800625,1.5265754125966313,-1.8172387401665824,4.6460191279254826,8.24142156862746
raw_equal_rho097_seed7,once,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,0.8829013312244616,0.48758082953654913,0.3290585384336797,0.5451419125124479,5.158730158730163
raw_equal_rho097_seed7,new_once,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,1.7112460217476144,1.4474505337758514,-0.6699524390520128,4.1438812283417175,9.722222222222221
raw_equal_rho097_seed123,once,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,0.17671975097163228,0.50592788017495,-0.161903090077109,0.5065620811783633,5.2083333333333375
raw_equal_rho097_seed123,new_once,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,1.8471738760493461,0.687853795285942,-0.9113912992797846,3.55193594055232,13.095238095238104
raw_skew_rho096_seed7,once,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,-1.2354437802961526,-1.9392000389757857,1.7238954167827059,-2.1391262651764387,4.855769230769235
raw_skew_rho096_seed7,new_once,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,0.21008296892411904,-0.5044424120740687,-0.07874499472859675,-0.013457063582789086,5.384615384615388
raw_skew_rho096_seed123,once,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,-1.991835837074163,0.17159325993528762,1.1277898780999607,-1.8174034339397682,4.735576923076923
raw_skew_rho096_seed123,new_once,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,-0.6321409242289189,0.10779160068223881,-0.030107485278196844,-0.15930888594420933,5.985576923076918
raw_size_varied_rho097_seed7,once,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,0.12973954032692303,0.36656020965866176,-0.0030492463686582205,0.5806633355160962,8.705357142857139
raw_size_varied_rho097_seed7,new_once,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1.440635244989208,0.7546143143779105,-0.47369203053176934,2.1001971000067177,13.988095238095244
raw_size_varied_rho097_seed123,once,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,0.017327905189190584,0.6151531723025516,-0.4353017441815932,1.1830420632591987,8.891369047619047
raw_size_varied_rho097_seed123,new_once,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,0.6923221457606155,1.1773351177447267,-0.9562538030721712,2.511149028767612,13.802083333333325
