label,family,seed,strategy,policy_strategy,assignment,input_fingerprint,window_start_ms,window_end_ms,utilization,all_active,fully_active_npu_count,minimum_npu_utilization,maximum_npu_utilization,fleet_idle_ms
raw_equal_rho090_seed7,raw,7,baseline,baseline,fixed,38385f06c431321e4dcdc8321bcac063ac01cc743b4e9424bbecf968f7b7385e,1000,2000,0.9321676439264236,True,32,0.8821019410170899,0.9892187239091513,0.0
raw_equal_rho090_seed7,raw,7,baseline,baseline,fixed,38385f06c431321e4dcdc8321bcac063ac01cc743b4e9424bbecf968f7b7385e,2000,3000,0.9762429213423179,True,32,0.9558002516078709,0.9958544248146746,0.0
raw_equal_rho090_seed7,raw,7,once,once,fixed,38385f06c431321e4dcdc8321bcac063ac01cc743b4e9424bbecf968f7b7385e,1000,2000,0.928605286550334,True,32,0.861463795540559,0.9879214329917018,0.0
raw_equal_rho090_seed7,raw,7,once,once,fixed,38385f06c431321e4dcdc8321bcac063ac01cc743b4e9424bbecf968f7b7385e,2000,3000,0.9860065736822877,True,32,0.9702714460844772,0.9959619995951148,0.0
raw_equal_rho090_seed7,raw,7,new_once,new_once,fixed,38385f06c431321e4dcdc8321bcac063ac01cc743b4e9424bbecf968f7b7385e,1000,2000,0.9308509102135465,True,32,0.8760129243274494,0.9755159322638697,0.0
raw_equal_rho090_seed7,raw,7,new_once,new_once,fixed,38385f06c431321e4dcdc8321bcac063ac01cc743b4e9424bbecf968f7b7385e,2000,3000,0.9883160268345912,True,32,0.953247073594652,0.9960084025018991,0.0
raw_equal_rho090_seed123,raw,123,baseline,baseline,fixed,bfaa9f5d4b0b204d934bd13b7d4a6ee6ace6903ff5ae872fe6d1342e24410d90,1000,2000,0.9781652125172371,True,32,0.9557120385039023,0.9977436208781973,0.0
raw_equal_rho090_seed123,raw,123,baseline,baseline,fixed,bfaa9f5d4b0b204d934bd13b7d4a6ee6ace6903ff5ae872fe6d1342e24410d90,2000,3000,0.9742465505991301,True,32,0.9345516312653562,0.9974379115609732,0.0
raw_equal_rho090_seed123,raw,123,once,once,fixed,bfaa9f5d4b0b204d934bd13b7d4a6ee6ace6903ff5ae872fe6d1342e24410d90,1000,2000,0.9888113261933238,True,32,0.9776581159765171,0.998595397437193,0.0
raw_equal_rho090_seed123,raw,123,once,once,fixed,bfaa9f5d4b0b204d934bd13b7d4a6ee6ace6903ff5ae872fe6d1342e24410d90,2000,3000,0.9823189130361459,True,32,0.9409446653110235,0.9972129292368354,0.0
raw_equal_rho090_seed123,raw,123,new_once,new_once,fixed,bfaa9f5d4b0b204d934bd13b7d4a6ee6ace6903ff5ae872fe6d1342e24410d90,1000,2000,0.9905454315950377,True,32,0.9782710750942306,0.9985934743929054,0.0
