label,input_fingerprint,strategy,seq_len_k,nql,role,request_count,delta_compute_fraction_pp,delta_admission_slo_pp,delta_mean_io_stall_ms
raw_equal_rho090_seed123,bfaa9f5d4b0b204d934bd13b7d4a6ee6ace6903ff5ae872fe6d1342e24410d90,new_once,32,128,short,1088,21.149805837340875,25.275735294117652,-3.102138449925817
raw_equal_rho090_seed123,bfaa9f5d4b0b204d934bd13b7d4a6ee6ace6903ff5ae872fe6d1342e24410d90,new_once,32,256,short,1088,8.02923009510198,4.5036764705882355,-1.4589307025987757
raw_equal_rho090_seed123,bfaa9f5d4b0b204d934bd13b7d4a6ee6ace6903ff5ae872fe6d1342e24410d90,new_once,32,512,short,1088,-4.856441803976397,-5.055147058823528,1.553258461254496
raw_equal_rho090_seed123,bfaa9f5d4b0b204d934bd13b7d4a6ee6ace6903ff5ae872fe6d1342e24410d90,new_once,192,1024,long,64,-1.54362833347087,0.0,4.3836455535189165
raw_equal_rho090_seed123,bfaa9f5d4b0b204d934bd13b7d4a6ee6ace6903ff5ae872fe6d1342e24410d90,new_once,192,2048,long,192,-0.8249843662306966,0.0,4.58579712799461
raw_equal_rho097_seed7,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,once,32,128,short,1344,7.59244447380496,15.773809523809524,-1.427259489854459
raw_equal_rho097_seed7,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,once,32,256,short,1344,2.2304200999118673,1.488095238095244,-0.4407106383159376
raw_equal_rho097_seed7,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,once,32,512,short,1344,-4.651698273313376,-1.7857142857142905,1.488426493258927
raw_equal_rho097_seed7,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,once,192,1024,long,64,-0.014532834498048874,0.0,0.04071887926709028
raw_equal_rho097_seed7,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,once,192,2048,long,192,-0.09337020049159372,0.0,0.5156148489848951
raw_equal_rho097_seed7,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,new_once,32,128,short,1344,21.312941298185006,32.217261904761905,-3.3848129084633136
raw_equal_rho097_seed7,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,new_once,32,256,short,1344,7.672482549847992,2.083333333333337,-1.430512321543936
raw_equal_rho097_seed7,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,new_once,32,512,short,1344,-6.272110005592468,-5.133928571428569,2.0421545141872786
raw_equal_rho097_seed7,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,new_once,192,1024,long,64,-1.314356870824973,0.0,3.731798028390539
