scenario,policy,window,seed_count,seeds,mean_U_percent,min_U_percent,max_U_percent,mean_slo_percent,min_slo_percent,max_slo_percent,mean_arrival_slo_percent,min_arrival_slo_percent,max_arrival_slo_percent,mean_timely_completions_per_second,min_timely_completions_per_second,max_timely_completions_per_second,mean_total_completions_per_second,min_total_completions_per_second,max_total_completions_per_second,mean_all_disks_overload_percent,min_all_disks_overload_percent,max_all_disks_overload_percent,mean_SSU0_mean_demand_GiB_s,min_SSU0_mean_demand_GiB_s,max_SSU0_mean_demand_GiB_s,mean_SSU0_overload_percent,min_SSU0_overload_percent,max_SSU0_overload_percent,mean_SSU0_actual_GiB_s,min_SSU0_actual_GiB_s,max_SSU0_actual_GiB_s,mean_SSU1_mean_demand_GiB_s,min_SSU1_mean_demand_GiB_s,max_SSU1_mean_demand_GiB_s,mean_SSU1_overload_percent,min_SSU1_overload_percent,max_SSU1_overload_percent,mean_SSU1_actual_GiB_s,min_SSU1_actual_GiB_s,max_SSU1_actual_GiB_s,mean_SSU2_mean_demand_GiB_s,min_SSU2_mean_demand_GiB_s,max_SSU2_mean_demand_GiB_s,mean_SSU2_overload_percent,min_SSU2_overload_percent,max_SSU2_overload_percent,mean_SSU2_actual_GiB_s,min_SSU2_actual_GiB_s,max_SSU2_actual_GiB_s,mean_LL_slo_percent,min_LL_slo_percent,max_LL_slo_percent,mean_LL_active_U_percent,min_LL_active_U_percent,max_LL_active_U_percent,mean_LS_slo_percent,min_LS_slo_percent,max_LS_slo_percent,mean_LS_active_U_percent,min_LS_active_U_percent,max_LS_active_U_percent,mean_SL_slo_percent,min_SL_slo_percent,max_SL_slo_percent,mean_SL_active_U_percent,min_SL_active_U_percent,max_SL_active_U_percent,mean_SS_slo_percent,min_SS_slo_percent,max_SS_slo_percent,mean_SS_active_U_percent,min_SS_active_U_percent,max_SS_active_U_percent,mean_makespan_ms,min_makespan_ms,max_makespan_ms,pooled_slo_count,pooled_slo_passed
full,baseline,full_population,3,"[43, 7, 19]",63.49631319390332,63.39000338169206,63.64510921966804,41.09623015873016,40.99702380952381,41.145833333333336,1.0912698412698412,0.8928571428571429,1.2648809523809523,40.82918416743348,40.81013896271459,40.85122824795471,99.35047446893914,99.18413520052154,99.5832904391148,96.96942612324453,96.80760953973291,97.16788220537559,113.64136358544822,113.28178370655498,113.87933014486333,96.96942612324453,96.80760953973291,97.16788220537559,,,,113.652419514834,113.29195867705023,113.89025707639264,96.96942612324453,96.80760953973291,97.16788220537559,,,,113.64031091999635,113.28188771752977,113.87732466777638,96.96942612324453,96.80760953973291,97.16788220537559,,,,96.61458333333333,95.83333333333333,97.65625,94.26598728722273,94.0382140782702,94.52240492964647,0.23148148148148148,0.0,0.3472222222222222,24.81026282673672,24.499402316641863,24.992458478325833,46.70138888888889,46.09375,47.395833333333336,70.60181618782697,70.32764213605591,70.89061035469298,0.46296296296296297,0.3472222222222222,0.6944444444444444,12.096705053574212,12.046702713750301,12.159720744661445,13527.906335934947,13496.240122952368,13550.554201867286,4032,1657
full,once,full_population,3,"[7, 19, 43]",63.72827434215801,63.16599066817204,64.61462319614328,72.76785714285715,71.65178571428571,74.18154761904762,0.4464285714285714,0.22321428571428573,0.6696428571428571,72.55882390936642,70.81606099128783,73.59281503275872,99.71341601590875,98.8336302931369,101.1002552630871,95.76287418897185,94.54837389813102,98.19168707587802,65.78732580993149,64.88092690604111,66.5427356311879,95.76287418897185,94.54837389813102,98.19168707587802,,,,65.7915338503193,64.88603769387136,66.54516639860091,95.77240098772423,94.54856159290651,98.19168707587802,,,,65.78781207086907,64.88207927729474,66.54162118738104,95.76287418897185,94.54837389813102,98.19168707587802,,,,33.68055555555555,33.59375,33.854166666666664,57.961192627672524,57.6071883572373,58.43444994902431,70.13888888888889,67.01388888888889,74.65277777777777,65.48348377053794,63.747573516187096,67.81382415626322,97.0486111111111,95.57291666666667,98.17708333333333,96.7251317146934,94.56793977106713,98.32633165804188,95.13888888888887,93.05555555555556,96.52777777777777,90.14622584700048,87.43536539744805,93.7329540377476,13479.954411797858,13293.734981208403,13598.61006839216,4032,2934
full,static,full_population,3,"[43, 7, 19]",63.20544596185308,62.926405536088325,63.381924099984744,76.26488095238095,75.29761904761905,77.67857142857143,0.2976190476190476,0.0744047619047619,0.44642857142857145,75.42294771650006,74.64990788627031,76.94516163586641,98.89536461990883,98.45875976363817,99.17149382922578,94.29620662953955,94.13365593772726,94.53462610281812,61.49344157987364,60.89939356687051,62.43641306377264,94.29620662953955,94.13365593772726,94.53462610281812,,,,61.49681382520725,60.90177757295183,62.440176203293156,94.29620662953955,94.13365593772726,94.53462610281812,,,,61.4934337831669,60.89801256618665,62.43747094773096,94.29620662953955,94.13365593772726,94.53462610281812,,,,34.548611111111114,33.854166666666664,35.677083333333336,58.088140262852335,57.54970058422401,58.6084262732831,90.74074074074075,88.54166666666667,94.79166666666667,84.28362724879082,79.90870189641697,88.46173754075365,92.10069444444446,90.10416666666667,93.75,90.54262784250767,88.14353541576031,91.9569223146848,96.2962962962963,94.79166666666667,97.56944444444444,93.18924816190798,91.80016249224134,94.96356880654724,13590.257099327702,13552.281488412187,13650.385229576626,4032,3075
full,baseline,long_2_6s,3,"[43, 7, 19]",66.18524728484948,64.66981284887615,68.77474374713131,42.35451432668298,40.28776978417266,44.25,0.0,0.0,0.0,41.833333333333336,39.0,43.5,100.41666666666667,97.0,104.25,100.0,100.0,100.0,113.57849099103628,107.17164989718424,118.46016091081009,100.0,100.0,100.0,40.0,40.0,40.0,113.58674773238643,107.19707937538129,118.48337246246318,100.0,100.0,100.0,40.0,40.0,40.0,113.56004428643763,107.15051777086883,118.44801650516395,100.0,100.0,100.0,40.0,40.0,40.0,96.77723829201102,95.2,98.4375,94.18074667859368,93.37948835864138,94.90165881697799,0.0,0.0,0.0,24.612841214550286,23.22697240155614,26.031908599435553,42.254735822792476,34.146341463414636,48.38709677419355,67.64321267284839,64.11198827197778,70.02766713294008,0.0,0.0,0.0,11.936978999003571,11.577033619448114,12.616480388269173,13527.906335934947,13496.240122952368,13550.554201867286,1205,510
full,once,long_2_6s,3,"[7, 19, 43]",67.2910823095619,65.04937679976429,68.46607249325221,75.17426637536899,73.07692307692308,76.86746987951807,0.0,0.0,0.0,75.66666666666667,70.25,80.25,101.66666666666667,97.25,104.0,98.46458255101226,97.42193964846058,99.96394079654792,64.3288882195094,63.25899013923177,66.27604158478545,98.46458255101226,97.42193964846058,99.96394079654792,40.0,40.0,40.0,64.33066737748088,63.26765997670254,66.27685333233818,98.46458255101226,97.42193964846058,99.96394079654792,40.0,40.0,40.0,64.32603809010925,63.256494753970614,66.27656303270481,98.46458255101226,97.42193964846058,99.96394079654792,40.0,40.0,40.0,33.82966938315776,28.68217054263566,37.60683760683761,58.642788664835486,55.813287182667686,60.066914087042065,79.61649698921366,77.41935483870968,83.11688311688312,76.44487084378044,74.27074060296013,77.8621296953888,99.1880822589484,99.14529914529915,99.21259842519684,98.50752238025495,97.90631957372914,99.3489781754359,99.18505267342476,98.71794871794872,100.0,96.63314949620674,95.11849981805358,99.00452039554106,13479.954411797858,13293.734981208403,13598.61006839216,1220,917
full,static,long_2_6s,3,"[43, 7, 19]",66.84529783455619,65.17091605342158,67.82915200751218,78.15281843764642,75.47619047619048,80.71065989847716,0.0,0.0,0.0,78.33333333333333,76.0,80.75,101.58333333333333,98.5,105.0,98.39586349761021,97.58499181136689,99.25499052373449,62.18084617502583,61.34906621269155,63.67535038843441,98.39586349761021,97.58499181136689,99.25499052373449,40.0,40.0,40.0,62.18399636283316,61.34545135695121,63.67873506957097,98.39586349761021,97.58499181136689,99.25499052373449,40.0,40.0,40.0,62.1789254701635,61.340619978911555,63.67804981520968,98.39586349761021,97.58499181136689,99.25499052373449,40.0,40.0,40.0,33.593546708300806,26.19047619047619,40.16393442622951,57.99348292622938,55.969108083948385,59.20664135771217,100.0,100.0,100.0,95.22947278398459,93.93978744545412,96.1278351395233,95.21222038052333,93.54838709677419,97.3913043478261,94.10655946831226,92.59519128294144,96.55049488195219,98.76543209876543,96.29629629629629,100.0,97.7417664812245,96.20503856087514,99.49880815509228,13590.257099327702,13552.281488412187,13650.385229576626,1219,952
full,baseline,warm_2_4s,3,"[43, 7, 19]",62.384978288533524,59.49004214281458,64.08449864594283,40.29543087150066,37.86407766990291,41.6243654822335,0.0,0.0,0.0,39.666666666666664,36.0,42.5,98.16666666666667,93.0,103.0,100.0,100.0,100.0,123.24903290704434,116.3563011526484,135.0696056090991,100.0,100.0,100.0,40.0,40.0,40.0,123.2416939571083,116.35607545956395,135.1090264781886,100.0,100.0,100.0,40.0,40.0,40.0,123.22632082742093,116.31475704100397,135.05867664740637,100.0,100.0,100.0,40.0,40.0,40.0,95.08079205593748,93.33333333333333,98.36065573770492,92.65193480067838,91.32881238814545,95.09292443110066,0.0,0.0,0.0,22.7927879259307,21.03892652513789,24.318038739862104,40.495706479313036,32.142857142857146,50.0,65.95496491047129,63.16891410368004,68.31049674201459,0.0,0.0,0.0,10.905467261598432,10.401637961580382,11.441140089848007,13527.906335934947,13496.240122952368,13550.554201867286,589,237
full,once,warm_2_4s,3,"[7, 19, 43]",64.44074650169942,63.10141964915474,65.53595269210966,76.13026819923373,71.9047619047619,80.29556650246306,0.0,0.0,0.0,75.0,67.0,80.0,100.33333333333333,94.5,105.0,98.85318562554649,96.55955687663948,100.0,66.2315595212142,64.55042463971338,67.44032405169011,98.85318562554649,96.55955687663948,100.0,40.0,40.0,40.0,66.2349267757198,64.55739607388385,67.44065770674038,98.85318562554649,96.55955687663948,100.0,40.0,40.0,40.0,66.23103704551318,64.55101226025798,67.44021598475695,98.85318562554649,96.55955687663948,100.0,40.0,40.0,40.0,31.11111111111111,23.333333333333332,36.666666666666664,54.5329895524087,51.74428402139043,56.06251126123015,84.79103471520055,75.0,95.65217391304348,78.87936820603521,72.7088679667873,85.94728196974239,99.48717948717949,98.46153846153847,100.0,98.61013474017734,97.27957043892532,99.62660557148942,99.1869918699187,97.5609756097561,100.0,97.86400745750194,95.72560584638106,99.02387272944087,13479.954411797858,13293.734981208403,13598.61006839216,602,458
full,static,warm_2_4s,3,"[43, 7, 19]",64.37497609874124,61.86770424506675,65.79614464712682,76.96425995927727,73.7864077669903,79.05759162303664,0.0,0.0,0.0,77.16666666666667,71.5,82.5,100.33333333333333,95.5,103.0,99.28872012899605,98.50998104746897,100.0,64.02993519075636,62.19116173234241,66.65802905495354,99.28872012899605,98.50998104746897,100.0,40.0,40.0,40.0,64.03527362443323,62.197587878162345,66.66280187823888,99.28872012899605,98.50998104746897,100.0,40.0,40.0,40.0,64.02838562812197,62.18961501673134,66.65524578850201,99.28872012899605,98.50998104746897,100.0,40.0,40.0,40.0,27.16973886328725,22.580645161290324,30.357142857142858,54.350662911190476,50.58432054583278,56.68520923055833,100.0,100.0,100.0,94.76233030099407,94.23350415929924,95.31442337663746,95.07492746202423,92.06349206349206,98.0,94.15992605565201,92.72811961554002,96.73655044293767,97.43589743589745,92.3076923076923,100.0,96.20374143771926,92.79858261457981,99.7417592007501,13590.257099327702,13552.281488412187,13650.385229576626,602,463
semi,baseline,full_population,3,"[19, 43, 7]",96.41614848807126,96.19610735353582,96.64684109876508,93.50694444444446,91.97916666666667,95.0,2.673611111111111,2.1875,3.0208333333333335,78.64078669724908,77.17842339711517,79.8866734058302,84.10052608430335,83.90859168882284,84.30175140005544,27.1936883067616,25.5897580285959,30.00150729970328,36.35542458481333,36.04518092632707,36.88709254406836,27.318239957501543,25.70446800118036,30.099625572370478,,,,36.35597778194218,36.04457624119519,36.8873095533316,27.292171272813633,25.88520692675199,30.00150729970328,,,,36.35377616704151,36.04389602220185,36.88427715424489,27.340249608497263,25.770496954167537,30.099625572370478,,,,100.0,100.0,100.0,99.63056596749375,99.52992879660282,99.71647640192606,79.16666666666667,71.875,88.54166666666667,71.70276418266646,70.3835676527573,74.19958121685661,98.61111111111113,97.91666666666667,99.47916666666667,98.94744369922209,98.51949767443841,99.33035979474701,61.458333333333336,51.041666666666664,67.70833333333333,53.146440027390554,46.622168531620574,61.0033657407741,11414.952399389147,11387.66376803138,11441.021481568712,2880,2693
