miss,request_count,ratio_min,ratio_median,ratio_max,B_min_GiB_s,B_max_GiB_s,count_le_1p5,count_1p5_to_4,count_gt_4
256,249,3.588658678248402,5.654163878935427,6.851750288873248,21.343424279388426,29.65741347119751,0,6,243
1024,181,1.0738604036294086,1.544337998958751,1.8142302265732846,5.735792789428712,7.539211803588868,72,109,0
2048,83,1.0,1.036838787268559,1.097841665017008,2.803459908691407,3.758370359326173,83,0,0
4096,73,1.0,1.022713143271216,1.0498396481841203,1.3149324665039066,1.8621157242187503,73,0,0
