ratio_threshold,CDF_seed_equal_mean_percent
1.0,8.36628776681984
1.5,38.9136502476733
2.0,57.461411334748604
2.5,57.461411334748604
3.0,57.461411334748604
3.5,57.461411334748604
4.0,58.4862592821505
4.5,62.22914483289891
5.0,66.81611264880553
6.0,87.89333924524584
7.0,100.0
