label,input_count,warm_active_npus,warm_request_count,warm_completed_count,active_ms,compute_ms,stall_ms,mean_per_npu_conditional_utilization,pooled_conditional_utilization,occupancy_share,fleet_compute_contribution
L,407,11,88,77,11000.0,11000.0,0.0,1.0,1.0,0.34375,0.34375
S,24826,21,2518,2497,21000.0,10566.37542737668,10433.62457262332,0.5031607346369849,0.5031607346369849,0.65625,0.33019923210552127
