request_id,npu_id,input_order,profile_id,seq_len_k,nql,category,arrival_ms,admission_ms,completion_ms,layer_compute_ms,layer_kv_gib,warm_active_ms,warm_compute_ms,warm_stall_ms,warm_conditional_utilization
188,0,188,S,0.9951171875,131,SS,0.0,1570.5744519935563,1575.5174404247016,0.5317728725768716,0.0011644363403320312,3.364362192255385,2.675556741724222,0.6888054505311629,0.7952641804985316
189,0,189,S,1.0517578125,134,SS,0.0,1575.5174404247016,1587.733755512517,0.5369828203834615,0.001236557960510254,12.216315087815474,4.295862563067203,7.920452524748271,0.35164962037954367
190,0,190,S,0.99609375,119,SS,0.0,1587.733755512517,1593.2433527202206,0.5182114921158372,0.001181483268737793,5.509597207703564,4.145691936926596,1.3639052707769679,0.7524491865085992
191,0,191,S,0.9384765625,139,SS,0.0,1593.2433527202206,1605.0440663839236,0.5410600934476811,0.001077890396118164,11.800713663702936,4.328480747581125,7.472232916121811,0.3667982183903693
192,0,192,S,1.033203125,126,SS,0.0,1605.0440663839236,1610.3610899302723,0.526456241940751,0.0012221336364746094,5.317023546348764,4.211649935525202,1.1053736108235626,0.7921066925530864
193,0,193,S,0.9501953125,124,SS,0.0,1610.3610899302723,1622.0648598585442,0.5226209191458677,0.001113295555114746,11.703769928271868,4.180967353166125,7.522802575105743,0.3572325309528252
194,0,194,S,1.001953125,115,SS,0.0,1622.0648598585442,1629.0007871093549,0.5140483664972064,0.001194596290588379,6.935927250810664,4.112386931978108,2.8235403188325563,0.592910909135827
195,0,195,S,1.03125,139,SS,0.0,1629.0007871093549,1640.2618576221284,0.5431728934207876,0.0012024641036987305,11.261070512773586,4.345383147367102,6.915687365406484,0.3858765596430707
196,0,196,S,1.046875,127,SS,0.0,1640.2618576221284,1649.9640589143785,0.5278151833425307,0.001239180564880371,9.702201292250038,4.222521466739636,5.479679825510402,0.435212725395887
197,0,197,S,0.953125,140,SS,0.0,1649.9640589143785,1657.5464403916194,0.542708956050621,0.0010962486267089844,7.582381477240915,4.341671648404372,3.2407098288365432,0.5726000019171054
198,0,198,S,1.013671875,115,SS,0.0,1657.5464403916194,1669.220030129005,0.5142691664959043,0.001210331916809082,11.673589737385555,4.114153331967827,7.559436405417728,0.3524325785402531
199,0,199,S,0.9775390625,117,SS,0.0,1669.220030129005,1674.9445421285272,0.5157190493091298,0.0011591911315917969,5.724511999522292,4.125752394473238,1.5987596050490538,0.7207168741750442
200,0,200,S,1.021484375,132,SS,0.0,1674.9445421285272,1686.901433877875,0.5336652551777297,0.0011985301971435547,11.956891749347733,4.269322041422129,7.687569707925604,0.3570595210628236
201,0,201,S,1.0224609375,135,SS,0.0,1686.901433877875,1692.9532211084554,0.5376662429971492,0.0011959075927734375,6.05178723058043,4.30132994397718,1.7504572866032504,0.7107536633545256
202,0,202,S,1.044921875,137,SS,0.0,1692.9532211084554,1706.3538955654922,0.5408236482041456,0.001223444938659668,13.400674457036757,4.326589185633566,9.074085271403192,0.3228635394065299
203,0,203,S,1.0361328125,123,SS,0.0,1706.3538955654922,1715.0340704685627,0.5232918977274634,0.001230001449584961,8.680174903070565,4.186335181819231,4.493839721251334,0.48228696179132724
204,0,204,S,1.001953125,137,SS,0.0,1715.0340704685627,1723.4509273863166,0.5398591682158088,0.0011657476425170898,8.416856917753876,4.318873345726388,4.097983572027488,0.5131218681663088
205,0,205,S,0.9599609375,131,SS,0.0,1723.4509273863166,1731.9285611533662,0.5310183125844683,0.0011172294616699219,8.47763376704961,4.24814650067492,4.22948726637469,0.5011004977811588
206,0,206,S,0.9541015625,121,SS,0.0,1731.9285611533662,1740.1669205361277,0.519515774930991,0.0011224746704101562,8.238359382761473,4.156126199448408,4.082233183313065,0.5044846924431315
207,0,207,S,1.05859375,128,SS,0.0,1740.1669205361277,1748.1576526550737,0.5291376447445161,0.0012536048889160156,7.990732118945971,4.233101157955389,3.757630960990582,0.5297513538113404
208,0,208,S,1.0341796875,126,SS,0.0,1748.1576526550737,1756.6873313046272,0.5264764019405788,0.001223444938659668,8.529678649553489,4.211811215523994,4.317867434029495,0.49378310585528024
209,0,209,S,0.96484375,126,SS,0.0,1756.6873313046272,1766.0297034121238,0.5250450419528175,0.0011303424835205078,9.342372107496658,4.200360335622463,5.142011771874195,0.4496031936312986
210,0,210,S,1.0009765625,116,SS,0.0,1766.0297034121238,1772.8628749719185,0.5150991479017808,0.0011919736862182617,6.833171559794664,4.1207931832141185,2.7123783765805456,0.603057181742697
211,0,211,S,1.0390625,133,SS,0.0,1772.8628749719185,1779.6999334591521,0.5353747577801626,0.0012208223342895508,6.837058487233662,4.282998062240949,2.554060424992713,0.6264387046327419
212,0,212,S,1.046875,137,SS,0.0,1779.6999334591521,1788.3293127033735,0.5408674882036155,0.0012260675430297852,8.629379244221354,4.3269399056280236,4.302439338593331,0.5014196019401453
213,0,213,S,0.98828125,124,SS,0.0,1788.3293127033735,1797.4252094058477,0.5233946791395978,0.0011644363403320312,9.095896702474192,4.1871574331162265,4.908739269357966,0.46033476083531927
214,0,214,S,1.0009765625,134,SS,0.0,1797.4252094058477,1805.890819126004,0.5358679403958397,0.001168370246887207,8.465609720156408,4.286943523165974,4.178666196990434,0.5063951286295264
215,0,215,S,1.01171875,136,SS,0.0,1805.890819126004,1814.6958324954785,0.5387535056065125,0.0011801719665527344,8.805013369474409,4.3100280448525154,4.494985324621894,0.4894970471929892
216,0,216,S,1.0166015625,128,SS,0.0,1814.6958324954785,1822.530783134898,0.5282570047524275,0.001197218894958496,7.834950639419503,4.226056038020033,3.60889460139947,0.5393851515487205
217,0,217,S,0.9482421875,144,SS,0.0,1822.530783134898,1830.3619960526569,0.5478548064810063,0.001084446907043457,7.831212917758876,4.3828384518474195,3.4483744659114564,0.5596627876006841
218,0,218,S,1.0,142,SS,0.0,1830.3619960526569,1838.3668806441822,0.5464300412501076,0.0011565685272216797,8.004884591525297,4.371440330000041,3.6334442615252556,0.546096608891532
219,0,219,S,1.0283203125,135,SS,0.0,1838.3668806441822,1843.3694208396848,0.537795842995667,0.001203775405883789,5.002540195502661,4.30236674396474,0.7001734515379212,0.8600364166654003
220,0,220,S,0.9462890625,137,SS,0.0,1843.3694208396848,1853.863741592172,0.5386097282309179,0.00109100341796875,10.494320752487056,4.308877825847958,6.185442926639098,0.4105913977164071
221,0,221,S,1.0,141,SS,0.0,1853.863741592172,1860.0523534624367,0.5451070986433538,0.0011578798294067383,6.188611870264822,4.360856789146055,1.8277550811187666,0.7046583111956327
222,0,222,S,1.044921875,114,SS,0.0,1860.0523534624367,1869.589011011113,0.5137815850882269,0.0012536048889160156,9.536657548676203,4.110252680706253,5.42640486796995,0.430995100718155
223,0,223,S,1.01953125,140,SS,0.0,1869.589011011113,1876.6376602876746,0.5442321560307583,0.0011854171752929688,7.048649276561719,4.353857248246641,2.694792028315078,0.6176867478318373
224,0,224,S,1.009765625,133,SS,0.0,1876.6376602876746,1885.761051145533,0.5347363577870338,0.001181483268737793,9.12339085785834,4.277890862296772,4.845499995561568,0.46889264407783804
225,0,225,S,0.978515625,143,SS,0.0,1885.761051145533,1891.0264588991408,0.5472496238638822,0.001126408576965332,5.26540775360786,4.3779969909119245,0.8874107626959358,0.831463999708687
226,0,226,S,0.974609375,138,SS,0.0,1891.0264588991408,1898.9244931743578,0.5405641908302188,0.0011277198791503906,7.8980342752170145,4.324513526642477,3.5735207485745377,0.5475430184207009
227,0,227,S,1.0361328125,122,SS,0.0,1898.9244931743578,1905.2429304754633,0.5222169563232064,0.0012313127517700195,6.318437301105405,4.177735650586328,2.140701650519077,0.661197611291551
