npu,request_id,compute_layer,start_ms,end_ms,clipped_start_ms,clipped_end_ms,B_GiB_s,b_GiB_s,C_ms,D_ms,complete_internal_cycle
0,10,7,1985.7139491313162,2014.306791127197,2000,2014.306791127197,1.3149324665039108,,28.59284199588069,28.59284199588069,False
0,11,0,2014.306791127197,2039.6436507892965,2014.306791127197,2039.6436507892965,28.47592592693459,6.770346006897751,6.024011548589215,25.33685966209964,True
0,11,1,2039.6436507892965,2059.7181136799218,2039.6436507892965,2059.7181136799218,28.47592592693459,8.545150501672143,6.024011548589215,20.074462890625227,True
0,11,2,2059.7181136799218,2077.719670076406,2059.7181136799218,2077.719670076406,28.475925926935663,9.529137529137529,6.024011548588987,18.001556396484375,True
0,11,3,2077.719670076406,2096.426182527578,2077.719670076406,2096.426182527578,28.475925926935663,9.170031404217138,6.024011548588987,18.706512451171875,True
0,11,4,2096.426182527578,2117.3188979816796,2096.426182527578,2117.3188979816796,28.475925926935663,8.210484032938341,6.024011548588987,20.892715454101562,True
0,11,5,2117.3188979816796,2134.8462875080468,2117.3188979816796,2134.8462875080468,28.475925926935663,9.786928417524539,6.024011548588987,17.527389526367188,True
0,11,6,2134.8462875080468,2155.373936433828,2134.8462875080468,2155.373936433828,28.475925926935663,8.356500408830744,6.024011548588987,20.52764892578125,True
0,11,7,2155.373936433828,2161.397947982417,2155.373936433828,2161.397947982417,28.475925926935663,,6.024011548588987,6.024011548588987,False
0,12,0,2161.397947982417,2189.990789978298,2161.397947982417,2189.990789978298,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,12,1,2189.990789978298,2218.583631974179,2189.990789978298,2218.583631974179,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,12,2,2218.583631974179,2247.1764739700598,2218.583631974179,2247.1764739700598,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,12,3,2247.1764739700598,2275.7693159659407,2247.1764739700598,2275.7693159659407,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,12,4,2275.7693159659407,2304.3621579618216,2275.7693159659407,2304.3621579618216,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,12,5,2304.3621579618216,2332.9549999577025,2304.3621579618216,2332.9549999577025,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,12,6,2332.9549999577025,2361.5478419535834,2332.9549999577025,2361.5478419535834,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,12,7,2361.5478419535834,2390.1406839494643,2361.5478419535834,2390.1406839494643,1.3149324665039004,,28.592841995880917,28.592841995880917,False
0,13,0,2390.1406839494643,2407.7593349821996,2390.1406839494643,2407.7593349821996,28.475925926935663,9.736233853653568,6.024011548588987,17.618651032735215,True
0,13,1,2407.7593349821996,2420.1086544402074,2407.7593349821996,2420.1086544402074,28.475925926935663,13.890587835541965,6.024011548588987,12.349319458007812,True
0,13,2,2420.1086544402074,2433.2300686247777,2420.1086544402074,2433.2300686247777,28.475925926935663,13.073233130796291,6.024011548588987,13.121414184570312,True
0,13,3,2433.2300686247777,2443.97645229177,2433.2300686247777,2443.97645229177,28.475925926935663,15.962514642717688,6.024011548588987,10.746383666992188,True
0,13,4,2443.97645229177,2460.3331112273167,2443.97645229177,2460.3331112273167,28.475925926935663,10.487429451000514,6.024011548588987,16.356658935546875,True
0,13,5,2460.3331112273167,2471.217968405051,2460.3331112273167,2471.217968405051,28.475925926935663,15.759444872783346,6.024011548588987,10.884857177734375,True
0,13,6,2471.217968405051,2490.0461696989964,2471.217968405051,2490.0461696989964,28.475925926935663,9.110764430577223,6.024011548588987,18.828201293945312,True
0,13,7,2490.0461696989964,2496.0701812475854,2490.0461696989964,2496.0701812475854,28.475925926935663,,6.024011548588987,6.024011548588987,False
0,14,0,2496.0701812475854,2524.6630232434663,2496.0701812475854,2524.6630232434663,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,14,1,2524.6630232434663,2553.2558652393473,2524.6630232434663,2553.2558652393473,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,14,2,2553.2558652393473,2581.848707235228,2553.2558652393473,2581.848707235228,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,14,3,2581.848707235228,2610.441549231109,2581.848707235228,2610.441549231109,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,14,4,2610.441549231109,2639.03439122699,2610.441549231109,2639.03439122699,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,14,5,2639.03439122699,2667.627233222871,2639.03439122699,2667.627233222871,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,14,6,2667.627233222871,2696.220075218752,2667.627233222871,2696.220075218752,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,14,7,2696.220075218752,2724.8129172146328,2696.220075218752,2724.8129172146328,1.3149324665039004,,28.592841995880917,28.592841995880917,False
0,15,0,2724.8129172146328,2753.4057592105137,2724.8129172146328,2753.4057592105137,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,15,1,2753.4057592105137,2781.9986012063946,2753.4057592105137,2781.9986012063946,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,15,2,2781.9986012063946,2810.5914432022755,2781.9986012063946,2810.5914432022755,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,15,3,2810.5914432022755,2839.1842851981564,2810.5914432022755,2839.1842851981564,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,15,4,2839.1842851981564,2867.7771271940373,2839.1842851981564,2867.7771271940373,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,15,5,2867.7771271940373,2896.3699691899183,2867.7771271940373,2896.3699691899183,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,15,6,2896.3699691899183,2924.962811185799,2896.3699691899183,2924.962811185799,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,15,7,2924.962811185799,2953.55565318168,2924.962811185799,2953.55565318168,1.3149324665039004,,28.592841995880917,28.592841995880917,False
0,16,0,2953.55565318168,2982.148495177561,2953.55565318168,2982.148495177561,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,16,1,2982.148495177561,3010.741337173442,2982.148495177561,3010.741337173442,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,16,2,3010.741337173442,3039.334179169323,3010.741337173442,3039.334179169323,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,16,3,3039.334179169323,3067.9270211652038,3039.334179169323,3067.9270211652038,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
