npu,U_percent,mean_demand_GiB_s,mean_supply_GiB_s
0,92.16817653120427,4.751078632910333,2.4924392700195312
1,77.57210678525254,11.329165197109061,4.944091796875
2,91.85962244098687,6.1391343677754815,3.8180084228515625
3,84.47068413163417,7.57807566242026,3.1408309936523438
4,98.35967764476902,3.723877973459639,3.2615966796875
5,93.42525026952217,4.326106110069077,2.4451065063476562
6,94.6800954101366,4.068816510472186,2.556640625
7,85.66537570378922,7.0081583552197335,2.9292353609189377
8,85.41651491210415,7.9080991695166984,3.7437362670898438
9,87.96325536542453,7.191670785119548,3.778564453125
10,75.10197692243943,12.658790758126734,5.5550537109375
11,87.90003767425519,8.528237761156948,5.094482421875
12,94.06948639618102,4.889136537928607,3.2052001953125
13,92.1262327015922,5.416943546835458,3.1864013671875
14,96.64787841677807,4.1888196498299735,3.2427978515625
15,77.41111144257412,10.395425499352546,3.9569854736328125
16,84.29708158169886,9.015982015008012,4.559954777422843
17,83.08024136929366,8.201160937585787,3.353240966796875
18,88.74237919510048,7.03590395611696,3.8983983865716483
19,96.47010411095114,2.9281598111956613,1.9169769287109375
20,90.64955664214266,5.40897808908234,2.69427490234375
21,83.56566697176211,9.06964546215426,4.3752593994140625
22,90.1369555263361,5.95725099031661,3.1488037109375
23,88.02282510759653,5.876997261988302,2.462646484375
24,94.59912526044437,5.135380194096002,3.6666810452630445
25,89.97965647637642,7.3089200812037625,4.445922851562505
26,89.93692649158378,6.257008070779839,3.3501358032226562
27,89.8927828832189,5.369098152838689,2.4814453125
28,90.86952548710228,6.412750264286978,3.7751012032040934
29,87.92745029791897,6.730846081907653,3.3456767703607055
30,96.70956448230156,2.8631199953928554,1.9938507080078125
31,86.40408964591417,6.316661894877522,2.44384765625
