order,strategy,request_id,npu_id,role,admission_ms,completion_ms,ttft_ms,ideal_ms,ratio,slo_1p5_pass
ordered,asu_baseline,8,0,B,2191.617107171594,2420.3598431386413,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,9,0,A,2420.3598431386413,2739.2817963827556,318.9219532441143,48.19209238871334,6.617723726783158,False
ordered,asu_baseline,10,0,B,2739.2817963827556,2987.2052174564874,247.9234210737318,228.74273596704626,1.0838526523065144,True
ordered,asu_baseline,11,0,B,2987.2052174564874,3215.9479534235347,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,12,0,A,3215.9479534235347,3534.869906667649,318.9219532441143,48.19209238871334,6.617723726783158,False
ordered,asu_baseline,13,0,B,3534.869906667649,3782.793327741381,247.9234210737318,228.74273596704626,1.0838526523065144,True
ordered,asu_baseline,14,0,B,3782.793327741381,4011.536063708428,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,1000008,1,B,2189.426708001672,2418.1694439687194,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,1000009,1,A,2418.1694439687194,2729.2781342733806,311.1086903046612,48.19209238871334,6.455596237558743,False
ordered,asu_baseline,1000010,1,B,2729.2781342733806,2985.0148182865655,255.7366840131849,228.74273596704626,1.118010077705932,True
ordered,asu_baseline,1000011,1,B,2985.0148182865655,3213.757554253613,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,1000012,1,A,3213.757554253613,3524.866244558274,311.1086903046612,48.19209238871334,6.455596237558743,False
ordered,asu_baseline,1000013,1,B,3524.866244558274,3780.602928571459,255.7366840131849,228.74273596704626,1.118010077705932,True
ordered,asu_baseline,1000014,1,B,3780.602928571459,4009.3456645385063,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,2000008,2,B,2193.4995076842893,2422.2422436513366,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,2000009,2,A,2422.2422436513366,2747.861279414982,325.61903576364557,48.19209238871334,6.756690146118371,False
ordered,asu_baseline,2000010,2,B,2747.861279414982,2989.0876179691827,241.22633855420054,228.74273596704626,1.0545748591070132,True
ordered,asu_baseline,2000011,2,B,2989.0876179691827,3217.83035393623,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,2000012,2,A,3217.83035393623,3543.4493896998756,325.61903576364557,48.19209238871334,6.756690146118371,False
ordered,asu_baseline,2000013,2,B,3543.4493896998756,3784.675728254076,241.22633855420054,228.74273596704626,1.0545748591070132,True
ordered,asu_baseline,2000014,2,B,3784.675728254076,4013.4184642211235,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,3000008,3,B,2190.366649407922,2419.1093853749694,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,3000009,3,A,2419.1093853749694,2733.566616939396,314.4572315644268,48.19209238871334,6.52507944722635,False
ordered,asu_baseline,3000010,3,B,2733.566616939396,2985.9547596928155,252.3881427534193,228.74273596704626,1.1033711811061817,True
ordered,asu_baseline,3000011,3,B,2985.9547596928155,3214.697495659863,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,3000012,3,A,3214.697495659863,3529.1547272242897,314.4572315644268,48.19209238871334,6.52507944722635,False
ordered,asu_baseline,3000013,3,B,3529.1547272242897,3781.542869977709,252.3881427534193,228.74273596704626,1.1033711811061817,True
ordered,asu_baseline,3000014,3,B,3781.542869977709,4010.2856059447563,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,4000008,4,B,2196.013850946008,2424.7565869130553,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,4000009,4,A,2424.7565869130553,2759.305066036076,334.54847912302057,48.19209238871334,6.941978705231988,False
ordered,asu_baseline,4000010,4,B,2759.305066036076,2991.6019612309015,232.29689519482554,228.74273596704626,1.0155378015076786,True
ordered,asu_baseline,4000011,4,B,2991.6019612309015,3220.344697197949,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,4000012,4,A,3220.344697197949,3554.8931763209694,334.54847912302057,48.19209238871334,6.941978705231988,False
ordered,asu_baseline,4000013,4,B,3554.8931763209694,3787.190071515795,232.29689519482554,228.74273596704626,1.0155378015076786,True
ordered,asu_baseline,4000014,4,B,3787.190071515795,4015.9328074828422,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,5000008,5,B,2192.5562093444455,2421.298945311493,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,5000009,5,A,2421.298945311493,2743.569439815373,322.27049450387995,48.19209238871334,6.687206936450765,False
ordered,asu_baseline,5000010,5,B,2743.569439815373,2988.144319629339,244.57487981396616,228.74273596704626,1.0692137557067638,True
ordered,asu_baseline,5000011,5,B,2988.144319629339,3216.8870555963863,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,5000012,5,A,3216.8870555963863,3539.1575501002662,322.27049450387995,48.19209238871334,6.687206936450765,False
ordered,asu_baseline,5000013,5,B,3539.1575501002662,3783.7324299142324,244.57487981396616,228.74273596704626,1.0692137557067638,True
ordered,asu_baseline,5000014,5,B,3783.7324299142324,4012.4751658812797,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,6000008,6,B,2193.8142202087033,2422.5569561757507,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,6000009,6,A,2422.5569561757507,2749.292172359318,326.73521618356745,48.19209238871334,6.779851216007573,False
ordered,asu_baseline,6000010,6,B,2749.292172359318,2989.4023304935968,240.11015813427866,228.74273596704626,1.0496952269070965,True
ordered,asu_baseline,6000011,6,B,2989.4023304935968,3218.145066460644,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,6000012,6,A,3218.145066460644,3544.8802826442115,326.73521618356745,48.19209238871334,6.779851216007573,False
ordered,asu_baseline,6000013,6,B,3544.8802826442115,3784.99044077849,240.11015813427866,228.74273596704626,1.0496952269070965,True
ordered,asu_baseline,6000014,6,B,3784.99044077849,4013.7331767455375,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,7000008,7,B,2187.8665731139768,2416.609309081024,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,7000009,7,A,2416.609309081024,2722.137097286076,305.5277882050518,48.19209238871334,6.3397908881127325,False
ordered,asu_baseline,7000010,7,B,2722.137097286076,2983.45468339887,261.3175861127943,228.74273596704626,1.1424082387055163,True
ordered,asu_baseline,7000011,7,B,2983.45468339887,3212.1974193659175,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,7000012,7,A,3212.1974193659175,3517.7252075709694,305.5277882050518,48.19209238871334,6.3397908881127325,False
ordered,asu_baseline,7000013,7,B,3517.7252075709694,3779.0427936837636,261.3175861127943,228.74273596704626,1.1424082387055163,True
ordered,asu_baseline,7000014,7,B,3779.0427936837636,4007.785529650811,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,8000008,8,B,2189.7380635924924,2418.4807995595397,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,8000009,8,A,2418.4807995595397,2730.705670284123,312.22487072458307,48.19209238871334,6.478757307447945,False
ordered,asu_baseline,8000010,8,B,2730.705670284123,2985.326173877386,254.62050359326304,228.74273596704626,1.1131304455060154,True
ordered,asu_baseline,8000011,8,B,2985.326173877386,3214.068909844433,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,8000012,8,A,3214.068909844433,3526.2937805690162,312.22487072458307,48.19209238871334,6.478757307447945,False
ordered,asu_baseline,8000013,8,B,3526.2937805690162,3780.9142841622793,254.62050359326304,228.74273596704626,1.1131304455060154,True
ordered,asu_baseline,8000014,8,B,3780.9142841622793,4009.6570201293266,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,9000008,9,B,2191.9309804626096,2420.673716429657,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,9000009,9,A,2420.673716429657,2740.711850093693,320.0381336640362,48.19209238871334,6.64088479667236,False
ordered,asu_baseline,9000010,9,B,2740.711850093693,2987.519090747503,246.8072406538099,228.74273596704626,1.0789730201065975,True
ordered,asu_baseline,9000011,9,B,2987.519090747503,3216.2618267145504,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,9000012,9,A,3216.2618267145504,3536.2999603785865,320.0381336640362,48.19209238871334,6.64088479667236,False
ordered,asu_baseline,9000013,9,B,3536.2999603785865,3783.1072010323965,246.8072406538099,228.74273596704626,1.0789730201065975,True
ordered,asu_baseline,9000014,9,B,3783.1072010323965,4011.849936999444,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,10000008,10,B,2188.8039968200314,2417.546732787079,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,10000009,10,A,2417.546732787079,2726.423062251896,308.87632946481745,48.19209238871334,6.409274097780339,False
ordered,asu_baseline,10000010,10,B,2726.423062251896,2984.392107104925,257.96904485302866,228.74273596704626,1.127769342105766,True
ordered,asu_baseline,10000011,10,B,2984.392107104925,3213.134843071972,228.74273596704734,228.74273596704626,1.0,True
ordered,asu_baseline,10000012,10,A,3213.134843071972,3522.0111725367897,308.87632946481745,48.19209238871334,6.409274097780339,False
ordered,asu_baseline,10000013,10,B,3522.0111725367897,3779.9802173898183,257.96904485302866,228.74273596704626,1.127769342105766,True
ordered,asu_baseline,10000014,10,B,3779.9802173898183,4008.7229533568657,228.74273596704734,228.74273596704626,1.0,True
