npu,request_id,compute_layer,start_ms,end_ms,clipped_start_ms,clipped_end_ms,B_GiB_s,b_GiB_s,C_ms,D_ms,complete_internal_cycle
0,7,0,1984.2694482309143,2012.862290226795,2000,2012.862290226795,1.3149324665039108,,28.59284199588069,28.59284199588069,False
0,7,1,2012.862290226795,2041.4551322226757,2012.862290226795,2041.4551322226757,1.3149324665039108,1.3149324665039108,28.59284199588069,28.59284199588069,True
0,7,2,2041.4551322226757,2070.0479742185566,2041.4551322226757,2070.0479742185566,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,7,3,2070.0479742185566,2098.6408162144376,2070.0479742185566,2098.6408162144376,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,7,4,2098.6408162144376,2127.2336582103185,2098.6408162144376,2127.2336582103185,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,7,5,2127.2336582103185,2155.8265002061994,2127.2336582103185,2155.8265002061994,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,7,6,2155.8265002061994,2184.4193422020803,2155.8265002061994,2184.4193422020803,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,7,7,2184.4193422020803,2213.0121841979612,2184.4193422020803,2213.0121841979612,1.3149324665039004,,28.592841995880917,28.592841995880917,False
0,8,0,2213.0121841979612,2241.605026193842,2213.0121841979612,2241.605026193842,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,8,1,2241.605026193842,2270.197868189723,2241.605026193842,2270.197868189723,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,8,2,2270.197868189723,2298.790710185604,2270.197868189723,2298.790710185604,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,8,3,2298.790710185604,2327.383552181485,2298.790710185604,2327.383552181485,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,8,4,2327.383552181485,2355.976394177366,2327.383552181485,2355.976394177366,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,8,5,2355.976394177366,2384.5692361732467,2355.976394177366,2384.5692361732467,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,8,6,2384.5692361732467,2413.1620781691277,2384.5692361732467,2413.1620781691277,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
0,8,7,2413.1620781691277,2456.029380927917,2413.1620781691277,2456.029380927917,1.3149324665039004,,28.592841995880917,42.867302758789265,False
0,9,0,2456.029380927917,2501.7885819777216,2456.029380927917,2501.7885819777216,28.475925926935663,3.7487391104997707,6.024011548588987,45.75920104980469,True
0,9,1,2501.7885819777216,2547.560371528503,2501.7885819777216,2547.560371528503,28.475925926935663,3.7477081041437477,6.024011548588987,45.77178955078125,True
0,9,2,2547.560371528503,2593.332161079284,2547.560371528503,2593.332161079284,28.475925926935663,3.7477081041437477,6.024011548588987,45.77178955078125,True
0,9,3,2593.332161079284,2639.095558296081,2593.332161079284,2639.095558296081,28.475925926935663,3.748395378690629,6.024011548588987,45.763397216796875,True
0,9,4,2639.095558296081,2684.8715440138544,2639.095558296081,2684.8715440138544,28.475925926935663,3.7473645613713447,6.024011548588987,45.77598571777344,True
0,9,5,2684.8715440138544,2730.647529731628,2684.8715440138544,2730.647529731628,28.475925926935663,3.7473645613713447,6.024011548588987,45.77598571777344,True
0,9,6,2730.647529731628,2775.32821586444,2730.647529731628,2775.32821586444,28.475925926935663,3.8392272251757373,6.024011548588987,44.6806861328123,True
0,9,7,2775.32821586444,2783.9514390333857,2775.32821586444,2783.9514390333857,28.475925926935663,,6.024011548588987,8.623223168945515,False
0,10,0,2783.9514390333857,2812.5442810292666,2783.9514390333857,2812.5442810292666,1.3149324665039004,1.3149324665039004,28.592841995880917,28.592841995880917,True
