npu,U_percent,mean_demand_GiB_s,mean_supply_GiB_s
0,70.69380025712235,10.515072923651228,2.237060546875
1,70.8540938362239,10.479801285870256,2.237060546875
2,70.81712560502272,10.491549089593398,2.237060546875
3,70.83038549271804,10.487948930413285,2.237060546875
4,70.83479146805983,10.487438772223587,2.237060546875
5,70.86253813187818,10.48111196460895,2.237060546875
6,70.77289800492508,10.50305022892425,2.2370605468749942
7,70.85115651932936,10.478034718874635,2.237060546875
8,71.05211095658522,10.418096810294141,2.237060546875
9,70.82996587601882,10.48605699414701,2.237060546875
10,70.79535249833326,10.49745555862006,2.237060546875
11,72.43073538204027,10.196538074017196,2.522933016127831
12,70.95018606034499,10.454955375867314,2.237060546875
13,70.96990804520827,10.451024697700927,2.237060546875
14,71.89160612504224,10.165352360649539,2.3228302001953125
15,71.27455476884109,10.362979920030734,2.266265869140625
16,70.77856283036452,10.491597394518443,2.237060546875
17,71.93775396195632,10.143931044772302,2.3228302001953125
18,71.8943286335872,10.163758109799936,2.3228302001953125
19,70.95857839432936,10.45284689267899,2.237060546875
20,71.9062927095149,10.157716232345882,2.3228302001953125
21,71.89600710038407,10.157432660234965,2.3228302001953125
22,70.83646993485672,10.484474140503835,2.237060546875
23,73.03232926517063,10.203792129501162,2.7110681632225577
24,70.69925527421218,10.51359128681619,2.237060546875
25,70.82010488358718,10.488122604608993,2.237060546875
26,70.85555249467113,10.480143202062957,2.237060546875
27,70.86458925370437,10.478715835160685,2.237060546875
28,70.83248357621413,10.487722344334495,2.237060546875
29,70.89123991410476,10.47273230178842,2.237060546875
30,70.78233938065749,10.500599829543228,2.237060546875
31,70.84842901078444,10.479288411581205,2.237060546875
