regime,policy,seed,request_id,admission_ms,completion_ms,own_compute_ms,latency_ms,raw_ratio,plot_ratio,slo_1p5_pass
under,asu_baseline,19,5,2037.152052163158,2495.702233877423,458.55018171426593,458.55018171426514,0.9999999999999982,1.0,True
under,asu_baseline,19,6,2495.702233877423,2982.1430606614385,486.44082678401566,486.44082678401537,0.9999999999999994,1.0,True
under,asu_baseline,19,7,2982.1430606614385,3898.080435092147,915.9373744307104,915.9373744307086,0.999999999999998,1.0,True
under,asu_baseline,19,8,3898.080435092147,4384.521261876164,486.44082678401566,486.4408267840172,1.000000000000003,1.0,True
under,asu_baseline,19,25,2759.78947577282,3218.339657487085,458.55018171426593,458.5501817142649,0.9999999999999978,1.0,True
under,asu_baseline,19,26,3218.339657487085,4134.2770319177935,915.9373744307104,915.9373744307086,0.999999999999998,1.0,True
under,asu_baseline,19,45,2199.172555408959,2314.1253763859586,114.952820977,114.95282097699965,0.9999999999999969,1.0,True
under,asu_baseline,19,46,2314.1253763859586,2714.666736071469,400.5413596855101,400.54135968551054,1.000000000000001,1.0,True
under,asu_baseline,19,47,2714.666736071469,3458.8053376903026,744.1386016188327,744.1386016188335,1.000000000000001,1.0,True
under,asu_baseline,19,48,3458.8053376903026,3945.246164474318,486.44082678401566,486.44082678401537,0.9999999999999994,1.0,True
under,asu_baseline,19,49,3945.246164474318,4173.988900441365,228.74273596704626,228.74273596704734,1.0000000000000047,1.0,True
under,asu_baseline,19,65,2196.6182204350353,2425.3609564020826,228.74273596704626,228.74273596704734,1.0000000000000047,1.0,True
under,asu_baseline,19,66,2425.3609564020826,2883.9111381163475,458.55018171426593,458.5501817142649,0.9999999999999978,1.0,True
under,asu_baseline,19,67,2883.9111381163475,3799.848512547056,915.9373744307104,915.9373744307086,0.999999999999998,1.0,True
under,asu_baseline,19,68,3799.848512547056,4028.5912485141034,228.74273596704626,228.74273596704734,1.0000000000000047,1.0,True
under,asu_baseline,19,84,2379.2044792326087,2865.645306016624,486.44082678401566,486.44082678401537,0.9999999999999994,1.0,True
under,asu_baseline,19,85,2865.645306016624,3324.195487730889,458.55018171426593,458.5501817142649,0.9999999999999978,1.0,True
under,asu_baseline,19,86,3324.195487730889,3439.1483087078886,114.952820977,114.95282097699965,0.9999999999999969,1.0,True
under,asu_baseline,19,87,3439.1483087078886,3897.6984904221536,458.55018171426593,458.5501817142649,0.9999999999999978,1.0,True
under,asu_baseline,19,88,3897.6984904221536,4298.239850107662,400.5413596855101,400.5413596855087,0.9999999999999966,1.0,True
under,asu_baseline,19,105,2142.679686914997,2601.229868629262,458.55018171426593,458.5501817142649,0.9999999999999978,1.0,True
under,asu_baseline,19,106,2601.229868629262,3345.3684702480955,744.1386016188327,744.1386016188335,1.000000000000001,1.0,True
under,asu_baseline,19,107,3345.3684702480955,3460.321291225095,114.952820977,114.95282097699965,0.9999999999999969,1.0,True
under,asu_baseline,19,108,3460.321291225095,3661.173434562503,200.85214333740902,200.85214333740805,0.9999999999999952,1.0,True
under,asu_baseline,19,109,3661.173434562503,4033.8243040371003,372.6508694745985,372.65086947459713,0.9999999999999963,1.0,True
under,asu_baseline,19,127,2269.8964995244946,2384.8493205014943,114.952820977,114.95282097699965,0.9999999999999969,1.0,True
under,asu_baseline,19,128,2384.8493205014943,2843.399502215759,458.55018171426593,458.5501817142649,0.9999999999999978,1.0,True
under,asu_baseline,19,129,2843.399502215759,3329.8403289997746,486.44082678401566,486.44082678401537,0.9999999999999994,1.0,True
under,asu_baseline,19,130,3329.8403289997746,4073.978930618608,744.1386016188327,744.1386016188335,1.000000000000001,1.0,True
under,asu_baseline,19,144,2636.8773872821994,3095.4275689964643,458.55018171426593,458.5501817142649,0.9999999999999978,1.0,True
under,asu_baseline,19,145,3095.4275689964643,3324.1703049635116,228.74273596704626,228.74273596704734,1.0000000000000047,1.0,True
under,asu_baseline,19,146,3324.1703049635116,3525.0224483009197,200.85214333740902,200.85214333740805,0.9999999999999952,1.0,True
under,asu_baseline,19,147,3525.0224483009197,3753.765184267967,228.74273596704626,228.74273596704734,1.0000000000000047,1.0,True
under,asu_baseline,19,148,3753.765184267967,3997.567044618784,243.80186035081854,243.80186035081715,0.9999999999999943,1.0,True
under,asu_baseline,19,149,3997.567044618784,4241.368904969601,243.80186035081854,243.80186035081715,0.9999999999999943,1.0,True
under,asu_baseline,19,166,2096.6181218973575,2840.756723516191,744.1386016188327,744.1386016188335,1.000000000000001,1.0,True
under,asu_baseline,19,167,2840.756723516191,3756.6940979469,915.9373744307104,915.937374430709,0.9999999999999986,1.0,True
under,asu_baseline,19,168,3756.6940979469,4215.244279661165,458.55018171426593,458.5501817142649,0.9999999999999978,1.0,True
under,asu_baseline,19,185,2001.737901339238,2374.3887708138354,372.6508694745985,372.65086947459736,0.999999999999997,1.0,True
under,asu_baseline,19,186,2374.3887708138354,2489.341591790835,114.952820977,114.95282097699965,0.9999999999999969,1.0,True
under,asu_baseline,19,187,2489.341591790835,2975.7824185748505,486.44082678401566,486.44082678401537,0.9999999999999994,1.0,True
under,asu_baseline,19,188,2975.7824185748505,3719.921020193684,744.1386016188327,744.1386016188335,1.000000000000001,1.0,True
under,asu_baseline,19,189,3719.921020193684,4092.571889668281,372.6508694745985,372.65086947459713,0.9999999999999963,1.0,True
under,asu_baseline,19,205,2561.8071663333403,3305.945767952174,744.1386016188327,744.1386016188335,1.000000000000001,1.0,True
under,asu_baseline,19,206,3305.945767952174,3678.596637426771,372.6508694745985,372.65086947459713,0.9999999999999963,1.0,True
under,asu_baseline,19,207,3678.596637426771,4079.1379971122815,400.5413596855101,400.54135968551054,1.000000000000001,1.0,True
under,asu_baseline,19,225,2056.9399096526067,2972.8772840833153,915.9373744307104,915.9373744307086,0.999999999999998,1.0,True
under,asu_baseline,19,226,2972.8772840833153,3173.7294274207234,200.85214333740902,200.85214333740805,0.9999999999999952,1.0,True
under,asu_baseline,19,227,3173.7294274207234,3917.868029039557,744.1386016188327,744.1386016188335,1.000000000000001,1.0,True
under,asu_baseline,19,228,3917.868029039557,4318.409388725066,400.5413596855101,400.5413596855087,0.9999999999999966,1.0,True
under,asu_baseline,19,244,2066.610513560625,2467.1518732461354,400.5413596855101,400.54135968551054,1.000000000000001,1.0,True
under,asu_baseline,19,245,2467.1518732461354,2839.8027427207326,372.6508694745985,372.65086947459713,0.9999999999999963,1.0,True
under,asu_baseline,19,246,2839.8027427207326,3040.6548860581406,200.85214333740902,200.85214333740805,0.9999999999999952,1.0,True
