npu_id,compute_ms,active_ms,io_stall_ms,compute_queue_ms,role_compute_ms,role_active_ms,role_requests_computing,U_percent,idle_ms,A_and_B_actually_computing
0,1991.9385542768318,2000.0,8.061445723168163,0.0,"{""B"":1455.7607094561095,""A"":536.1778448207224}","{""B"":1463.1668249854715,""A"":536.8331750145285}","{""B"":3,""A"":35}",99.5969277138416,0.0,True
1,1993.5456862348396,2000.0,6.45431376516035,0.0,"{""B"":1457.3678414141173,""A"":536.1778448207224}","{""B"":1462.8878892165158,""A"":537.1121107834842}","{""B"":3,""A"":35}",99.67728431174199,0.0,True
2,1996.7593109174572,2000.0,3.240689082542758,0.0,"{""B"":1460.5814660967349,""A"":536.1778448207224}","{""B"":1462.7326310378048,""A"":537.2673689621952}","{""B"":3,""A"":35}",99.83796554587286,0.0,True
3,1989.299265238746,2000.0,10.700734761253898,0.0,"{""B"":1453.1214204180237,""A"":536.1778448207224}","{""B"":1462.156287433953,""A"":537.8437125660471}","{""B"":3,""A"":35}",99.4649632619373,0.0,True
4,1989.3830885785896,2000.0,10.61691142141035,0.0,"{""B"":1453.2052437578673,""A"":536.1778448207224}","{""B"":1462.6556313060232,""A"":537.3443686939768}","{""B"":3,""A"":35}",99.46915442892949,0.0,True
5,1985.2751410932383,2000.0,14.72485890676171,0.0,"{""B"":1449.097296272516,""A"":536.1778448207224}","{""B"":1461.866751911492,""A"":538.133248088508}","{""B"":3,""A"":35}",99.26375705466191,0.0,True
6,1994.5655548139416,2000.0,5.434445186058383,0.0,"{""B"":1458.3877099932192,""A"":536.1778448207224}","{""B"":1462.0920862139224,""A"":537.9079137860776}","{""B"":3,""A"":35}",99.72827774069708,0.0,True
7,1991.1406433149182,2000.0,8.85935668508182,0.0,"{""B"":1454.9627984941958,""A"":536.1778448207224}","{""B"":1461.8346513014767,""A"":538.1653486985233}","{""B"":3,""A"":35}",99.55703216574591,0.0,True
8,1992.2316729971517,2000.0,7.768327002848309,0.0,"{""B"":1592.1180238714678,""A"":400.1136491256839}","{""B"":1592.1180238714678,""A"":407.8819761285322}","{""B"":3,""A"":27}",99.61158364985758,0.0,True
9,1992.6078593005263,2000.0,7.392140699473657,0.0,"{""B"":1592.9320802679522,""A"":399.67577903257416}","{""B"":1592.9320802679522,""A"":407.0679197320478}","{""B"":3,""A"":27}",99.63039296502632,0.0,True
10,1992.3556692594461,2000.0,7.644330740553869,0.0,"{""B"":1603.2924165716631,""A"":389.063252687783}","{""B"":1603.2924165716631,""A"":396.7075834283369}","{""B"":3,""A"":26}",99.61778346297231,0.0,True
11,1990.734690085314,2000.0,9.265309914685986,0.0,"{""B"":1600.1914491644366,""A"":390.54324092087745}","{""B"":1600.1914491644366,""A"":399.80855083556344}","{""B"":3,""A"":26}",99.5367345042657,0.0,True
12,1992.421339205399,2000.0,7.578660794601092,0.0,"{""B"":1606.9221010199053,""A"":385.4992381854936}","{""B"":1606.9221010199053,""A"":393.0778989800947}","{""B"":3,""A"":26}",99.62106696026994,0.0,True
13,1994.032248658349,2000.0,5.96775134165091,0.0,"{""B"":1582.1269502630694,""A"":411.9052983952797}","{""B"":1582.1269502630694,""A"":417.8730497369306}","{""B"":3,""A"":27}",99.70161243291744,0.0,True
14,1991.5925968991914,2000.0,8.407403100808551,0.0,"{""B"":1585.744046210335,""A"":405.84855068885645}","{""B"":1585.744046210335,""A"":414.255953789665}","{""B"":3,""A"":27}",99.57962984495958,0.0,True
15,1993.944967845112,2000.0,6.0550321548880675,0.0,"{""B"":1596.5659608831866,""A"":397.37900696192537}","{""B"":1596.5659608831866,""A"":403.43403911681344}","{""B"":3,""A"":26}",99.6972483922556,0.0,True
