request_id,npu_id,role,profile,C_ms,V_per_ssu_GiB,B_per_ssu_GiB_s,original_request_id,matches_raw_data,layer,compute_start_ms,compute_end_ms,io_start_time_ms,io_ready_time_ms,ssd_complete_time_ms,barrier_budget_end_ms,full_io_stall_ms,warm_io_stall_ms,warm_compute_ms,warm_queue_ms,kind
19000032,19,A,10.25:256,1.9149208743596717,"[0.004364013671875,0.00469970703125,0.004364013671875]","[2.278952478041307,2.454256514813715,2.278952478041307]",100128308,False,3,2016.2824605998112,2018.197381474171,2013.8186914336575,2016.2824605998112,,2015.7336123080172,0.5488482917940019,0.5488482917940019,1.9149208743597228,0.0,internal_L1_to_L7
18000032,18,A,10.25:256,1.9149208743596717,"[0.004364013671875,0.00469970703125,0.004364013671875]","[2.278952478041307,2.454256514813715,2.278952478041307]",100123849,False,3,2016.7566274699284,2018.671548344288,2013.8957908254295,2016.7566274699284,,2015.8107116997892,0.9459157701392087,0.9459157701392087,1.9149208743597228,0.0,internal_L1_to_L7
20000032,20,A,10.25:256,1.9149208743596717,"[0.00469970703125,0.00469970703125,0.0040283203125]","[2.454256514813715,2.454256514813715,2.1036484412688985]",100132436,False,3,2017.2769521769596,2019.1918730513194,2014.197914848867,2017.2769521769596,,2016.1128357232267,1.1641164537329587,1.1641164537329587,1.9149208743597228,0.0,internal_L1_to_L7
22000032,22,A,10.25:256,1.9149208743596717,"[0.0045318603515625,0.00469970703125,0.0041961669921875]","[2.366604496427511,2.454256514813715,2.191300459655103]",100141412,False,2,2014.5283627970769,2016.4432836714366,2012.380146198435,2014.5283627970769,,2014.2950670727948,0.23329572428201573,0.23329572428201573,1.9149208743597228,0.0,internal_L1_to_L7
22000032,22,A,10.25:256,1.9149208743596717,"[0.0045318603515625,0.00469970703125,0.0041961669921875]","[2.366604496427511,2.454256514813715,2.191300459655103]",100141412,False,3,2017.7930807169987,2019.7080015913584,2014.5283627970769,2017.7930807169987,,2016.4432836714366,1.349797045562127,1.349797045562127,1.9149208743597228,0.0,internal_L1_to_L7
21000032,21,A,10.25:256,1.9149208743596717,"[0.0045318603515625,0.00469970703125,0.0041961669921875]","[2.366604496427511,2.454256514813715,2.191300459655103]",100136706,False,2,2014.9731564982487,2016.8880773726084,2012.4800155126488,2014.9731564982487,,2014.3949363870086,0.5782201112401708,0.5782201112401708,1.9149208743597228,0.0,internal_L1_to_L7
21000032,21,A,10.25:256,1.9149208743596717,"[0.0045318603515625,0.00469970703125,0.0041961669921875]","[2.366604496427511,2.454256514813715,2.191300459655103]",100136706,False,3,2018.292424589069,2020.2073454634287,2014.9731564982487,2018.292424589069,,2016.8880773726084,1.4043472164605646,1.4043472164605646,1.9149208743597228,0.0,internal_L1_to_L7
23000032,23,A,10.25:256,1.9149208743596717,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[2.191300459655103,2.454256514813715,2.366604496427511]",100145825,False,2,2015.0780606730534,2016.9929815474131,2012.8115127050316,2015.0780606730534,,2014.7264335793914,0.3516270936620458,0.3516270936620458,1.9149208743597228,0.0,internal_L1_to_L7
16000032,16,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100114859,False,2,2015.5690122111394,2017.483933085499,2013.13461756343,2015.5690122111394,,2015.0495384377898,0.5194737733495458,0.5194737733495458,1.9149208743597228,0.0,internal_L1_to_L7
17000032,17,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100118987,False,2,2016.0389829142644,2017.953903788624,2013.5181357961326,2016.0389829142644,,2015.4330566704923,0.6059262437720463,0.6059262437720463,1.9149208743597228,0.0,internal_L1_to_L7
19000034,19,A,10.25:256,1.9149208743596717,"[0.004364013671875,0.00469970703125,0.004364013671875]","[2.278952478041307,2.454256514813715,2.278952478041307]",100128364,False,2,2045.059773832233,2046.9746947065928,2043.0913528408473,2045.059773832233,,2045.006273715207,0.05350011702603297,0.05350011702603297,1.9149208743597228,0.0,internal_L1_to_L7
