start_ms,end_ms,D0_GiB_s,D1_GiB_s,D2_GiB_s,active_npus,A_active_npus,B_active_npus
2000.0,2009.988849684938,34.91442885725507,37.752890830583375,35.75406478006994,32,8,24
2009.988849684938,2010.06594907671,35.08973289402748,37.752890830583375,35.57876074329753,32,8,24
2010.06594907671,2010.3680731001475,35.002080875641276,37.752890830583375,35.66641276168374,32,8,24
2010.3680731001475,2010.4652253240754,35.35268894918609,37.752890830583375,35.31580468813892,32,8,24
2010.4652253240754,2010.565094638289,35.5279929859585,37.752890830583375,35.14050065136651,32,8,24
2010.565094638289,2010.896591830672,35.4403409675723,37.752890830583375,35.22815266975272,32,8,24
2010.896591830672,2011.2196966890704,35.26503693079989,37.752890830583375,35.40345670652512,32,8,24
2011.2196966890704,2011.6032149217729,34.91442885725507,37.752890830583375,35.75406478006994,32,8,24
2011.6032149217729,2025.8570649716098,34.82677683886887,37.752890830583375,35.84171679845614,32,8,24
2025.8570649716098,2026.331231841727,35.002080875641276,37.752890830583375,35.66641276168374,32,8,24
2026.331231841727,2026.5675859192118,34.82677683886887,37.752890830583375,35.84171679845614,32,8,24
2026.5675859192118,2026.8515565487583,34.82677683886887,37.752890830583375,35.84171679845614,32,8,24
2026.8515565487583,2027.0585374572977,34.47616876532405,37.752890830583375,36.19232487200096,32,8,24
2027.0585374572977,2027.3676850887973,34.73912482048266,37.752890830583375,35.92936881684235,32,8,24
2027.3676850887973,2027.5285081604227,34.47616876532405,37.752890830583375,36.19232487200096,32,8,24
2027.5285081604227,2027.8670289608676,34.47616876532405,37.752890830583375,36.19232487200096,32,8,24
2027.8670289608676,2041.1764319664876,34.388516746937846,37.752890830583375,36.27997689038716,32,8,24
2041.1764319664876,2041.6505988366048,34.213212710165436,37.752890830583375,36.45528092715957,32,8,24
2041.6505988366048,2041.8869529140895,34.563820783710256,37.752890830583375,36.10467285361476,32,8,24
2041.8869529140895,2042.170923543636,34.563820783710256,37.752890830583375,36.10467285361476,32,8,24
2042.170923543636,2042.3779044521755,34.563820783710256,37.752890830583375,36.10467285361476,32,8,24
2042.3779044521755,2042.687052083675,34.563820783710256,37.752890830583375,36.10467285361476,32,8,24
2042.687052083675,2042.8478751553005,34.82677683886887,37.752890830583375,35.84171679845614,32,8,24
2042.8478751553005,2043.1863959557454,35.08973289402748,37.752890830583375,35.57876074329753,32,8,24
2043.1863959557454,2056.5492990783914,35.08973289402748,37.752890830583375,35.57876074329753,32,8,24
2056.5492990783914,2056.9699658314826,35.08973289402748,37.752890830583375,35.57876074329753,32,8,24
2056.9699658314826,2057.325589971946,35.002080875641276,37.752890830583375,35.66641276168374,32,8,24
2057.325589971946,2057.6948526672586,35.26503693079989,37.752890830583375,35.40345670652513,32,8,24
2057.6948526672586,2057.9801920227274,35.6156450043447,37.752890830583375,35.05284863298031,32,8,24
2057.9801920227274,2058.236158209251,35.70329702273091,37.752890830583375,34.9651966145941,32,8,24
2058.236158209251,2058.505762950623,35.5279929859585,37.752890830583375,35.14050065136651,32,8,24
2058.505762950623,2058.6950091373214,35.4403409675723,37.752890830583375,35.22815266975272,32,8,24
2058.6950091373214,2071.868666073269,35.177384912413686,37.752890830583375,35.49110872491133,32,8,24
2071.868666073269,2072.2893328263604,35.26503693079989,37.752890830583375,35.40345670652512,32,8,24
2072.2893328263604,2072.644956966824,35.26503693079989,37.752890830583375,35.40345670652512,32,8,24
2072.644956966824,2073.0142196621364,35.177384912413686,37.752890830583375,35.49110872491133,32,8,24
2073.0142196621364,2073.299559017605,34.82677683886887,37.752890830583375,35.84171679845614,32,8,24
2073.299559017605,2073.5555252041286,34.65147280209646,37.752890830583375,36.01702083522855,32,8,24
2073.5555252041286,2073.825129945501,34.91442885725507,37.752890830583375,35.75406478006994,32,8,24
2073.825129945501,2074.0143761321992,34.82677683886887,37.752890830583375,35.84171679845615,32,8,24
2074.0143761321992,2087.188033068147,34.82677683886887,37.752890830583375,35.84171679845615,32,8,24
2087.188033068147,2087.608699821238,33.18989884188346,36.053585928772726,34.345908755553275,32,7,25
2087.608699821238,2087.9643239617017,31.520588556033964,34.35428102696208,32.882533001514496,32,6,26
2087.9643239617017,2088.333586657014,29.88190876522278,32.654976125151435,31.388526752437404,32,5,27
2088.333586657014,2088.618926012483,28.518797586350683,30.955671223340786,29.618951891421222,32,4,28
2088.618926012483,2088.8748921990064,26.95515725714522,29.25636632153014,28.049906180738407,32,3,29
2088.8748921990064,2089.1444969403788,25.23062724177361,27.557061419719496,26.64175015622174,32,2,30
