order,strategy,start_ms,end_ms,U_percent,slo_1p5_percent,slo_2_percent,passed,count,A_slo_2_percent,B_slo_2_percent
random,baseline,2000.0,4000.0,90.67794278896096,77.41935483870968,83.87096774193549,286,341,49.074074074074076,100.0
random,baseline,2000.0,20000.0,91.2598858160183,78.86962106615286,85.80603725112395,2672,3114,57.04567541302235,100.0
random,once,2000.0,4000.0,91.24281038614288,79.59183673469387,88.33819241982508,303,343,62.264150943396224,100.0
random,once,2000.0,20000.0,90.86429247488897,77.40058195926285,85.6126737795021,2648,3093,56.372549019607845,100.0
ordered,baseline,2000.0,4000.0,71.00894540379132,71.42857142857143,71.42857142857143,160,224,0.0,100.0
ordered,baseline,2000.0,20000.0,64.21624284987489,66.17647058823529,66.17647058823529,1440,2176,0.0,100.0
ordered,once,2000.0,4000.0,83.41703512991877,74.60815047021944,76.8025078369906,245,319,32.11009174311926,100.0
ordered,once,2000.0,20000.0,90.43099048587162,79.78654592496765,84.12031047865459,2601,3092,52.28377065111759,100.0
