panel,strategy,input_fingerprint,npu_id,request_id,home_ssu,admission_time_ms,completion_time_ms,clipped_start_ms,clipped_end_ms
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,4,4000001,1,53.15029600011164,101.1345157651702,53.15029600011164,101.1345157651702
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,9,9000001,2,53.15029600011164,101.1345157651702,53.15029600011164,101.1345157651702
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,13,13000001,3,53.15029600011164,101.1345157651702,53.15029600011164,101.1345157651702
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,17,17000001,4,53.15029600011164,101.1345157651702,53.15029600011164,101.1345157651702
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,21,21000001,5,53.15029600011164,101.1345157651702,53.15029600011164,101.1345157651702
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,25,25000001,6,53.15029600011164,101.1345157651702,53.15029600011164,101.1345157651702
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,29,29000001,7,53.15029600011164,101.1345157651702,53.15029600011164,101.1345157651702
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,0,1,0,54.20773008214289,102.19194984720146,54.20773008214289,102.19194984720146
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,5,5000001,1,54.20773008214289,102.19194984720146,54.20773008214289,102.19194984720146
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,8,8000001,2,54.20773008214289,102.19194984720146,54.20773008214289,102.19194984720146
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,12,12000001,3,54.20773008214289,102.19194984720146,54.20773008214289,102.19194984720146
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,16,16000001,4,54.20773008214289,102.19194984720146,54.20773008214289,102.19194984720146
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,20,20000001,5,54.20773008214289,102.19194984720146,54.20773008214289,102.19194984720146
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,24,24000001,6,54.20773008214289,102.19194984720146,54.20773008214289,102.19194984720146
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,28,28000001,7,54.20773008214289,102.19194984720146,54.20773008214289,102.19194984720146
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,1,1000002,0,101.1345157651702,139.3464572730943,101.1345157651702,139.3464572730943
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,4,4000002,1,101.1345157651702,139.3464572730943,101.1345157651702,139.3464572730943
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,9,9000002,2,101.1345157651702,139.3464572730943,101.1345157651702,139.3464572730943
