experiment,case,ssu,seed,strategy,window_utilization,full_run_utilization,makespan_ms,request_count,compute_ms,processing_ms,aggregate_compute_fraction,mean_request_compute_fraction,min_request_compute_fraction,mean_io_stall_ms,mean_admission_wait_ms,admission_slo_passed,arrival_slo_passed
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,0.8377540785572911,0.8344145890185982,5279.87529819084,192,2229.008186267369,16584.80384851672,0.1344006360658117,0.18692669336478832,0.05537659670431329,74.76976907421539,1089.8649514354595,7,0
coflow,npu32_ssu5_arrival218_seed20260906_new_once,5,20260906,new_once,0.8414387611541733,0.8344933654697032,5279.37687620754,192,2229.008186267369,2329.462328474578,0.9568766830957983,0.9771566681249574,0.3891961732173915,0.5231986573292188,1106.4121738278957,185,1
coflow,npu32_ssu5_arrival218_seed20260906_once,5,20260906,once,0.8398550647366964,0.8175033921882767,5389.096876058855,192,2229.008186267369,2371.1067304801722,0.9400707937832783,0.9714943714255768,0.29493456962485143,0.7400965844416829,1105.9942837681003,184,0
coflow,npu32_ssu5_arrival218_seed20260906_strategy1,5,20260906,strategy1,0.8430184158643327,0.7615425151701674,5785.107054758358,192,2229.008186267369,2669.3898509093005,0.835025346900184,0.8588972756219567,0.32754810018695285,2.2936545033433604,1052.7225244739122,178,0
coflow,npu32_ssu5_arrival218_seed20260906_strategy2,5,20260906,strategy2,0.8329870432762213,0.7886122863720025,5586.52845402304,192,2229.008186267369,2508.464410417569,0.8885947024045359,0.9097487185876716,0.37596425052884636,1.4555011674489233,1055.3103653417004,182,0
coflow,npu32_ssu5_arrival218_seed20260906_strategy3,5,20260906,strategy3,0.8363192515914941,0.804373501025091,5477.063791130451,192,2229.008186267369,2496.4805067161014,0.8928602407552669,0.9108994568031593,0.3537014810318914,1.3930850023371388,1044.3448566048276,183,0
coflow,npu32_ssu5_arrival218_seed20260907_baseline,5,20260907,baseline,0.9104454962509102,0.8154679117717726,5402.548541042248,192,2229.008186267369,16517.63290553156,0.13494719243463155,0.165572280612434,0.0435921009401377,74.41992041283424,1058.1889859912994,3,0
coflow,npu32_ssu5_arrival218_seed20260907_new_once,5,20260907,new_once,0.9113476099245935,0.8320295811230612,5295.010029646708,192,2229.008186267369,2282.3306937460784,0.9766368179577041,0.9855553190384151,0.44859295629641177,0.27772139311823846,1080.484458201535,189,4
coflow,npu32_ssu5_arrival218_seed20260907_once,5,20260907,once,0.91162234034605,0.8250632783162173,5339.717683230652,192,2229.008186267369,2355.688339136927,0.9462237212092451,0.9704704407030299,0.3457072357162735,0.6597924628622379,1089.5479892249048,182,0
coflow,npu32_ssu5_arrival218_seed20260907_strategy1,5,20260907,strategy1,0.8583079955884868,0.8168531220211731,5393.386960569348,192,2229.008186267369,2645.9465466715646,0.8424237402192883,0.8548339819154703,0.4945259394885896,2.1715539604384975,1005.0406434349178,174,2
coflow,npu32_ssu5_arrival218_seed20260907_strategy2,5,20260907,strategy2,0.8603714350089798,0.7821906859831353,5632.392530309861,192,2229.008186267369,2461.170757687931,0.9056698643540444,0.9163250098570631,0.5059991107266822,1.209180059482091,1032.2113406856602,188,3
coflow,npu32_ssu5_arrival218_seed20260907_strategy3,5,20260907,strategy3,0.8557192837420777,0.8080733566492109,5451.9864326152465,192,2229.008186267369,2454.4128126902197,0.9081635227548417,0.9181939882027942,0.5962119722138894,1.1739824292856345,1025.5540060533096,186,0
coflow,npu32_ssu6_arrival218_seed20260906_baseline,6,20260906,baseline,0.9326046448453305,0.9162364969619124,4808.370973670674,192,2229.008186267369,7356.364159097057,0.30300405717557144,0.4595012512710203,0.07770711041464225,26.70497902515459,890.0041884056295,55,0
coflow,npu32_ssu6_arrival218_seed20260906_new_once,6,20260906,new_once,0.9463863527785011,0.9283599029601731,4745.578695246988,192,2229.008186267369,2296.9078533559045,0.9704386630097805,0.9813954443404654,0.46619421841179,0.3536440994194047,867.7349726285001,186,2
coflow,npu32_ssu6_arrival218_seed20260906_once,6,20260906,once,0.9374182603836845,0.9301311923761534,4736.541482663977,192,2229.008186267369,2327.639468353308,0.9576260484379414,0.974939245505802,0.3923463557721692,0.5137045941975862,884.1362821428379,184,0
coflow,npu32_ssu6_arrival218_seed20260906_strategy1,6,20260906,strategy1,0.9763296188076783,0.9163815893524154,4807.609655408608,192,2229.008186267369,2377.5816095154314,0.937510694626233,0.9586905495027692,0.3733993929130014,0.773819912750282,783.001900161103,184,1
coflow,npu32_ssu6_arrival218_seed20260906_strategy2,6,20260906,strategy2,0.9726261525091504,0.913971821043513,4820.285347505931,192,2229.008186267369,2354.8384628500326,0.9465652194119624,0.9635797973557505,0.3867133990554746,0.655366023867974,781.2216138393418,184,1
